variant,window,code,days,share
v1_1_original_positive_score,15Y,QQQ,1657,0.43835978835978834
v1_1_original_positive_score,15Y,CASH,1127,0.29814814814814816
v1_1_original_positive_score,15Y,GLD,996,0.2634920634920635
v1_1_original_positive_score,10Y,QQQ,1156,0.4587301587301587
v1_1_original_positive_score,10Y,CASH,685,0.2718253968253968
v1_1_original_positive_score,10Y,GLD,679,0.26944444444444443
v1_1_original_positive_score,from_2020,QQQ,706,0.44097439100562147
v1_1_original_positive_score,from_2020,GLD,449,0.28044971892567144
v1_1_original_positive_score,from_2020,CASH,446,0.27857589006870703
v1_1_original_positive_score,5Y,QQQ,504,0.4
v1_1_original_positive_score,5Y,GLD,392,0.3111111111111111
v1_1_original_positive_score,5Y,CASH,364,0.28888888888888886
v1_1_original_positive_score,3Y,QQQ,319,0.421957671957672
v1_1_original_positive_score,3Y,GLD,272,0.35978835978835977
v1_1_original_positive_score,3Y,CASH,165,0.21825396825396826
v1_1_original_positive_score,1Y,GLD,100,0.3968253968253968
v1_1_original_positive_score,1Y,QQQ,89,0.3531746031746032
v1_1_original_positive_score,1Y,CASH,63,0.25
v1_1_allow_negative_stronger,15Y,QQQ,1982,0.5243386243386243
v1_1_allow_negative_stronger,15Y,GLD,1458,0.38571428571428573
v1_1_allow_negative_stronger,15Y,CASH,340,0.08994708994708994
v1_1_allow_negative_stronger,10Y,QQQ,1350,0.5357142857142857
v1_1_allow_negative_stronger,10Y,GLD,954,0.37857142857142856
v1_1_allow_negative_stronger,10Y,CASH,216,0.08571428571428572
v1_1_allow_negative_stronger,from_2020,QQQ,842,0.5259212991880075
v1_1_allow_negative_stronger,from_2020,GLD,623,0.3891317926296065
v1_1_allow_negative_stronger,from_2020,CASH,136,0.08494690818238601
v1_1_allow_negative_stronger,5Y,QQQ,624,0.49523809523809526
v1_1_allow_negative_stronger,5Y,GLD,533,0.423015873015873
v1_1_allow_negative_stronger,5Y,CASH,103,0.08174603174603175
v1_1_allow_negative_stronger,3Y,QQQ,388,0.5132275132275133
v1_1_allow_negative_stronger,3Y,GLD,312,0.4126984126984127
v1_1_allow_negative_stronger,3Y,CASH,56,0.07407407407407407
v1_1_allow_negative_stronger,1Y,QQQ,118,0.46825396825396826
v1_1_allow_negative_stronger,1Y,GLD,103,0.4087301587301587
v1_1_allow_negative_stronger,1Y,CASH,31,0.12301587301587301
