date,version,scenario,entry_case,position_before,fraction_before,position,holding_fraction,pending_entry_target,pending_entry_since,pending_entry_days,trade_target,trade_fraction,staged_initial,fill_on_down_day,best_candidate,best_candidate_score,current_score,buffer_blocked,gross_return,asset_component,turnover,cost,return,nav,trade_count,stop_count,stop_triggered,staged_initial_count,staged_fill_count,score_159915.SZ,score_159941.SZ,score_513030.SH,score_513520.SH,score_159985.SZ,score_518880.SH,r2_159915.SZ,r2_159941.SZ,r2_513030.SH,r2_513520.SH,r2_159985.SZ,r2_518880.SH,buffer_blocked_count,base_return,base_nav,realized_vol,weight,final_exposure,target_vol,vol_window,max_lev,overheat_enter,overheat_exit,overheat_derisk_scale,overheat_scale,overheat_on,overheat_triggered,overheat_recovered,overheat_tc,final_exposure_after_overheat,return_before_overheat,overheat_bias,overheat_bias_mom,overheat_same_side
2011-12-09,1.0,v1_0_original_full_entry,full_entry_baseline,CASH,0.0,CASH,0.0,,,0,,,False,False,CASH,,,False,0.0,0.0,0.0,0.0,0.0,1.0,0,0,False,0,0,,,,,,,,,,,,,0,0.0,1.0,,1.0,0.0,0.25,80,1.5,,,1.0,1.0,False,False,False,0.0,0.0,,,,
2011-12-12,1.0,v1_0_original_full_entry,full_entry_baseline,CASH,0.0,CASH,0.0,,,0,,,False,False,CASH,,,False,0.0,0.0,0.0,0.0,0.0,1.0,0,0,False,0,0,,,,,,,,,,,,,0,0.0,1.0,,1.0,0.0,0.25,80,1.5,,,1.0,1.0,False,False,False,0.0,0.0,,,,
2011-12-13,1.0,v1_0_original_full_entry,full_entry_baseline,CASH,0.0,CASH,0.0,,,0,,,False,False,CASH,,,False,0.0,0.0,0.0,0.0,0.0,1.0,0,0,False,0,0,,,,,,,,,,,,,0,0.0,1.0,,1.0,0.0,0.25,80,1.5,,,1.0,1.0,False,False,False,0.0,0.0,,,,
2011-12-14,1.0,v1_0_original_full_entry,full_entry_baseline,CASH,0.0,CASH,0.0,,,0,,,False,False,CASH,,,False,0.0,0.0,0.0,0.0,0.0,1.0,0,0,False,0,0,,,,,,,,,,,,,0,0.0,1.0,,1.0,0.0,0.25,80,1.5,,,1.0,1.0,False,False,False,0.0,0.0,,,,
2011-12-15,1.0,v1_0_original_full_entry,full_entry_baseline,CASH,0.0,CASH,0.0,,,0,,,False,False,CASH,,,False,0.0,0.0,0.0,0.0,0.0,1.0,0,0,False,0,0,,,,,,,,,,,,,0,0.0,1.0,,1.0,0.0,0.25,80,1.5,,,1.0,1.0,False,False,False,0.0,0.0,,,,
2011-12-16,1.0,v1_0_original_full_entry,full_entry_baseline,CASH,0.0,CASH,0.0,,,0,,,False,False,CASH,,,False,0.0,0.0,0.0,0.0,0.0,1.0,0,0,False,0,0,,,,,,,,,,,,,0,0.0,1.0,,1.0,0.0,0.25,80,1.5,,,1.0,1.0,False,False,False,0.0,0.0,,,,
2011-12-19,1.0,v1_0_original_full_entry,full_entry_baseline,CASH,0.0,CASH,0.0,,,0,,,False,False,CASH,,,False,0.0,0.0,0.0,0.0,0.0,1.0,0,0,False,0,0,,,,,,,,,,,,,0,0.0,1.0,,1.0,0.0,0.25,80,1.5,,,1.0,1.0,False,False,False,0.0,0.0,,,,
2011-12-20,1.0,v1_0_original_full_entry,full_entry_baseline,CASH,0.0,CASH,0.0,,,0,,,False,False,CASH,,,False,0.0,0.0,0.0,0.0,0.0,1.0,0,0,False,0,0,,,,,,,,,,,,,0,0.0,1.0,,1.0,0.0,0.25,80,1.5,,,1.0,1.0,False,False,False,0.0,0.0,,,,
2011-12-21,1.0,v1_0_original_full_entry,full_entry_baseline,CASH,0.0,CASH,0.0,,,0,,,False,False,CASH,,,False,0.0,0.0,0.0,0.0,0.0,1.0,0,0,False,0,0,,,,,,,,,,,,,0,0.0,1.0,,1.0,0.0,0.25,80,1.5,,,1.0,1.0,False,False,False,0.0,0.0,,,,
2011-12-22,1.0,v1_0_original_full_entry,full_entry_baseline,CASH,0.0,CASH,0.0,,,0,,,False,False,CASH,,,False,0.0,0.0,0.0,0.0,0.0,1.0,0,0,False,0,0,,,,,,,,,,,,,0,0.0,1.0,,1.0,0.0,0.25,80,1.5,,,1.0,1.0,False,False,False,0.0,0.0,,,,
