scenario,added_count,added_codes,added_names,pool_size,source,r2_threshold,target_vol,score_min,score_max,window,start,end,days,total,cagr,maxdd,sharpe,vol,cash_days,half_position_days,overheat_days,trades,cost_sum,turnover_sum,avg_final_exposure,max_final_exposure
base6,0,,,6,qveris_cps3,0.2,0.25,0.0,5.0,from_2020,2020-01-02,2026-05-08,1535,16.824881547014492,0.6046498183466706,-0.16540663933670907,1.9322335498650283,0.2626632369722181,107,359,17,364,0.4032382944791668,344.5,0.9531154461086166,1.5
base6,0,,,6,qveris_cps3,0.2,0.25,0.0,5.0,5Y,2021-05-10,2026-05-08,1211,10.690863663000197,0.668056866618334,-0.16540663933670907,2.119619516211932,0.25695586640155055,90,253,17,271,0.3159745770316378,255.5,0.9865985573137159,1.5
base6,0,,,6,qveris_cps3,0.2,0.25,0.0,5.0,3Y,2023-05-08,2026-05-08,727,6.3844974612900405,0.9997977591583516,-0.16540663933670918,2.726325251448377,0.26739003860749977,53,170,7,168,0.19135138830707532,162.5,0.9248756636509752,1.5
base6,0,,,6,qveris_cps3,0.2,0.25,0.0,5.0,1Y,2025-05-08,2026-05-08,243,0.8911076492243037,0.936265919002575,-0.1333857222638163,2.7940871271004735,0.2476445316438491,18,67,3,65,0.07242297766500293,62.5,0.9415409552476255,1.5
base6_plus_511130_30y_bond,1,511130.SH,CN30Y_BOND_ETF_BOSHI,7,qveris_cps3,0.2,0.25,0.0,5.0,from_2020,2020-01-02,2026-05-08,1535,16.37442347159728,0.5979210702207876,-0.16471470428073343,1.915846054071893,0.2627224541200986,86,366,17,369,0.41186493791292406,351.5,0.9701664769763564,1.5
base6_plus_511130_30y_bond,1,511130.SH,CN30Y_BOND_ETF_BOSHI,7,qveris_cps3,0.2,0.25,0.0,5.0,5Y,2021-05-10,2026-05-08,1211,10.395420244107905,0.6591958173087207,-0.16471470428073332,2.0982948386713005,0.25703558986454467,69,260,17,276,0.324601220465395,262.5,1.0082115485457395,1.5
base6_plus_511130_30y_bond,1,511130.SH,CN30Y_BOND_ETF_BOSHI,7,qveris_cps3,0.2,0.25,0.0,5.0,3Y,2023-05-08,2026-05-08,727,6.197881549954958,0.9821332728272278,-0.16471470428073354,2.691706132777533,0.2675416089178055,32,177,7,173,0.19997803174083262,169.5,0.9608774963634653,1.5
base6_plus_511130_30y_bond,1,511130.SH,CN30Y_BOND_ETF_BOSHI,7,qveris_cps3,0.2,0.25,0.0,5.0,1Y,2025-05-08,2026-05-08,243,0.8972604874678831,0.9427994003215003,-0.13338572226381584,2.8075839815537535,0.2476583373031369,16,69,3,66,0.07352555232951866,63.5,0.9461613044142784,1.5
base6_plus_511090_30y_bond,1,511090.SH,CN30Y_BOND_ETF_PENGYANG,7,qveris_cps3,0.2,0.25,0.0,5.0,from_2020,2020-01-02,2026-05-08,1535,16.33227709567513,0.5972840722882582,-0.16330654763258223,1.9143075133812364,0.26272439470520476,88,369,17,371,0.41279956091512215,352.5,0.9668521514165905,1.5
base6_plus_511090_30y_bond,1,511090.SH,CN30Y_BOND_ETF_PENGYANG,7,qveris_cps3,0.2,0.25,0.0,5.0,5Y,2021-05-10,2026-05-08,1211,10.36777756196745,0.6583574749360588,-0.16330654763258234,2.096297034981741,0.2570383857930437,71,263,17,278,0.3255358434675931,263.5,1.0040104835298511,1.5
base6_plus_511090_30y_bond,1,511090.SH,CN30Y_BOND_ETF_PENGYANG,7,qveris_cps3,0.2,0.25,0.0,5.0,3Y,2023-05-08,2026-05-08,727,6.180421136252978,0.980465283366154,-0.16330654763258234,2.688477735048873,0.2675483489092564,34,180,7,175,0.20091265474303074,170.5,0.9538795737579073,1.5
base6_plus_511090_30y_bond,1,511090.SH,CN30Y_BOND_ETF_PENGYANG,7,qveris_cps3,0.2,0.25,0.0,5.0,1Y,2025-05-08,2026-05-08,243,0.8977208361045852,0.9432882598430581,-0.13338572226381562,2.80877115264374,0.24764206080626386,15,70,3,66,0.07350914080377607,63.5,0.9481977741494007,1.5
base6_plus_csi1000,1,512100.SH,CSI1000_ETF,7,qveris_cps3,0.2,0.25,0.0,5.0,from_2020,2020-01-02,2026-05-08,1535,18.154935216651936,0.6237203244627334,-0.1654701551962373,1.9823422860991802,0.2619063653980522,96,394,21,377,0.4261937655875256,359.5,0.9592393127567821,1.5
