version,scenario,window,start,end,days,total,cagr,maxdd,sharpe,vol,cash_days,half_position_days,pending_days,staged_initials,staged_fills,overheat_days,overheat_triggers,overheat_recoveries,trades,cost_sum,turnover_sum,avg_scale,avg_final_exposure,max_final_exposure,pool_label,pool
1.1,v1_1_staged_50_plus_ma60_overheat,15Y,2011-05-05,2026-05-15,3780,2.125292736720201,0.07892862006673584,-0.31017554640712663,0.5942302067448825,0.14572762915993812,2313,179,179,87,84,0,0,0,317,0.2574609783647269,257.4609783647269,1.4951086331872403,0.5450085650709554,1.5,GLD_ONLY,GLD
1.1,v1_1_staged_50_plus_ma60_overheat,10Y,2016-05-09,2026-05-15,2520,1.6312296348966369,0.10157957590720579,-0.2266041644723138,0.7322598210333824,0.14686712658339723,1464,127,127,61,58,0,0,0,221,0.17950662629808214,179.50662629808213,1.4940663061342334,0.5888812306173171,1.5,GLD_ONLY,GLD
1.1,v1_1_staged_50_plus_ma60_overheat,from_2020,2020-01-02,2026-05-15,1601,1.2110363997582851,0.1330262013111183,-0.2266041644723139,0.8441515047625099,0.16392430609030045,891,82,82,43,41,0,0,0,168,0.12700662629808213,127.00662629808213,1.4906602694929847,0.6238168027205742,1.5,GLD_ONLY,GLD
1.1,v1_1_staged_50_plus_ma60_overheat,5Y,2021-05-11,2026-05-15,1260,0.7672176726921329,0.1206190711427293,-0.2266041644723138,0.7794598823515336,0.16322919696520138,688,68,68,34,32,0,0,0,141,0.10000662629808213,100.00662629808213,1.488132612268467,0.6366910326632058,1.5,GLD_ONLY,GLD
1.1,v1_1_staged_50_plus_ma60_overheat,3Y,2023-05-11,2026-05-15,756,0.7382293812424241,0.202363255123726,-0.16555925174565,1.1258101492672679,0.17778372701297804,393,42,42,21,22,0,0,0,105,0.06475662629808213,64.75662629808213,1.4802210204474449,0.6722628322164541,1.5,GLD_ONLY,GLD
1.1,v1_1_staged_50_plus_ma60_overheat,1Y,2025-05-15,2026-05-15,252,0.6189726151832788,0.6189726151832788,-0.08308464247109337,2.494035991090868,0.20149769037718565,133,13,13,8,8,0,0,0,59,0.023506626298082124,23.506626298082125,1.4443218677452532,0.652295749084135,1.5,GLD_ONLY,GLD
1.1,v1_1_staged_50_plus_ma60_overheat,15Y,2011-05-05,2026-05-15,3780,3.950430939612187,0.1125243718359672,-0.2364403931979856,0.752932706772896,0.15834552507068325,1804,192,192,89,85,0,0,0,359,0.2604879287423352,260.48792874233516,1.4912189309830455,0.7418530377512637,1.5,QQQ_ONLY,QQQ
1.1,v1_1_staged_50_plus_ma60_overheat,10Y,2016-05-09,2026-05-15,2520,3.1506984336602146,0.1529543656797021,-0.2364403931979856,0.9193265194014393,0.17076124191417766,1150,120,120,58,55,0,0,0,266,0.16748792874233517,167.48792874233516,1.4868283964745683,0.7734938423411812,1.5,QQQ_ONLY,QQQ
1.1,v1_1_staged_50_plus_ma60_overheat,from_2020,2020-01-02,2026-05-15,1601,1.8271113613308585,0.177720156326596,-0.2364403931979856,0.9505184634331139,0.1914810166698939,755,78,78,37,35,0,0,0,205,0.10748792874233518,107.48792874233516,1.479267682146104,0.7462239117425213,1.5,QQQ_ONLY,QQQ
1.1,v1_1_staged_50_plus_ma60_overheat,5Y,2021-05-11,2026-05-15,1260,0.8169391489391549,0.12685510500010455,-0.2364403931979855,0.7596914661034965,0.17809008482258468,641,64,64,31,30,0,0,0,106,0.09001142189861573,90.01142189861572,1.496638490351319,0.6980480650956137,1.5,QQQ_ONLY,QQQ
1.1,v1_1_staged_50_plus_ma60_overheat,3Y,2023-05-11,2026-05-15,756,0.6005471414111159,0.1697404010236916,-0.18047851691763173,0.9988894118383528,0.17179748751907314,343,43,43,19,20,0,0,0,58,0.05775,57.75,1.5,0.7767857142857143,1.5,QQQ_ONLY,QQQ
1.1,v1_1_staged_50_plus_ma60_overheat,1Y,2025-05-15,2026-05-15,252,0.19324678714519505,0.19324678714519505,-0.14162377781411695,1.2033480041145403,0.15715724346865736,123,19,19,7,7,0,0,0,21,0.021,21.0,1.5,0.7113095238095238,1.5,QQQ_ONLY,QQQ
1.1,v1_1_staged_50_plus_ma60_overheat,15Y,2011-05-05,2026-05-15,3780,7.3182046264037,0.15168923288845626,-0.2824677237530344,0.849025357015021,0.18699572316465463,1127,350,350,174,163,0,0,0,704,0.5004838141862202,500.4838141862203,1.4758663515951376,0.9700754591612466,1.5,GLD_QQQ,"GLD,QQQ"
1.1,v1_1_staged_50_plus_ma60_overheat,10Y,2016-05-09,2026-05-15,2520,5.334313698362039,0.2027350206867029,-0.2776000064414612,1.0422250084380034,0.19555526325241848,685,230,230,117,108,0,0,0,524,0.33377076220583146,333.7707622058315,1.4712104313308123,1.007156198095487,1.5,GLD_QQQ,"GLD,QQQ"
1.1,v1_1_staged_50_plus_ma60_overheat,from_2020,2020-01-02,2026-05-15,1601,3.528513455035637,0.2683773748373435,-0.271399041700798,1.2047770936830617,0.21700541042604857,446,148,148,77,71,0,0,0,425,0.21827076220583147,218.27076220583143,1.4546847513764192,0.98659189206785,1.5,GLD_QQQ,"GLD,QQQ"
1.1,v1_1_staged_50_plus_ma60_overheat,5Y,2021-05-11,2026-05-15,1260,2.6204214033635234,0.29345649143051866,-0.27139904170079787,1.329997350375757,0.21015050033949292,364,115,115,58,55,0,0,0,262,0.16856066366333788,168.56066366333786,1.480553645632301,0.9894113728018595,1.5,GLD_QQQ,"GLD,QQQ"
1.1,v1_1_staged_50_plus_ma60_overheat,3Y,2023-05-11,2026-05-15,756,2.1677523644069434,0.4686458234776323,-0.19039936286215342,1.917609205897058,0.21233040245918017,165,75,75,36,37,0,0,0,172,0.10784542982897846,107.84542982897844,1.4775306343986632,1.0874176121715566,1.5,GLD_QQQ,"GLD,QQQ"
1.1,v1_1_staged_50_plus_ma60_overheat,1Y,2025-05-15,2026-05-15,252,0.9388424307804977,0.9388424307804977,-0.10221328277659048,3.14763199145171,0.2181801005126377,63,32,32,14,14,0,0,0,114,0.04099744058236065,40.99744058236065,1.4337035231000728,0.9984835040378001,1.5,GLD_QQQ,"GLD,QQQ"
