variant,score_max,r2_threshold,target_vol,score_decay_trigger,score_decay_recovery,window,start,end,rows,total_return,annual_return,max_drawdown,vol,sharpe,trades,cash_days,overheat_days,score_decay_days,score_decay_triggers,score_decay_recoveries,avg_scale,avg_final_exposure
no_score_cap_baseline,no_cap,0.2,0.25,,,from_2020,2020-01-02,2026-05-08,1535,7.591233371192217,0.40339599177216545,-0.2029033869319654,0.25159646741923497,1.5489175696977748,261,95,84,0,0,0,1.051633577883826,0.84899832657662
no_score_cap_baseline,no_cap,0.2,0.25,,,6Y,2020-05-08,2026-05-08,1454,7.354951855200424,0.42459819859660275,-0.2029033869319654,0.2460081543840057,1.619077470628447,245,88,81,0,0,0,1.0565005162633014,0.8535052373562014
no_score_cap_baseline,no_cap,0.2,0.25,,,3Y,2023-05-08,2026-05-08,727,3.286794627043146,0.6242872263149979,-0.2029033869319653,0.2612421482416688,2.08073988443003,113,45,53,0,0,0,0.9551514780017234,0.7480273114627556
no_score_cap_baseline,no_cap,0.2,0.25,,,1Y,2025-05-08,2026-05-08,243,0.5660127045842791,0.5664938798093719,-0.09027879527024707,0.2380471268987186,2.0833425652169173,33,11,28,0,0,0,0.9040044038215312,0.6939275384468456
no_score_cap_score_decay_55_90,no_cap,0.2,0.25,0.55,0.9,from_2020,2020-01-02,2026-05-08,1535,3.3747180900015863,0.2618137641660867,-0.2161827414869446,0.2508536620969037,1.1106060877520492,303,324,51,229,45,45,1.131190547896866,0.7772974303921846
no_score_cap_score_decay_55_90,no_cap,0.2,0.25,0.55,0.9,6Y,2020-05-08,2026-05-08,1454,3.1910880262975194,0.2698277108154217,-0.2161827414869446,0.24544643804951782,1.13456887966146,286,311,48,223,43,43,1.1389454512524944,0.7800382852662645
no_score_cap_score_decay_55_90,no_cap,0.2,0.25,0.55,0.9,3Y,2023-05-08,2026-05-08,727,1.336251281346624,0.32681945474834206,-0.2051276487818222,0.25935129103819776,1.2619141236596114,136,177,32,132,21,22,1.0303038590531586,0.6546085974658866
no_score_cap_score_decay_55_90,no_cap,0.2,0.25,0.55,0.9,1Y,2025-05-08,2026-05-08,243,0.3824169094167653,0.38272356856165524,-0.11953030629236172,0.23900635682933066,1.5340780560788516,40,59,16,48,7,7,1.004290902612,0.614048048341976
