variant,date,position_before,position,trade_target,holding_fraction,best_candidate,best_candidate_score,score_gate_active,score_gate_overcap_codes,target_vol_scale,overheat_scale,final_exposure_after_overheat,overheat_on,overheat_bias,overheat_bias_mom,nav,raw_score_159915.SZ,raw_score_159941.SZ,raw_score_518880.SH
baseline_score_lt_5_half,2026-05-08,159941.SZ,159915.SZ,159915.SZ,0.5,159915.SZ,4.166212626476979,False,,1.132423368018126,1.0,0.566211684009063,False,0.13546991742036973,69.97907022148556,54.17203761276186,4.166212626476979,,
score_over5_cash_full_reentry,2026-05-08,159941.SZ,CASH,CASH,0.0,159941.SZ,5.409145282796129,True,159941.SZ,0.9668849107669361,1.0,0.0,False,0.13546991742036973,69.97907022148556,51.95539333276612,4.166212626476979,5.409145282796129,-0.24825515821807098
score_over5_cash_half_reentry,2026-05-08,159941.SZ,CASH,CASH,0.0,159941.SZ,5.409145282796129,True,159941.SZ,1.3033257456641307,1.0,0.0,False,0.13546991742036973,69.97907022148556,48.60425876316754,4.166212626476979,5.409145282796129,-0.24825515821807098
