window,requested_start,actual_start_old,actual_start_current,end_old,end_current,days_old,days_current,old_annual,current_annual,annual_diff,old_maxdd,current_maxdd,maxdd_diff
2020-01-01?,2020-01-01,2020-01-02,2020-01-02,2026-05-08,2026-05-08,1535,1535,0.5920719088396793,0.5883065674850185,-0.0037653413546607784,-0.18114818211576256,-0.18054057908721044,0.0006076030285521172
?5?,2021-05-08,2021-05-10,2021-05-10,2026-05-08,2026-05-08,1211,1211,0.6476672879826666,0.6438057773596817,-0.0038615106229848983,-0.18114818211576256,-0.18054057908721055,0.0006076030285520062
?3?,2023-05-08,2023-05-08,2023-05-08,2026-05-08,2026-05-08,727,727,1.022605362827521,1.0172364199886679,-0.00536894283885303,-0.16549301711857634,-0.16550599700214552,-1.2979883569186335e-05
?1?,2025-05-08,2025-05-08,2025-05-08,2026-05-08,2026-05-08,243,243,0.9642944380276952,0.9545469199680434,-0.009747518059651794,-0.1274528393608666,-0.12751321964343498,-6.0380282568384125e-05
