scenario,code,days,share
us_etf_qqq_gld_emxc_vea_dbc_dbmf,QQQ,479,0.299375
us_etf_qqq_gld_emxc_vea_dbc_dbmf,GLD,301,0.188125
us_etf_qqq_gld_emxc_vea_dbc_dbmf,DBC,258,0.16125
us_etf_qqq_gld_emxc_vea_dbc_dbmf,CASH,147,0.091875
us_etf_qqq_gld_emxc_vea_dbc_dbmf,EMXC,146,0.09125
us_etf_qqq_gld_emxc_vea_dbc_dbmf,DBMF,135,0.084375
us_etf_qqq_gld_emxc_vea_dbc_dbmf,VEA,134,0.08375
us_etf_spliced_qqq_gld_emxc_eem_vea_dbc_dbmf_wtmf,QQQ,479,0.299375
us_etf_spliced_qqq_gld_emxc_eem_vea_dbc_dbmf_wtmf,GLD,301,0.188125
us_etf_spliced_qqq_gld_emxc_eem_vea_dbc_dbmf_wtmf,DBC,258,0.16125
us_etf_spliced_qqq_gld_emxc_eem_vea_dbc_dbmf_wtmf,CASH,147,0.091875
us_etf_spliced_qqq_gld_emxc_eem_vea_dbc_dbmf_wtmf,EMXC,146,0.09125
us_etf_spliced_qqq_gld_emxc_eem_vea_dbc_dbmf_wtmf,DBMF,135,0.084375
us_etf_spliced_qqq_gld_emxc_eem_vea_dbc_dbmf_wtmf,VEA,134,0.08375
us_etf_qqq_gld_tlt_pdbc_eem_vea,QQQ,434,0.27125
us_etf_qqq_gld_tlt_pdbc_eem_vea,PDBC,281,0.175625
us_etf_qqq_gld_tlt_pdbc_eem_vea,GLD,279,0.174375
us_etf_qqq_gld_tlt_pdbc_eem_vea,CASH,197,0.123125
us_etf_qqq_gld_tlt_pdbc_eem_vea,TLT,148,0.0925
us_etf_qqq_gld_tlt_pdbc_eem_vea,EEM,135,0.084375
us_etf_qqq_gld_tlt_pdbc_eem_vea,VEA,126,0.07875
us_etf_qqq_gld_tlt_pdbc_dbc_eem_vea,QQQ,434,0.27125
us_etf_qqq_gld_tlt_pdbc_dbc_eem_vea,PDBC,281,0.175625
us_etf_qqq_gld_tlt_pdbc_dbc_eem_vea,GLD,279,0.174375
us_etf_qqq_gld_tlt_pdbc_dbc_eem_vea,CASH,197,0.123125
us_etf_qqq_gld_tlt_pdbc_dbc_eem_vea,TLT,148,0.0925
us_etf_qqq_gld_tlt_pdbc_dbc_eem_vea,EEM,135,0.084375
us_etf_qqq_gld_tlt_pdbc_dbc_eem_vea,VEA,126,0.07875
