scenario,switch_buffer,position,start,end,trading_days,calendar_days
switch_buffer_1.00,1.0,513030.SH,2020-06-17,2020-06-18,2,2
switch_buffer_1.00,1.0,159915.SZ,2020-06-19,2020-06-29,5,11
switch_buffer_1.00,1.0,159941.SZ,2020-06-30,2020-07-16,13,17
switch_buffer_1.00,1.0,513030.SH,2020-07-17,2020-07-23,5,7
switch_buffer_1.00,1.0,159915.SZ,2020-07-24,2020-07-27,2,4
switch_buffer_1.00,1.0,513030.SH,2020-07-28,2020-07-29,2,2
switch_buffer_1.00,1.0,518880.SH,2020-07-30,2020-08-13,11,15
switch_buffer_1.00,1.0,159941.SZ,2020-08-14,2020-08-28,11,15
switch_buffer_1.00,1.0,513030.SH,2020-08-31,2020-09-01,2,2
switch_buffer_1.00,1.0,159985.SZ,2020-09-02,2020-09-02,1,1
switch_buffer_1.00,1.0,513030.SH,2020-09-03,2020-09-03,1,1
switch_buffer_1.00,1.0,159985.SZ,2020-09-04,2020-09-10,5,7
switch_buffer_1.00,1.0,159941.SZ,2020-09-11,2020-09-14,2,4
switch_buffer_1.00,1.0,159985.SZ,2020-09-15,2020-10-14,16,30
switch_buffer_1.00,1.0,159915.SZ,2020-10-15,2020-10-22,6,8
switch_buffer_1.00,1.0,159985.SZ,2020-10-23,2020-10-30,6,8
switch_buffer_1.00,1.0,CASH,2020-11-02,2020-11-06,5,5
switch_buffer_1.00,1.0,513520.SH,2020-11-09,2020-12-14,26,36
switch_buffer_1.00,1.0,159915.SZ,2020-12-15,2020-12-28,10,14
switch_buffer_1.00,1.0,159985.SZ,2020-12-29,2021-01-08,8,11
switch_buffer_1.00,1.0,513030.SH,2021-01-11,2021-01-12,2,2
switch_buffer_1.00,1.0,513520.SH,2021-01-13,2021-01-14,2,2
switch_buffer_1.00,1.0,159915.SZ,2021-01-15,2021-01-19,3,5
switch_buffer_1.00,1.0,159985.SZ,2021-01-20,2021-01-20,1,1
switch_buffer_1.00,1.0,159915.SZ,2021-01-21,2021-02-02,9,13
switch_buffer_1.00,1.0,159941.SZ,2021-02-03,2021-02-22,9,20
switch_buffer_1.00,1.0,513520.SH,2021-02-23,2021-03-02,6,8
switch_buffer_1.00,1.0,CASH,2021-03-03,2021-03-09,5,7
