variant,window,start,end,overheat_on_days,overheat_trigger_count,overheat_recover_count,overheat_tc_sum,post_vs_pre_nav_delta,post_vs_pre_nav_ratio_minus_1,return_delta_sum
score_lt_5,from_2020,2020-01-02,2026-05-08,17,10,5,0.01,2.3700126184553483,0.17168463773839382,0.15219032908696878
score_lt_5,6Y,2020-05-08,2026-05-08,17,9,5,0.01,2.175644828986785,0.17168463773839338,0.15219032908696944
score_lt_5,3Y,2023-05-08,2026-05-08,7,7,3,0.006,0.90431155070796,0.14119408523558663,0.12779446209085124
score_lt_5,1Y,2025-05-08,2026-05-08,3,2,1,0.002,0.09320756876068037,0.051868292510913294,0.048670253879177686
score_no_cap,from_2020,2020-01-02,2026-05-08,84,20,20,0.038000000000000006,3.087811673100979,0.5610712466703995,0.39913497662186026
score_no_cap,6Y,2020-05-08,2026-05-08,81,18,18,0.034,2.773347989900391,0.49687295208136617,0.35778766016238017
score_no_cap,3Y,2023-05-08,2026-05-08,53,11,11,0.02,0.9165183586779659,0.27194161122065563,0.20992376219580922
score_no_cap,1Y,2025-05-08,2026-05-08,28,5,5,0.01,0.058973405066542695,0.039131962308756485,0.02733603186009173
