switch_buffer,start,end,days,cagr,maxdd,sharpe,asset_changes,trade_count_delta,turnover_sum,non_cash_segments,avg_non_cash_hold_days,le2_day_non_cash_segments,delta_cagr,delta_maxdd,delta_sharpe
1.0,2025-01-02,2026-05-08,323,0.9056811648840235,-0.13338572226381618,2.7489716190858218,54,89,84.5,50,6.06,14,0.0,0.0,0.0
1.01,2025-01-02,2026-05-08,323,0.9141410328104571,-0.13338572226381595,2.767595950385158,52,88,83.5,48,6.3125,11,0.008459867926433606,2.220446049250313e-16,0.018624331299336383
1.02,2025-01-02,2026-05-08,323,0.9217473799004132,-0.13338572226381618,2.78386285505231,52,88,83.5,48,6.3125,11,0.016066215016389718,0.0,0.03489123596648813
1.03,2025-01-02,2026-05-08,323,0.9217473799004123,-0.13338572226381562,2.7838628550523032,52,88,83.5,48,6.3125,11,0.01606621501638883,5.551115123125783e-16,0.03489123596648147
1.04,2025-01-02,2026-05-08,323,0.9353660849773124,-0.12745283936086704,2.812798313160356,52,87,82.5,48,6.3125,12,0.029684920093288936,0.0059328829029491326,0.06382669407453401
1.05,2025-01-02,2026-05-08,323,0.9353660849773058,-0.12745283936086615,2.8127983131603576,52,87,82.5,48,6.3125,12,0.029684920093282274,0.005932882902950021,0.06382669407453578
1.06,2025-01-02,2026-05-08,323,0.9215739109919845,-0.12745283936086682,2.7818858602053873,50,86,81.0,46,6.586956521739131,9,0.015892746107960987,0.005932882902949355,0.032914241119565535
1.07,2025-01-02,2026-05-08,323,0.8579120425938809,-0.12738763381095475,2.6474544331413363,48,84,79.0,44,6.886363636363637,8,-0.04776912229014263,0.0059980884528614276,-0.10151718594448544
1.08,2025-01-02,2026-05-08,323,0.8627580269426283,-0.12738763381095497,2.6575208517376985,48,84,79.0,44,6.886363636363637,8,-0.04292313794139524,0.0059980884528612055,-0.0914507673481233
1.5,2025-01-02,2026-05-08,323,0.7356500472576681,-0.13718405447625925,2.3755381051124735,48,84,79.5,44,6.886363636363637,9,-0.17003111762635537,-0.0037983322124430785,-0.37343351397334823
