variant,latest_date,position_before,position,trade_target,best_candidate,best_candidate_score,target_vol_scale,final_exposure_before_overheat,overheat_scale,final_exposure_after_overheat,overheat_on,overheat_triggered,overheat_recovered,overheat_bias,overheat_bias_mom,overheat_same_side,nav_before_overheat,nav_after_overheat
score_lt_5,2026-05-08,159941.SZ,159915.SZ,159915.SZ,159915.SZ,4.166212626476979,1.132423368018126,0.566211684009063,1.0,0.566211684009063,False,False,False,0.13546991742036973,69.97907022148556,True,42.764447668543795,54.17203761276186
score_no_cap,2026-05-08,159941.SZ,159941.SZ,,159941.SZ,5.409145282796129,0.658071489898415,0.3290357449492075,1.0,0.3290357449492075,False,False,False,0.13546991742036973,69.97907022148556,True,31.817974297074464,40.56786316487719
