variant,overlay,window,start,end,rows,total_return,annual_return,max_drawdown,vol,sharpe,trades,cash_days,avg_scale,avg_final_exposure,score_derisk_days,score_derisk_episodes,staged_initials,staged_fills
baseline_score_lt_5_second_best_half_entry,before_overheat,from_2020,2020-01-02,2026-05-08,1535,12.804453617257703,0.5122868519501405,-0.18947883224276996,0.26690065318861866,1.7667796494187442,365,113,1.1861502789107357,0.9639964712632597,0,0,192,152
baseline_score_lt_5_second_best_half_entry,after_overheat,from_2020,2020-01-02,2026-05-08,1535,15.174466235713052,0.5505178321823623,-0.16540663933670874,0.26295127546062924,1.888333242488188,365,113,1.1861502789107357,0.950500687514201,0,0,192,152
baseline_score_lt_5_second_best_half_entry,before_overheat,6Y,2020-05-08,2026-05-08,1454,11.672332584013438,0.5270433762664588,-0.18947883224276996,0.26280046034756044,1.808502135914133,337,106,1.1973966551315018,0.9753821036223973,0,0,176,142
baseline_score_lt_5_second_best_half_entry,after_overheat,6Y,2020-05-08,2026-05-08,1454,13.847977413000223,0.5679147534859432,-0.16540663933670874,0.2585613997466175,1.9401660889382233,337,106,1.1973966551315018,0.9611344914801654,0,0,176,142
baseline_score_lt_5_second_best_half_entry,before_overheat,3Y,2023-05-08,2026-05-08,727,5.404741028627998,0.8568316768817039,-0.16540663933670863,0.2732834592762314,2.5102913945960657,166,53,1.155767295623363,0.9357203637151633,0,0,88,71
baseline_score_lt_5_second_best_half_entry,after_overheat,3Y,2023-05-08,2026-05-08,727,6.309052579335958,0.9403854638091069,-0.16540663933670885,0.2675339040419486,2.729816661400698,166,53,1.155767295623363,0.923983612876529,0,0,88,71
baseline_score_lt_5_second_best_half_entry,before_overheat,1Y,2025-05-08,2026-05-08,243,0.7970047643474869,0.7977263219783299,-0.13338572226381684,0.25558024138854735,2.5173000279705318,65,18,1.1910126065857067,0.9577081534516727,0,0,36,26
baseline_score_lt_5_second_best_half_entry,after_overheat,1Y,2025-05-08,2026-05-08,243,0.8902123331081673,0.8910368126751846,-0.13338572226381606,0.24753613723283624,2.8030048962837584,65,18,1.1910126065857067,0.9405463303269372,0,0,36,26
score_over5_hold_half_full_restore,before_overheat,from_2020,2020-01-02,2026-05-08,1535,8.131229365746384,0.4169408779074788,-0.20228807696804285,0.2800171075614752,1.4519803228064792,197,95,1.084138964665806,0.9500601632580725,198,27,0,0
score_over5_hold_half_full_restore,after_overheat,from_2020,2020-01-02,2026-05-08,1535,11.384974073066045,0.48665012957349796,-0.20081119040419504,0.26848997289860094,1.6890733424283284,197,95,1.084138964665806,0.916137473356844,198,27,0,0
score_over5_hold_half_full_restore,before_overheat,6Y,2020-05-08,2026-05-08,1454,7.294920642012206,0.422886696979349,-0.20228807696804285,0.2767961785100113,1.4615835901266705,182,88,1.0923410463665466,0.9597041300918244,180,25,0,0
score_over5_hold_half_full_restore,after_overheat,6Y,2020-05-08,2026-05-08,1454,9.829688950878413,0.4875629331918936,-0.20081119040419504,0.26485682961547075,1.6898891823923792,182,88,1.0923410463665466,0.9247873470037234,180,25,0,0
score_over5_hold_half_full_restore,before_overheat,3Y,2023-05-08,2026-05-08,727,3.8235416319110502,0.6894164475130693,-0.2008111904041956,0.29804765385229826,1.992164924736541,89,45,1.0120474836368614,0.8761333264517212,100,15,0,0
score_over5_hold_half_full_restore,after_overheat,3Y,2023-05-08,2026-05-08,727,4.696786203261666,0.7857439470225391,-0.20081119040419504,0.2837852399790269,2.281222820570386,89,45,1.0120474836368614,0.834703011483427,100,15,0,0
score_over5_hold_half_full_restore,before_overheat,1Y,2025-05-08,2026-05-08,243,0.6400479378108392,0.6406037672447449,-0.152405298256177,0.2639967101896504,2.0850752283974,33,11,1.070914076457747,0.8937037072863082,64,8,0,0
score_over5_hold_half_full_restore,after_overheat,1Y,2025-05-08,2026-05-08,243,0.7183860054267663,0.7190233216876607,-0.13212255212645785,0.2434051786886883,2.4389604518767203,33,11,1.070914076457747,0.8085875729869711,64,8,0,0
score_over5_hold_half_half_reentry,before_overheat,from_2020,2020-01-02,2026-05-08,1535,8.094203364457805,0.41603399949887865,-0.21450877190718953,0.2814103756188972,1.443498994914589,312,95,1.1282129526587064,0.9412625400370946,198,27,127,0
score_over5_hold_half_half_reentry,after_overheat,from_2020,2020-01-02,2026-05-08,1535,11.561507795013984,0.48996926934349494,-0.2009803426716229,0.26878589276166615,1.695832994544902,312,95,1.1282129526587064,0.9056113583535894,198,27,127,0
score_over5_hold_half_half_reentry,before_overheat,6Y,2020-05-08,2026-05-08,1454,7.305292195327874,0.4231831279667606,-0.21450877190718942,0.27818191254538027,1.4557335858889795,291,88,1.1381286023021329,0.9517923198109258,180,25,120,0
score_over5_hold_half_half_reentry,after_overheat,6Y,2020-05-08,2026-05-08,1454,10.038743812409717,0.4923119241981053,-0.2009803426716229,0.2650722436211563,1.7004724681656227,291,88,1.1381286023021329,0.9150579072014278,180,25,120,0
score_over5_hold_half_half_reentry,before_overheat,3Y,2023-05-08,2026-05-08,727,3.671819304936407,0.6715181956972158,-0.2009803426716228,0.30490190858802724,1.91663637213365,142,45,1.0446232694779494,0.8625631550346341,100,15,57,0
score_over5_hold_half_half_reentry,after_overheat,3Y,2023-05-08,2026-05-08,727,4.547496688254221,0.7700102193812994,-0.2009803426716228,0.28999154772765157,2.2055530665673873,142,45,1.0446232694779494,0.8209159643137023,100,15,57,0
score_over5_hold_half_half_reentry,before_overheat,1Y,2025-05-08,2026-05-08,243,0.5656252291934052,0.566106019919494,-0.14264172137752062,0.2630862386101212,1.9086353523282757,46,11,1.1178430814117295,0.8983991121250062,64,8,16,0
