version,scenario,window,start,end,days,total,cagr,maxdd,sharpe,vol,cash_days,half_position_days,pending_days,staged_initials,staged_fills,overheat_days,overheat_triggers,overheat_recoveries,trades,cost_sum,turnover_sum,avg_scale,avg_final_exposure,max_final_exposure,pool_label,pool
1.1,v1_1_staged_50_plus_ma60_overheat,15Y,2011-05-05,2026-05-15,3780,7.2965180594089,0.15148881604835052,-0.2824662114621358,0.8480356233425824,0.18701234314174,1127,350,350,174,163,0,0,0,704,0.5004838511877991,500.48385118779925,1.4758663698956003,0.9700754952826774,1.5,GLD_QQQ,"GLD,QQQ"
1.1,v1_1_staged_50_plus_ma60_overheat,10Y,2016-05-09,2026-05-15,2520,5.317792765315964,0.20242095880795707,-0.2776008835338717,1.0407848873749155,0.19557932642232115,685,230,230,117,108,0,0,0,524,0.3337708126892631,333.7708126892631,1.4712105142480008,1.0071562768433036,1.5,GLD_QQQ,"GLD,QQQ"
1.1,v1_1_staged_50_plus_ma60_overheat,from_2020,2020-01-02,2026-05-15,1601,3.516719806998575,0.2678568670849091,-0.27139901510542586,1.2027276797003394,0.217039887123267,446,148,148,77,71,0,0,0,425,0.21827081268926307,218.2708126892631,1.4546848818894205,0.9865920160181915,1.5,GLD_QQQ,"GLD,QQQ"
1.1,v1_1_staged_50_plus_ma60_overheat,5Y,2021-05-11,2026-05-15,1260,2.610989114568782,0.2927818191834366,-0.27139901510542586,1.3272714993567227,0.21019587638200038,364,115,115,58,55,0,0,0,262,0.1685606533715307,168.5606533715307,1.480553470648786,0.9894112488033567,1.5,GLD_QQQ,"GLD,QQQ"
1.1,v1_1_staged_50_plus_ma60_overheat,3Y,2023-05-11,2026-05-15,756,2.159496234952486,0.4673688003154377,-0.19039822868747225,1.9128926561974027,0.21240711411556423,165,75,75,36,37,0,0,0,172,0.10784543109340244,107.84543109340244,1.477530677818641,1.0874176386391636,1.5,GLD_QQQ,"GLD,QQQ"
1.1,v1_1_staged_50_plus_ma60_overheat,1Y,2025-05-15,2026-05-15,252,0.9337859263375301,0.9337859263375301,-0.102213280952277,3.1324685718841856,0.21841713719949515,63,32,32,14,14,0,0,0,114,0.04099744148432959,40.997441484329585,1.4337036555805145,0.99848358566113,1.5,GLD_QQQ,"GLD,QQQ"
1.1,v1_1_staged_50_plus_ma60_overheat,15Y,2011-05-05,2026-05-15,3780,6.900327089231295,0.14773864499110867,-0.3210758740359312,0.8012093345278194,0.19604103259711989,853,481,481,228,209,0,0,0,958,0.6432912296524617,643.2912296524617,1.4613069042755786,1.0436225816277835,1.5,DBC_QQQ_GLD,"DBC,QQQ,GLD"
1.1,v1_1_staged_50_plus_ma60_overheat,10Y,2016-05-09,2026-05-15,2520,5.606989363487152,0.20781483842678838,-0.28050061525115233,1.017913780289793,0.20655523822557353,462,345,345,158,144,0,0,0,752,0.44209218258809874,442.09218258809864,1.4497196316169887,1.0920865844654606,1.5,DBC_QQQ_GLD,"DBC,QQQ,GLD"
1.1,v1_1_staged_50_plus_ma60_overheat,from_2020,2020-01-02,2026-05-15,1601,3.952437925794455,0.28636923652833124,-0.27832667715120774,1.213955346808009,0.2292443614336038,302,216,216,101,91,0,0,0,601,0.2773722062495302,277.37220624953017,1.4216387328988582,1.0689150950359094,1.5,DBC_QQQ_GLD,"DBC,QQQ,GLD"
1.1,v1_1_staged_50_plus_ma60_overheat,5Y,2021-05-11,2026-05-15,1260,2.367974680435486,0.27489307931508544,-0.27832667715120785,1.2003721266431722,0.22316060218038583,239,166,166,75,69,0,0,0,414,0.2093706802189879,209.3706802189879,1.4362120670308052,1.0796217957691003,1.5,DBC_QQQ_GLD,"DBC,QQQ,GLD"
1.1,v1_1_staged_50_plus_ma60_overheat,3Y,2023-05-11,2026-05-15,756,1.6458057408122126,0.3830970387313666,-0.21182648133630777,1.5801826166514705,0.22081819021805943,117,104,104,46,44,0,0,0,224,0.12966313594868775,129.66313594868774,1.4544399838295983,1.1342504800655127,1.5,DBC_QQQ_GLD,"DBC,QQQ,GLD"
