variant,window,code,days,share
v1_1_original_positive_score,15Y,CASH,763,0.21713147410358566
v1_1_original_positive_score,15Y,159915.SZ,739,0.21030165054069436
v1_1_original_positive_score,15Y,159941.SZ,642,0.18269778030734207
v1_1_original_positive_score,15Y,518880.SH,506,0.1439954467842914
v1_1_original_positive_score,15Y,513030.SH,379,0.10785429709732498
v1_1_original_positive_score,15Y,159985.SZ,287,0.08167330677290836
v1_1_original_positive_score,15Y,513520.SH,198,0.056346044393853156
v1_1_original_positive_score,10Y,159941.SZ,631,0.2503968253968254
v1_1_original_positive_score,10Y,159915.SZ,427,0.16944444444444445
v1_1_original_positive_score,10Y,518880.SH,426,0.16904761904761906
v1_1_original_positive_score,10Y,513030.SH,319,0.12658730158730158
v1_1_original_positive_score,10Y,159985.SZ,287,0.11388888888888889
v1_1_original_positive_score,10Y,CASH,232,0.09206349206349207
v1_1_original_positive_score,10Y,513520.SH,198,0.07857142857142857
v1_1_original_positive_score,from_2020,159941.SZ,326,0.21168831168831168
v1_1_original_positive_score,from_2020,159985.SZ,287,0.18636363636363637
v1_1_original_positive_score,from_2020,159915.SZ,276,0.17922077922077922
v1_1_original_positive_score,from_2020,518880.SH,193,0.1253246753246753
v1_1_original_positive_score,from_2020,513520.SH,181,0.11753246753246753
v1_1_original_positive_score,from_2020,513030.SH,156,0.1012987012987013
v1_1_original_positive_score,from_2020,CASH,121,0.07857142857142857
v1_1_original_positive_score,5Y,159941.SZ,270,0.21428571428571427
v1_1_original_positive_score,5Y,159985.SZ,241,0.19126984126984126
v1_1_original_positive_score,5Y,159915.SZ,206,0.1634920634920635
v1_1_original_positive_score,5Y,518880.SH,172,0.1365079365079365
v1_1_original_positive_score,5Y,513030.SH,135,0.10714285714285714
v1_1_original_positive_score,5Y,513520.SH,127,0.1007936507936508
v1_1_original_positive_score,5Y,CASH,109,0.0865079365079365
v1_1_original_positive_score,3Y,159941.SZ,163,0.2156084656084656
v1_1_original_positive_score,3Y,518880.SH,129,0.17063492063492064
v1_1_original_positive_score,3Y,159985.SZ,125,0.16534391534391535
v1_1_original_positive_score,3Y,159915.SZ,114,0.15079365079365079
v1_1_original_positive_score,3Y,513520.SH,92,0.12169312169312169
v1_1_original_positive_score,3Y,513030.SH,72,0.09523809523809523
v1_1_original_positive_score,3Y,CASH,61,0.08068783068783068
v1_1_original_positive_score,1Y,159915.SZ,80,0.31746031746031744
v1_1_original_positive_score,1Y,159941.SZ,44,0.1746031746031746
v1_1_original_positive_score,1Y,518880.SH,43,0.17063492063492064
v1_1_original_positive_score,1Y,513520.SH,30,0.11904761904761904
v1_1_original_positive_score,1Y,CASH,26,0.10317460317460317
v1_1_original_positive_score,1Y,159985.SZ,20,0.07936507936507936
v1_1_original_positive_score,1Y,513030.SH,9,0.03571428571428571
v1_1_allow_negative_stronger,15Y,159915.SZ,933,0.26550939100739895
v1_1_allow_negative_stronger,15Y,159941.SZ,676,0.19237336368810473
v1_1_allow_negative_stronger,15Y,518880.SH,661,0.18810472396129765
v1_1_allow_negative_stronger,15Y,513030.SH,454,0.12919749573136027
v1_1_allow_negative_stronger,15Y,159985.SZ,298,0.08480364257256688
v1_1_allow_negative_stronger,15Y,CASH,279,0.07939669891861127
v1_1_allow_negative_stronger,15Y,513520.SH,213,0.06061468412066021
v1_1_allow_negative_stronger,10Y,159941.SZ,665,0.2638888888888889
v1_1_allow_negative_stronger,10Y,518880.SH,485,0.19246031746031747
v1_1_allow_negative_stronger,10Y,159915.SZ,472,0.1873015873015873
v1_1_allow_negative_stronger,10Y,513030.SH,366,0.14523809523809525
v1_1_allow_negative_stronger,10Y,159985.SZ,298,0.11825396825396825
v1_1_allow_negative_stronger,10Y,513520.SH,213,0.08452380952380953
v1_1_allow_negative_stronger,10Y,CASH,21,0.008333333333333333
v1_1_allow_negative_stronger,from_2020,159941.SZ,355,0.2305194805194805
v1_1_allow_negative_stronger,from_2020,159985.SZ,298,0.19350649350649352
v1_1_allow_negative_stronger,from_2020,159915.SZ,297,0.19285714285714287
v1_1_allow_negative_stronger,from_2020,518880.SH,216,0.14025974025974025
v1_1_allow_negative_stronger,from_2020,513520.SH,196,0.12727272727272726
v1_1_allow_negative_stronger,from_2020,513030.SH,175,0.11363636363636363
v1_1_allow_negative_stronger,from_2020,CASH,3,0.001948051948051948
v1_1_allow_negative_stronger,5Y,159941.SZ,295,0.23412698412698413
v1_1_allow_negative_stronger,5Y,159985.SZ,252,0.2
v1_1_allow_negative_stronger,5Y,159915.SZ,225,0.17857142857142858
v1_1_allow_negative_stronger,5Y,518880.SH,192,0.1523809523809524
v1_1_allow_negative_stronger,5Y,513030.SH,154,0.12222222222222222
v1_1_allow_negative_stronger,5Y,513520.SH,140,0.1111111111111111
v1_1_allow_negative_stronger,5Y,CASH,2,0.0015873015873015873
v1_1_allow_negative_stronger,3Y,159941.SZ,178,0.23544973544973544
v1_1_allow_negative_stronger,3Y,159985.SZ,133,0.17592592592592593
v1_1_allow_negative_stronger,3Y,159915.SZ,131,0.17328042328042328
v1_1_allow_negative_stronger,3Y,518880.SH,130,0.17195767195767195
v1_1_allow_negative_stronger,3Y,513520.SH,97,0.1283068783068783
v1_1_allow_negative_stronger,3Y,513030.SH,85,0.11243386243386243
v1_1_allow_negative_stronger,3Y,CASH,2,0.0026455026455026454
v1_1_allow_negative_stronger,1Y,159915.SZ,81,0.32142857142857145
v1_1_allow_negative_stronger,1Y,159941.SZ,56,0.2222222222222222
v1_1_allow_negative_stronger,1Y,518880.SH,43,0.17063492063492064
v1_1_allow_negative_stronger,1Y,513520.SH,30,0.11904761904761904
v1_1_allow_negative_stronger,1Y,159985.SZ,23,0.09126984126984126
v1_1_allow_negative_stronger,1Y,513030.SH,17,0.06746031746031746
v1_1_allow_negative_stronger,1Y,CASH,2,0.007936507936507936
