series,window,start,end,obs,ret_corr,beta_to_futures,etf_ann_vol,futures_ann_vol
M0_main,from_2020,2020-01-03,2026-05-08,1534,0.8280350534880891,0.7347508235216935,0.197806547782939,0.22292013854259285
M0_main,5Y,2021-05-10,2026-05-08,1211,0.7976188313801915,0.6884421871623753,0.19684264433206888,0.22805894651092948
M0_main,3Y,2023-05-08,2026-05-08,727,0.7275604844441383,0.6132815238558166,0.18090210043571106,0.21461142185152718
M0_main,1Y,2025-05-08,2026-05-08,243,0.6504486693792744,0.6676938284432468,0.15802130706830364,0.15393994153847185
M0_main,6M,2025-11-10,2026-05-08,118,0.5651329707030031,0.6380254059280506,0.19614463038252572,0.17373571118893574
near_major,from_2020,2020-01-03,2026-05-08,1309,0.8589816410239562,0.8430593708030032,0.19375712943280718,0.19741648425277306
near_major,5Y,2021-05-10,2026-05-08,1030,0.8466568690326223,0.8314644164835039,0.1948928746632481,0.19845394197025948
near_major,3Y,2023-05-08,2026-05-08,615,0.8101927842930849,0.8196918817744894,0.1806147830888492,0.17852170705712186
near_major,1Y,2025-05-08,2026-05-08,203,0.6346089630302207,0.7575644266320699,0.16609857580354184,0.13914017243404175
near_major,6M,2025-11-10,2026-05-08,104,0.570158833378459,0.7959582920187666,0.20569510420899495,0.147342997520649
far_major,from_2020,2020-01-03,2026-05-08,1515,0.9250498094944817,1.0251592064609134,0.19125046860094314,0.17257437520927943
far_major,5Y,2021-05-10,2026-05-08,1196,0.9123028481715352,1.0268820400768421,0.19032651336916578,0.16908993774616454
far_major,3Y,2023-05-08,2026-05-08,718,0.863318884131886,1.0102774892393733,0.17699508945872594,0.1512487457711984
far_major,1Y,2025-05-08,2026-05-08,240,0.5698167429477073,0.8168614781217742,0.15872226248658344,0.11071963247838848
far_major,6M,2025-11-10,2026-05-08,117,0.44160676871704596,0.8308033466474658,0.19685353121950833,0.10463589510463892
