,soymeal_etf,M0_main,near_major,far_major
2020-01-02,,,,
2020-01-03,-0.004048582995951455,-0.0036088054853843365,0.002266717038156507,-0.0036088054853843365
2020-01-06,-0.0060975609756097615,-0.007968127490039834,-0.019223520542781758,-0.007968127490039834
2020-01-07,0.0,0.0014603870025555743,0.010376633358954557,0.0014603870025555743
2020-01-08,-0.0030674846625766694,-0.005833029529711986,-0.007607455306200106,-0.005833029529711986
2020-01-09,-0.00512820512820511,-0.004033736707004021,0.006515906477577715,-0.004033736707004021
2020-01-10,-0.01443298969072171,-0.018409425625920517,-0.013328255902513297,-0.018409425625920517
2020-01-13,-0.008368200836820106,-0.004126031507876937,-0.02431493631802395,-0.004126031507876937
2020-01-14,0.0021097046413502962,0.0015065913370997386,0.001977848101265778,0.0015065913370997386
2020-01-15,0.012631578947368327,0.012786761940579261,,0.012786761940579261
2020-01-16,-0.0031185031185031464,-0.001485332343111767,,-0.001485332343111767
2020-01-17,-0.002085505735140769,-0.002603198214949809,,-0.002603198214949809
2020-01-20,0.0,-0.00037285607755410677,,-0.00037285607755410677
2020-01-21,0.00940438871473348,0.010816859380827992,,0.010816859380827992
2020-01-22,-0.012422360248447228,-0.011808118081180763,,-0.011808118081180763
2020-01-23,-0.010482180293501009,-0.014189693801344272,,-0.014189693801344272
2020-02-03,-0.0264830508474575,-0.022727272727272707,,
2020-02-04,0.029379760609357986,0.02674418604651163,0.02674418604651163,0.02581369248035914
2020-02-05,-0.0042283298097252064,-0.005285013212533052,-0.005285013212533052,-0.004741064916119586
2020-02-06,0.0010615711252655036,0.0007590132827324236,0.0007590132827324236,-0.0007328691828508704
2020-02-07,-0.0031813361611876534,-0.0011376564277588708,-0.0011376564277588708,-0.001833516685001868
2020-02-10,0.010638297872340496,0.008352315869400107,0.008352315869400107,0.005878030859661987
2020-02-11,-0.002105263157894721,0.0003765060240963347,0.0003765060240963347,0.0021913805697588717
2020-02-12,-0.00421940928270037,-0.006021829130598455,-0.006021829130598455,-0.006924198250728875
2020-02-13,0.0158898305084747,0.016281711472927007,0.016281711472927007,0.014678899082568808
2020-02-14,-0.005213764337851923,-0.005961251862891204,-0.005961251862891204,-0.006509945750452051
2020-02-17,0.004192872117400492,0.004872563718140821,0.004872563718140821,0.006916636330542403
2020-02-18,-0.008350730688935326,-0.009324878776575951,-0.009324878776575951,-0.00795372378886483
2020-02-19,0.001052631578947416,0.001506024096385561,0.001506024096385561,0.0025510204081633514
