window,asset,days,share,log_return_contrib,pct_of_total_log_return,mean_daily_return_when_held,worst_day_when_held
15Y,ASHR,676,0.17883597883597885,-0.04495362300087383,-0.030430371166904124,0.0001500606960424456,-0.08676036455982872
15Y,CASH,670,0.17724867724867724,-0.05390627442107064,-0.036490672594426544,-8.042856269683379e-05,-0.0007500000000000284
15Y,DBC,593,0.15687830687830687,0.0816558071453584,0.055275111403547995,0.0002370101396091076,-0.07253261184514326
15Y,GLD,722,0.191005291005291,0.8300866141673463,0.5619089649192474,0.001257270761811424,-0.06537288049277523
15Y,QQQ,1119,0.29603174603174603,0.6643792142034852,0.4497369674385347,0.0006723304229658559,-0.059965111157493145
10Y,ASHR,406,0.16111111111111112,-0.003881718870523118,-0.0026007566836250924,0.0001502804742912359,-0.07418087470026946
10Y,CASH,379,0.1503968253968254,-0.031502348401294455,-0.021106614334363564,-8.309018426351193e-05,-0.0007500000000000284
10Y,DBC,491,0.19484126984126984,0.04342792246466666,0.029096764442066114,0.00019217099613762632,-0.07253261184514326
10Y,GLD,459,0.18214285714285713,0.7630358461254426,0.5112350076987507,0.0017668362304127112,-0.06537288049277523
10Y,QQQ,785,0.3115079365079365,0.7214547195151669,0.4833755988771732,0.0010078999381241377,-0.059965111157493145
from_2020,ASHR,215,0.13429106808244848,-0.007857975675281625,-0.0061013849451739,0.00014966311254615495,-0.07418087470026946
from_2020,CASH,246,0.15365396627108058,-0.02130513873305871,-0.016542536919480468,-8.657602946740809e-05,-0.0007500000000000284
from_2020,DBC,320,0.19987507807620236,0.13971512239878195,0.10848286882569223,0.0005648347890872985,-0.07253261184514326
from_2020,GLD,303,0.18925671455340412,0.5882984187382325,0.4567887791572248,0.0020663083939576735,-0.06537288049277523
from_2020,QQQ,517,0.32292317301686446,0.5890499017856203,0.4573722738817387,0.0012507827254861334,-0.059965111157493145
5Y,ASHR,143,0.11349206349206349,-0.04513063208900829,-0.0471571841855229,-0.00022107954504551735,-0.05311920911751511
5Y,CASH,192,0.1523809523809524,-0.019063518703900835,-0.019919549563830782,-9.925378877942714e-05,-0.0007500000000000284
5Y,DBC,241,0.19126984126984126,0.0004759362921767374,0.000497307800752463,0.00013570265254848608,-0.06724485655962975
5Y,GLD,278,0.22063492063492063,0.560705090147662,0.585883068460133,0.0021467678275321465,-0.06537288049277523
5Y,QQQ,406,0.32222222222222224,0.46003871586120704,0.4806963574884663,0.0012443291172958711,-0.05412478993179781
3Y,ASHR,82,0.10846560846560846,0.09773386703340038,0.10845239689563267,0.001295039808047513,-0.05311920911751511
3Y,CASH,95,0.12566137566137567,-0.010743543487990373,-0.011921794131269045,-0.00011304907481097687,-0.0007500000000000284
3Y,DBC,94,0.12433862433862433,-0.11397034739048563,-0.1264695414671554,-0.0011006602368307705,-0.052684106544708564
3Y,GLD,227,0.3002645502645503,0.519139368165502,0.5760736836616924,0.0024275089564913836,-0.06537288049277523
3Y,QQQ,258,0.3412698412698413,0.4090090007872715,0.45386525504110087,0.0016879979365574153,-0.05412478993179781
1Y,ASHR,50,0.1984126984126984,0.06921339632745202,0.1390690676847914,0.0014710295915761162,-0.0323305322677071
1Y,CASH,23,0.09126984126984126,-0.0032407295809486003,-0.0065115319483649145,-0.0001408548742192399,-0.0007500000000000284
1Y,DBC,40,0.15873015873015872,-0.05626301506755188,-0.11304813035849265,-0.0012453274538013815,-0.052684106544708564
1Y,GLD,74,0.29365079365079366,0.42080359874600964,0.8455121011422121,0.00588432105636189,-0.06537288049277523
1Y,QQQ,65,0.25793650793650796,0.06717755515610713,0.1349784934798531,0.0011114015009002706,-0.03086209828113462
