date,weighted_slope_position,weighted_slope_fraction,weighted_slope_best,weighted_slope_score_used,score_times_r2_position,score_times_r2_fraction,score_times_r2_best,score_times_r2_score_used
2013-09-05,159915.SZ,0.5,159915.SZ,1.1787831610376989,518880.SH,1.0,518880.SH,0.7588460196726318
2014-02-21,159915.SZ,1.0,159915.SZ,1.6157829480204873,518880.SH,0.5,518880.SH,1.131878345004851
2014-02-24,159915.SZ,1.0,159915.SZ,1.3904672503249058,518880.SH,0.5,518880.SH,1.2371953232911126
2014-07-04,159915.SZ,0.5,159915.SZ,0.9976894018178699,518880.SH,1.0,518880.SH,0.7620135732212341
2014-07-07,159915.SZ,1.0,159915.SZ,0.8887094637158357,518880.SH,1.0,518880.SH,0.581628873157814
2014-07-08,159915.SZ,1.0,159915.SZ,0.8829022687981709,159915.SZ,0.5,159915.SZ,0.48315991456069274
2014-07-09,159915.SZ,1.0,159915.SZ,0.7094902916212655,518880.SH,0.5,518880.SH,0.3732375756379232
2015-01-20,159915.SZ,0.5,159915.SZ,1.938586150895592,518880.SH,1.0,518880.SH,1.0128800661368198
2015-08-17,518880.SH,0.5,518880.SH,0.6780488457770126,513030.SH,0.5,513030.SH,0.17792028867820925
2015-11-05,159915.SZ,1.0,159915.SZ,3.838442422091762,159941.SZ,0.5,159941.SZ,2.2301986208591185
2015-11-06,159915.SZ,1.0,159915.SZ,3.9284955040767864,159915.SZ,0.5,159915.SZ,2.2675556006812894
2015-11-09,159915.SZ,1.0,159915.SZ,4.262928909861308,159915.SZ,0.5,159915.SZ,2.595520785456476
2015-11-10,159915.SZ,1.0,159915.SZ,4.67035009819631,159915.SZ,0.5,159915.SZ,2.9938994926001974
2015-11-11,159915.SZ,1.0,159915.SZ,5.693500647265687,159915.SZ,0.5,159915.SZ,3.8213032312077115
2015-12-02,513030.SH,0.5,513030.SH,0.2978554390640369,159941.SZ,0.5,159941.SZ,0.08842076018141458
2015-12-10,513030.SH,1.0,513030.SH,0.2720512082533877,159941.SZ,0.5,159941.SZ,0.06568561337406012
2015-12-29,159915.SZ,1.0,159915.SZ,0.5467359034091384,518880.SH,0.5,518880.SH,0.15424114513419096
2015-12-30,159915.SZ,1.0,159915.SZ,0.5323938221839113,518880.SH,1.0,518880.SH,0.14668398420691273
2015-12-31,518880.SH,0.5,518880.SH,0.19383474052728245,518880.SH,1.0,518880.SH,0.08920983245777821
2016-01-04,518880.SH,0.5,518880.SH,0.18777801243278192,518880.SH,1.0,518880.SH,0.08978694273870243
2016-01-05,518880.SH,0.5,518880.SH,0.22096905025911462,518880.SH,1.0,518880.SH,0.11662969628352894
2016-01-06,518880.SH,0.5,518880.SH,0.2952326825888343,518880.SH,1.0,518880.SH,0.16322104937607898
2016-01-07,518880.SH,0.5,518880.SH,0.4866416250373833,518880.SH,1.0,518880.SH,0.2424156792421392
2016-03-15,518880.SH,1.0,518880.SH,0.6054957354810862,159941.SZ,0.5,159941.SZ,0.38171789562549535
2016-03-23,159915.SZ,0.5,159915.SZ,2.7555807135536257,513030.SH,1.0,513030.SH,0.8268786938956286
2016-03-24,159915.SZ,1.0,159915.SZ,4.1685407624865025,159915.SZ,0.5,159915.SZ,1.726112839138581
2016-04-20,513030.SH,0.5,513030.SH,0.3348286297434515,159941.SZ,0.5,159941.SZ,0.17764802851310446
2016-06-06,159915.SZ,0.5,159915.SZ,1.5075844308893744,159941.SZ,1.0,159941.SZ,0.8603328373534648
2016-06-07,159915.SZ,1.0,159915.SZ,1.9472680459918568,159915.SZ,0.5,159915.SZ,1.1742271682832917
2016-06-14,159915.SZ,1.0,159915.SZ,1.0709807996067346,159941.SZ,0.5,159941.SZ,0.37938226914684425
2016-06-15,159915.SZ,1.0,159915.SZ,0.936115945685891,159915.SZ,0.5,159915.SZ,0.24175981316903802
2016-07-14,518880.SH,1.0,518880.SH,1.695685642127788,159915.SZ,0.5,159915.SZ,1.3006912538868427
2016-07-15,159915.SZ,0.5,159915.SZ,1.426444927583829,159915.SZ,1.0,159915.SZ,1.145965784578014
2016-09-05,159915.SZ,1.0,159915.SZ,0.2597508503290036,159941.SZ,0.5,159941.SZ,0.07509219195457964
2016-09-06,159915.SZ,1.0,159915.SZ,0.29194921421605446,159915.SZ,0.5,159915.SZ,0.08202397238916305
2016-09-07,159915.SZ,1.0,159915.SZ,0.27642922949113724,159941.SZ,0.5,159941.SZ,0.10109806169431006
2016-09-08,159915.SZ,1.0,159915.SZ,0.29660054247621237,159941.SZ,0.5,159941.SZ,0.12171933707904882
2016-09-09,159915.SZ,1.0,159915.SZ,0.2575938705159049,159941.SZ,1.0,159941.SZ,0.13313037517825713
2016-12-22,159941.SZ,0.5,159941.SZ,1.709426161432123,513030.SH,1.0,513030.SH,1.1868289368110214
2016-12-23,159941.SZ,1.0,159941.SZ,2.126822486671108,159941.SZ,0.5,159941.SZ,1.4038605340420036
2016-12-26,159941.SZ,1.0,159941.SZ,3.427872923496329,159941.SZ,0.5,159941.SZ,2.3058975449178623
2017-02-09,159941.SZ,0.5,159941.SZ,0.5194327816856943,518880.SH,0.5,518880.SH,0.1988074095691765
2017-08-04,159941.SZ,1.0,159941.SZ,0.41471379426342003,518880.SH,0.5,518880.SH,0.3211094449380034
2017-08-07,518880.SH,0.5,518880.SH,0.3488376277723,518880.SH,1.0,518880.SH,0.24975479726545285
2017-08-10,159915.SZ,0.5,159915.SZ,0.4991015872076563,518880.SH,1.0,518880.SH,0.11640190359650417
