selection_score_mode,version,scenario,date,position_before,position,trade_target,holding_fraction,best_candidate,best_candidate_score_used,current_score_used,target_vol_scale,overheat_scale,final_exposure_after_overheat,overheat_on,nav
weighted_slope,1.0,v1_0_original_full_entry,2026-05-08,159941.SZ,159941.SZ,,1.0,159941.SZ,5.409145282796129,5.409145282796129,0.6176778685708927,1.0,0.6176778685708927,False,36.032618786174574
weighted_slope,1.1,v1_1_staged_50_plus_ma60_overheat,2026-05-08,159941.SZ,159941.SZ,,0.5,159941.SZ,5.409145282796129,5.409145282796129,0.658071489898415,1.0,0.3290357449492075,False,40.56786316487719
weighted_slope_times_r2,1.0,v1_0_original_full_entry,2026-05-08,159941.SZ,159941.SZ,,1.0,159941.SZ,4.986962303086543,4.986962303086543,0.6127960235633311,1.0,0.6127960235633311,False,37.71160302584877
weighted_slope_times_r2,1.1,v1_1_staged_50_plus_ma60_overheat,2026-05-08,159941.SZ,159941.SZ,,0.5,159941.SZ,4.986962303086543,4.986962303086543,0.6615784787738723,1.0,0.33078923938693616,False,34.52001418683131
