code,name,first,last,rows,missing_in_joined_calendar,max_abs_daily_return,max_abs_daily_return_date,large_move_gt_30pct_count
159915.SZ,创业板100ETF,2011-12-09,2026-05-08,3496,0,0.19999999999999996,2024-09-30,0
159941.SZ,纳指ETF,2015-07-13,2026-05-08,2627,869,0.10006373486297004,2020-09-04,0
513030.SH,德国ETF,2014-09-05,2026-05-08,2832,664,0.10017678255745444,2025-04-07,0
513520.SH,日经ETF,2019-06-25,2026-05-08,1665,1831,0.09331373989713443,2025-04-07,0
159985.SZ,豆粕ETF,2019-12-05,2026-05-08,1554,1942,0.0888717156105101,2022-02-07,0
518880.SH,黄金ETF,2013-07-29,2026-05-08,3104,392,0.10000908347715509,2026-02-02,0
512100.SH,CSI1000_ETF,2016-11-04,2026-05-08,2307,1189,0.09991941982272357,2025-04-07,0
563300.SH,CSI2000_ETF_563300,2023-09-14,2026-05-08,636,2860,0.10028929604628722,2024-10-09,0
159531.SZ,CSI2000_ETF_159531,2023-09-18,2026-05-08,634,2862,0.10014727540500723,2024-02-08,0
562660.SH,CSI2000_ETF_562660,2023-09-14,2026-05-08,636,2860,0.10069930069930089,2024-02-08,0
159532.SZ,CSI2000_ETF_159532,2023-09-21,2026-05-08,631,2865,0.10008554319931562,2025-04-07,0
159533.SZ,CSI2000_ETF_159533,2024-06-07,2026-05-08,463,3033,0.09969558599695583,2025-04-07,0
159535.SZ,CSI2000_ETF_159535,2023-09-22,2026-05-08,630,2866,0.10000000000000009,2024-10-09,0
159536.SZ,CSI2000_ETF_159536,2023-09-21,2026-05-08,631,2865,0.1002685765443152,2025-04-07,0
