pool_label,window,code,days,share
GLD_ONLY,15Y,CASH,2313,0.611904761904762
GLD_ONLY,15Y,GLD,1467,0.3880952380952381
GLD_ONLY,10Y,CASH,1464,0.580952380952381
GLD_ONLY,10Y,GLD,1056,0.41904761904761906
GLD_ONLY,from_2020,CASH,891,0.5565271705184259
GLD_ONLY,from_2020,GLD,710,0.443472829481574
GLD_ONLY,5Y,CASH,688,0.546031746031746
GLD_ONLY,5Y,GLD,572,0.45396825396825397
GLD_ONLY,3Y,CASH,393,0.5198412698412699
GLD_ONLY,3Y,GLD,363,0.4801587301587302
GLD_ONLY,1Y,CASH,133,0.5277777777777778
GLD_ONLY,1Y,GLD,119,0.4722222222222222
QQQ_ONLY,15Y,QQQ,1976,0.5227513227513227
QQQ_ONLY,15Y,CASH,1804,0.47724867724867726
QQQ_ONLY,10Y,QQQ,1370,0.5436507936507936
QQQ_ONLY,10Y,CASH,1150,0.45634920634920634
QQQ_ONLY,from_2020,QQQ,846,0.52841973766396
QQQ_ONLY,from_2020,CASH,755,0.47158026233604
QQQ_ONLY,5Y,CASH,641,0.5087301587301587
QQQ_ONLY,5Y,QQQ,619,0.49126984126984125
QQQ_ONLY,3Y,QQQ,413,0.5462962962962963
QQQ_ONLY,3Y,CASH,343,0.4537037037037037
QQQ_ONLY,1Y,QQQ,129,0.5119047619047619
QQQ_ONLY,1Y,CASH,123,0.4880952380952381
GLD_QQQ,15Y,QQQ,1657,0.43835978835978834
GLD_QQQ,15Y,CASH,1127,0.29814814814814816
GLD_QQQ,15Y,GLD,996,0.2634920634920635
GLD_QQQ,10Y,QQQ,1156,0.4587301587301587
GLD_QQQ,10Y,CASH,685,0.2718253968253968
GLD_QQQ,10Y,GLD,679,0.26944444444444443
GLD_QQQ,from_2020,QQQ,706,0.44097439100562147
GLD_QQQ,from_2020,GLD,449,0.28044971892567144
GLD_QQQ,from_2020,CASH,446,0.27857589006870703
GLD_QQQ,5Y,QQQ,504,0.4
GLD_QQQ,5Y,GLD,392,0.3111111111111111
GLD_QQQ,5Y,CASH,364,0.28888888888888886
GLD_QQQ,3Y,QQQ,319,0.421957671957672
GLD_QQQ,3Y,GLD,272,0.35978835978835977
GLD_QQQ,3Y,CASH,165,0.21825396825396826
GLD_QQQ,1Y,GLD,100,0.3968253968253968
GLD_QQQ,1Y,QQQ,89,0.3531746031746032
GLD_QQQ,1Y,CASH,63,0.25
