scenario,added_count,added_codes,added_names,pool_size,source,r2_threshold,target_vol,score_min,score_max,window,start,end,days,total,cagr,maxdd,sharpe,vol,cash_days,half_position_days,overheat_days,trades,cost_sum,turnover_sum,avg_final_exposure,max_final_exposure
base6,0,,,6,qveris_cps3,0.2,0.25,0.0,5.0,from_2020,2020-01-02,2026-05-08,1535,16.824881547014474,0.6046498183466704,-0.16540663933670852,1.9322335498650296,0.26266323697221816,107,359,17,364,0.4032382944791668,344.5,0.9531154461086166,1.5
base6,0,,,6,qveris_cps3,0.2,0.25,0.0,5.0,5Y,2021-05-10,2026-05-08,1211,10.690863663000197,0.668056866618334,-0.16540663933670852,2.119619516211931,0.2569558664015505,90,253,17,271,0.3159745770316378,255.5,0.9865985573137159,1.5
base6,0,,,6,qveris_cps3,0.2,0.25,0.0,5.0,3Y,2023-05-08,2026-05-08,727,6.384497461290037,0.9997977591583511,-0.16540663933670852,2.7263252514483782,0.2673900386074998,53,170,7,168,0.19135138830707532,162.5,0.9248756636509752,1.5
base6,0,,,6,qveris_cps3,0.2,0.25,0.0,5.0,1Y,2025-05-08,2026-05-08,243,0.8911076492243013,0.9362659190025726,-0.13338572226381573,2.7940871271004655,0.24764453164384903,18,67,3,65,0.07242297766500293,62.5,0.9415409552476255,1.5
base6_plus_中证1000ETF,1,512100.SH,中证1000ETF,7,qveris_cps3,0.2,0.25,0.0,5.0,from_2020,2020-01-02,2026-05-08,1535,18.154935216652017,0.6237203244627345,-0.16547015519623742,1.982342286099181,0.26190636539805223,96,394,21,377,0.4261937655875256,359.5,0.9592393127567821,1.5
base6_plus_中证1000ETF,1,512100.SH,中证1000ETF,7,qveris_cps3,0.2,0.25,0.0,5.0,5Y,2021-05-10,2026-05-08,1211,11.348819040991794,0.6871707917282588,-0.16547015519623742,2.1733764105791598,0.2557173991224279,81,276,21,276,0.3297335531637593,263.5,0.9954812547800327,1.5
base6_plus_中证1000ETF,1,512100.SH,中证1000ETF,7,qveris_cps3,0.2,0.25,0.0,5.0,3Y,2023-05-08,2026-05-08,727,5.889827237734177,0.9523071401931937,-0.16547015519623742,2.6451872383246635,0.26639512030154,51,184,11,175,0.20439471735874365,171.5,0.9303782047947468,1.5
base6_plus_中证1000ETF,1,512100.SH,中证1000ETF,7,qveris_cps3,0.2,0.25,0.0,5.0,1Y,2025-05-08,2026-05-08,243,0.5434549789375183,0.5684664161512247,-0.1327817806908833,1.9475596102415962,0.24684244346519335,17,80,3,72,0.08322993372649348,70.5,0.9202626466101871,1.5
base6_plus_红利低波100ETF,1,515100.SH,红利低波100ETF,7,qveris_cps3,0.2,0.25,0.0,5.0,from_2020,2020-01-02,2026-05-08,1535,13.746500910335897,0.5554746829204535,-0.2026350061563258,1.813248663623269,0.2627279545028077,80,407,17,380,0.43128719782011876,366.5,0.9726714130817331,1.5
base6_plus_红利低波100ETF,1,515100.SH,红利低波100ETF,7,qveris_cps3,0.2,0.25,0.0,5.0,5Y,2021-05-10,2026-05-08,1211,8.53790919128861,0.5988835980658025,-0.20263500615632568,1.9512926819314962,0.2574692817137658,68,290,17,286,0.34153986491350874,275.5,1.0076480778201582,1.5
base6_plus_红利低波100ETF,1,515100.SH,红利低波100ETF,7,qveris_cps3,0.2,0.25,0.0,5.0,3Y,2023-05-08,2026-05-08,727,4.60746294897046,0.8177949447710124,-0.16568792223148088,2.3778028319475712,0.266254043661416,46,187,7,183,0.21199736901004163,178.0,0.953175006367782,1.5
base6_plus_红利低波100ETF,1,515100.SH,红利低波100ETF,7,qveris_cps3,0.2,0.25,0.0,5.0,1Y,2025-05-08,2026-05-08,243,0.8356515330578993,0.8774148566651463,-0.12285746760535832,2.6399245900630306,0.2506670974037556,11,74,3,67,0.07731257140511905,66.5,0.9633832036104041,1.5
base6_plus_十年国债ETF,1,511260.SH,十年国债ETF,7,qveris_cps3,0.2,0.25,0.0,5.0,from_2020,2020-01-02,2026-05-08,1535,16.417607251238014,0.5985724092068458,-0.17340837711722756,1.9182934126002473,0.26257777416435885,70,384,17,379,0.42733114405998524,364.5,0.9720585691745548,1.5
base6_plus_十年国债ETF,1,511260.SH,十年国债ETF,7,qveris_cps3,0.2,0.25,0.0,5.0,5Y,2021-05-10,2026-05-08,1211,10.533206691548804,0.6633507206660159,-0.17340837711722756,2.1092899746997134,0.2568597516878026,61,274,17,282,0.33612435353746695,270.5,1.006744252667956,1.5
base6_plus_十年国债ETF,1,511260.SH,十年国债ETF,7,qveris_cps3,0.2,0.25,0.0,5.0,3Y,2023-05-08,2026-05-08,727,6.305457744428142,0.9923521272796998,-0.17340837711722756,2.712242928287627,0.2674012316617017,35,179,7,172,0.19735613318181902,167.5,0.9488143865290051,1.5
base6_plus_十年国债ETF,1,511260.SH,十年国债ETF,7,qveris_cps3,0.2,0.25,0.0,5.0,1Y,2025-05-08,2026-05-08,243,0.8932364940019422,0.9385263750339494,-0.13338572226381573,2.798354656467444,0.24768881333431553,13,68,3,67,0.07451467896122091,64.5,0.9610917238267342,1.5
base6_plus_上证50ETF,1,510050.SH,上证50ETF,7,qveris_cps3,0.2,0.25,0.0,5.0,from_2020,2020-01-02,2026-05-08,1535,12.686042728515897,0.5365335173287094,-0.20189494076544456,1.7689225980464427,0.26228098272549794,95,391,18,386,0.43073698574287,368.5,0.9479362261227585,1.5
base6_plus_上证50ETF,1,510050.SH,上证50ETF,7,qveris_cps3,0.2,0.25,0.0,5.0,5Y,2021-05-10,2026-05-08,1211,7.790922608872835,0.571978046332634,-0.20189494076544467,1.889406837697136,0.25678468999464577,78,285,17,291,0.3420679298946491,277.5,0.9842392342892764,1.5
base6_plus_上证50ETF,1,510050.SH,上证50ETF,7,qveris_cps3,0.2,0.25,0.0,5.0,3Y,2023-05-08,2026-05-08,727,5.383692981671995,0.9013501068824155,-0.17181193882065804,2.5351879166332116,0.26760822977607773,52,184,7,178,0.20187777900760434,173.5,0.9155117807285057,1.5
base6_plus_上证50ETF,1,510050.SH,上证50ETF,7,qveris_cps3,0.2,0.25,0.0,5.0,1Y,2025-05-08,2026-05-08,243,0.8201315956293951,0.860956515735231,-0.13125355419322926,2.629779006385015,0.24803570668049954,17,68,3,65,0.07327379034441481,63.5,0.938328358737067,1.5
base6_plus_中证1000ETF+红利低波100ETF,2,"512100.SH,515100.SH","中证1000ETF,红利低波100ETF",8,qveris_cps3,0.2,0.25,0.0,5.0,from_2020,2020-01-02,2026-05-08,1535,14.276000054607108,0.5645092372487974,-0.18871675379576835,1.839622549463253,0.2620303193220844,78,429,21,387,0.44803780186685604,375.5,0.9765869502885117,1.5
base6_plus_中证1000ETF+红利低波100ETF,2,"512100.SH,515100.SH","中证1000ETF,红利低波100ETF",8,qveris_cps3,0.2,0.25,0.0,5.0,5Y,2021-05-10,2026-05-08,1211,8.481495154251078,0.5969110538380042,-0.18871675379576847,1.953729233170466,0.25638654751909296,66,304,21,289,0.35194988876432304,280.5,1.0138891369634215,1.5
base6_plus_中证1000ETF+红利低波100ETF,2,"512100.SH,515100.SH","中证1000ETF,红利低波100ETF",8,qveris_cps3,0.2,0.25,0.0,5.0,3Y,2023-05-08,2026-05-08,727,4.214149465175272,0.7725451182023222,-0.16575237075566907,2.2918687450303628,0.2650968401932115,45,200,11,190,0.2237851421991705,186.0,0.9574564737223056,1.5
base6_plus_中证1000ETF+红利低波100ETF,2,"512100.SH,515100.SH","中证1000ETF,红利低波100ETF",8,qveris_cps3,0.2,0.25,0.0,5.0,1Y,2025-05-08,2026-05-08,243,0.4953973992602023,0.5178508160163284,-0.12212441803755625,1.7962011696325488,0.24974928342441696,11,86,3,74,0.08688975139951513,73.5,0.9391538050393908,1.5
base6_plus_中证1000ETF+十年国债ETF,2,"512100.SH,511260.SH","中证1000ETF,十年国债ETF",8,qveris_cps3,0.2,0.25,0.0,5.0,from_2020,2020-01-02,2026-05-08,1535,17.676722900710132,0.616994881135756,-0.17347128401282563,1.9674205384343582,0.2617592101749905,59,419,21,392,0.45034106970567983,379.5,0.9782031602844075,1.5
base6_plus_中证1000ETF+十年国债ETF,2,"512100.SH,511260.SH","中证1000ETF,十年国债ETF",8,qveris_cps3,0.2,0.25,0.0,5.0,5Y,2021-05-10,2026-05-08,1211,11.159489506143025,0.6817550101873115,-0.17347128401282552,2.1620625762668007,0.25554496668162624,52,297,21,287,0.3498299374629388,278.5,1.0155109041126436,1.5
base6_plus_中证1000ETF+十年国债ETF,2,"512100.SH,511260.SH","中证1000ETF,十年国债ETF",8,qveris_cps3,0.2,0.25,0.0,5.0,3Y,2023-05-08,2026-05-08,727,5.81480363001596,0.9449118476402139,-0.17347128401282552,2.6308530962122734,0.26640177600457793,33,193,11,179,0.21041173104729746,176.5,0.9544003455109633,1.5
base6_plus_中证1000ETF+十年国债ETF,2,"512100.SH,511260.SH","中证1000ETF,十年国债ETF",8,qveris_cps3,0.2,0.25,0.0,5.0,1Y,2025-05-08,2026-05-08,243,0.5450984146739339,0.5701983719814545,-0.1327817806908832,1.9518132973575941,0.24687510502175733,12,81,3,74,0.08535232698309508,72.5,0.9400868072020593,1.5
