metric,count,p01,p05,p10,p25,p50,p75,p90,p95,p99
score,15084,-0.8826582883311899,-0.6742418138996862,-0.5468959259476628,-0.2553876547942075,0.11736042493467413,0.7055381803456076,1.6881315540449873,3.0307775942046242,8.403205820600098
r2,15084,0.0002871280983269232,0.007176125706913696,0.025439008231388897,0.13896919038091995,0.42615242693537486,0.6814367707272956,0.8108962707873056,0.8597525252572663,0.9205627193025913
score_gt_5_share,15084,,,,,0.024463007159904536,,,0.024463007159904536,
