score_max,score_max_numeric,window,start,end,rows,total_return,annual_return,max_drawdown,vol,sharpe,trades,cash_days,overheat_days,avg_scale,avg_final_exposure,latest_position_before,latest_position,latest_trade_target,latest_best_candidate,latest_best_score,latest_final_exposure,latest_nav
5.75,5.75,3Y,2023-05-08,2026-05-08,727,5.544857118072012,0.8702716340484413,-0.16200450731287075,0.26667204833287594,2.5939924397112937,158,51,9,1.129452040229294,0.9069839706394996,159941.SZ,159941.SZ,,159941.SZ,5.409145282796129,0.5470114777185919,45.94219879039311
5.75,5.75,1Y,2025-05-08,2026-05-08,243,0.7842490341213626,0.7849567607051315,-0.13699545489218168,0.23551239123702594,2.678244188925687,64,17,5,1.1141378664377346,0.8765049363971211,159941.SZ,159941.SZ,,159941.SZ,5.409145282796129,0.5470114777185919,45.94219879039311
6.00,6.0,6Y,2020-05-08,2026-05-08,1454,12.0206539901987,0.5339617392928075,-0.1818838677342116,0.25754794983288204,1.858219226055238,316,102,20,1.1781220355930304,0.9557180589613047,159941.SZ,159941.SZ,,159941.SZ,5.409145282796129,0.5374763560035296,47.93187923450375
6.00,6.0,3Y,2023-05-08,2026-05-08,727,5.502873078103052,0.8662648172552689,-0.1818838677342116,0.2676929504426293,2.576744171816857,156,51,10,1.1261910212102646,0.9064083864415742,159941.SZ,159941.SZ,,159941.SZ,5.409145282796129,0.5374763560035296,47.93187923450375
6.00,6.0,1Y,2025-05-08,2026-05-08,243,0.8468813474829382,0.847657578271434,-0.11936663418586813,0.23831676885202702,2.800096958438138,63,17,6,1.0995315288619663,0.8721028043523401,159941.SZ,159941.SZ,,159941.SZ,5.409145282796129,0.5374763560035296,47.93187923450375
6.25,6.25,6Y,2020-05-08,2026-05-08,1454,12.623480369212405,0.5455788055802435,-0.18188386773421172,0.2579980572149298,1.8859688143851998,318,100,20,1.1751509139873386,0.9557324577668188,159941.SZ,159941.SZ,,159941.SZ,5.409145282796129,0.5177529859140718,55.79482396914176
6.25,6.25,3Y,2023-05-08,2026-05-08,727,5.572433398470724,0.872894105961759,-0.18188386773421172,0.2684060686456078,2.584400963450412,158,50,10,1.1259730156471819,0.9074811632202839,159941.SZ,159941.SZ,,159941.SZ,5.409145282796129,0.5177529859140718,55.79482396914176
6.25,6.25,1Y,2025-05-08,2026-05-08,243,0.8666371779703286,0.867435321263397,-0.12038088984072648,0.24070803870958385,2.8206618378734905,65,16,6,1.098879306457192,0.8753123052499641,159941.SZ,159941.SZ,,159941.SZ,5.409145282796129,0.5177529859140718,55.79482396914176
6.50,6.5,6Y,2020-05-08,2026-05-08,1454,11.285319298976168,0.5191681344360772,-0.18188386773421183,0.2579226634076968,1.8168608284810968,313,99,23,1.1721485356133536,0.9530119394854113,159941.SZ,159941.SZ,,159941.SZ,5.409145282796129,0.5054677965255303,48.64505786940525
6.50,6.5,3Y,2023-05-08,2026-05-08,727,5.16296027897246,0.8331713956029607,-0.18188386773421172,0.2684973178845994,2.5003736956687943,153,49,13,1.119856118178735,0.9030835188627777,159941.SZ,159941.SZ,,159941.SZ,5.409145282796129,0.5054677965255303,48.64505786940525
6.50,6.5,1Y,2025-05-08,2026-05-08,243,0.7315366542108339,0.7321878928430761,-0.11303041578320727,0.24109577494857717,2.4926658937835193,60,15,9,1.0782001781269108,0.8576982764869174,159941.SZ,159941.SZ,,159941.SZ,5.409145282796129,0.5054677965255303,48.64505786940525
6.75,6.75,6Y,2020-05-08,2026-05-08,1454,10.684182052092956,0.5065156860411479,-0.18188386773421128,0.2560189954498275,1.7945429002589068,314,97,26,1.1599603082079477,0.9416460405668264,159941.SZ,159941.SZ,,159941.SZ,5.409145282796129,0.505467796525529,50.73631843051061
6.75,6.75,3Y,2023-05-08,2026-05-08,727,4.917696122307197,0.8085291374244754,-0.18188386773421128,0.2646268490514705,2.4797963181308655,153,49,16,1.0985204207229164,0.8774305963025116,159941.SZ,159941.SZ,,159941.SZ,5.409145282796129,0.505467796525529,50.73631843051061
6.75,6.75,1Y,2025-05-08,2026-05-08,243,0.7250814628404694,0.7257258588801596,-0.12752547619876065,0.2409555622439976,2.477852832137644,61,15,10,1.086098397451881,0.8544429654651691,159941.SZ,159941.SZ,,159941.SZ,5.409145282796129,0.505467796525529,50.73631843051061
7.00,7.0,6Y,2020-05-08,2026-05-08,1454,8.99138512460889,0.46771692857159297,-0.2029033869319653,0.2576750613973875,1.6795202844621704,304,95,26,1.1479790096491498,0.9386789310763416,159941.SZ,159941.SZ,,159941.SZ,5.409145282796129,0.4703375612204015,43.7412912331448
7.00,7.0,3Y,2023-05-08,2026-05-08,727,4.297293897199951,0.7429956506597848,-0.20290338693196508,0.26784809309596275,2.310080661278861,146,47,16,1.0750703836928106,0.8702090111830313,159941.SZ,159941.SZ,,159941.SZ,5.409145282796129,0.4703375612204015,43.7412912331448
7.00,7.0,1Y,2025-05-08,2026-05-08,243,0.6081079372640996,0.6086312724102096,-0.1275254761987613,0.24656749144861004,2.1315027999786786,57,13,10,1.0766551850042358,0.8598779682241834,159941.SZ,159941.SZ,,159941.SZ,5.409145282796129,0.4703375612204015,43.7412912331448
7.25,7.25,6Y,2020-05-08,2026-05-08,1454,9.049789205319744,0.4691436934337947,-0.20290338693196597,0.2573943697389961,1.6850771859455895,302,94,26,1.1553801871186242,0.9429930908730061,159941.SZ,159941.SZ,,159941.SZ,5.409145282796129,0.47044125309230617,49.313431256545016
7.25,7.25,3Y,2023-05-08,2026-05-08,727,4.365694151722088,0.7504639115653244,-0.20290338693196586,0.2673351205226224,2.330820489298144,142,46,16,1.0883669049699363,0.8800945282394281,159941.SZ,159941.SZ,,159941.SZ,5.409145282796129,0.47044125309230617,49.313431256545016
7.25,7.25,1Y,2025-05-08,2026-05-08,243,0.6288723113657686,0.6294167222958607,-0.12235568711976319,0.24491504956452423,2.1991374074603796,53,12,10,1.1164353124464985,0.8894531571130719,159941.SZ,159941.SZ,,159941.SZ,5.409145282796129,0.47044125309230617,49.313431256545016
7.50,7.5,6Y,2020-05-08,2026-05-08,1454,10.02488743862827,0.4919994856280665,-0.2029033869319654,0.2572849703204174,1.7480662902404647,302,93,29,1.1490919965626287,0.9358176131490338,159941.SZ,159941.SZ,,159941.SZ,5.409145282796129,0.44522587084833354,51.90579268420455
7.50,7.5,3Y,2023-05-08,2026-05-08,727,4.868951406472944,0.8035508899550676,-0.2029033869319652,0.26726668924577546,2.4477942561057313,142,46,19,1.0773857208427682,0.86513746317708,159941.SZ,159941.SZ,,159941.SZ,5.409145282796129,0.44522587084833354,51.90579268420455
7.50,7.5,1Y,2025-05-08,2026-05-08,243,0.7816469169579494,0.7823518297284973,-0.11756455065644433,0.24477227729487516,2.5805901213973597,53,12,13,1.0835821401812686,0.8447050653421803,159941.SZ,159941.SZ,,159941.SZ,5.409145282796129,0.44522587084833354,51.90579268420455
7.75,7.75,6Y,2020-05-08,2026-05-08,1454,9.548327273450266,0.48104930082583053,-0.2029033869319654,0.2573936943312718,1.7176491500224298,295,92,29,1.1410770588619104,0.9303998017192505,159941.SZ,159941.SZ,,159941.SZ,5.409145282796129,0.4452400580480825,48.803617352858026
7.75,7.75,3Y,2023-05-08,2026-05-08,727,4.793105535649106,0.7957497150055124,-0.2029033869319654,0.26767564481068,2.4275814464080447,138,46,19,1.0665740962413643,0.8552948176632087,159941.SZ,159941.SZ,,159941.SZ,5.409145282796129,0.4452400580480825,48.803617352858026
7.75,7.75,1Y,2025-05-08,2026-05-08,243,0.7823814998425356,0.7830872066943715,-0.11756455065644322,0.244256742578139,2.5868268554212874,52,12,13,1.0805732895302158,0.8399661774502051,159941.SZ,159941.SZ,,159941.SZ,5.409145282796129,0.4452400580480825,48.803617352858026
8.00,8.0,6Y,2020-05-08,2026-05-08,1454,9.186230562904342,0.47245011241017876,-0.20290338693196586,0.2568461986202101,1.6971063772810868,290,91,31,1.1388418854141105,0.9280595755477874,159941.SZ,159941.SZ,,159941.SZ,5.409145282796129,0.4408293320583679,49.99593682739417
8.00,8.0,3Y,2023-05-08,2026-05-08,727,4.8033588512599374,0.7968082915999544,-0.20290338693196597,0.2678922297722772,2.4281275069211627,138,46,19,1.0660414399054743,0.8552825908484196,159941.SZ,159941.SZ,,159941.SZ,5.409145282796129,0.4408293320583679,49.99593682739417
8.00,8.0,1Y,2025-05-08,2026-05-08,243,0.7855361670489771,0.7862452864428922,-0.11708383734512806,0.24496666154636026,2.5875380549468536,52,12,13,1.078979704525304,0.8399295976380539,159941.SZ,159941.SZ,,159941.SZ,5.409145282796129,0.4408293320583679,49.99593682739417
no_cap,inf,6Y,2020-05-08,2026-05-08,1454,7.354951855200424,0.42459819859660275,-0.2029033869319654,0.2460081543840057,1.619077470628447,245,88,81,1.0565005162633014,0.8535052373562014,159941.SZ,159941.SZ,,159941.SZ,5.409145282796129,0.3290357449492075,40.56786316487719
no_cap,inf,3Y,2023-05-08,2026-05-08,727,3.286794627043146,0.6242872263149979,-0.2029033869319653,0.2612421482416688,2.08073988443003,113,45,53,0.9551514780017234,0.7480273114627556,159941.SZ,159941.SZ,,159941.SZ,5.409145282796129,0.3290357449492075,40.56786316487719
no_cap,inf,1Y,2025-05-08,2026-05-08,243,0.5660127045842791,0.5664938798093719,-0.09027879527024707,0.2380471268987186,2.0833425652169173,33,11,28,0.9040044038215312,0.6939275384468456,159941.SZ,159941.SZ,,159941.SZ,5.409145282796129,0.3290357449492075,40.56786316487719
