score_max,score_max_numeric,window,start,end,rows,total_return,annual_return,max_drawdown,vol,sharpe,trades,cash_days,overheat_days,avg_scale,avg_final_exposure,latest_position_before,latest_position,latest_trade_target,latest_best_candidate,latest_best_score,latest_final_exposure,latest_nav
5.00,5.0,6Y,2020-05-08,2026-05-08,1454,13.847977413000223,0.5679147534859432,-0.16540663933670874,0.2585613997466175,1.9401660889382233,337,106,17,1.1973966551315018,0.9611344914801654,159941.SZ,159915.SZ,159915.SZ,159915.SZ,4.166212626476979,0.566211684009063,54.17203761276186
5.00,5.0,3Y,2023-05-08,2026-05-08,727,6.309052579335958,0.9403854638091069,-0.16540663933670885,0.2675339040419486,2.729816661400698,166,53,7,1.155767295623363,0.923983612876529,159941.SZ,159915.SZ,159915.SZ,159915.SZ,4.166212626476979,0.566211684009063,54.17203761276186
5.00,5.0,1Y,2025-05-08,2026-05-08,243,0.8902123331081673,0.8910368126751846,-0.13338572226381606,0.24753613723283624,2.8030048962837584,65,18,3,1.1910126065857067,0.9405463303269372,159941.SZ,159915.SZ,159915.SZ,159915.SZ,4.166212626476979,0.566211684009063,54.17203761276186
5.25,5.25,6Y,2020-05-08,2026-05-08,1454,13.788502727451997,0.5668660296910002,-0.167700752385455,0.2577151461843744,1.942927153206266,333,104,18,1.1950786663439086,0.9595743827487198,159941.SZ,159915.SZ,159915.SZ,159915.SZ,4.166212626476979,0.5626302775469638,50.46780020263823
5.25,5.25,3Y,2023-05-08,2026-05-08,727,6.296831684343935,0.9393036516848905,-0.16540663933670874,0.2672922143180327,2.7298707017024904,166,52,8,1.1543558752367724,0.9206502277431546,159941.SZ,159915.SZ,159915.SZ,159915.SZ,4.166212626476979,0.5626302775469638,50.46780020263823
5.25,5.25,1Y,2025-05-08,2026-05-08,243,0.8941075259263453,0.894936376366608,-0.13417104184388662,0.24705196663473736,2.8166921134365994,66,17,4,1.1846266150593538,0.9311739493145554,159941.SZ,159915.SZ,159915.SZ,159915.SZ,4.166212626476979,0.5626302775469638,50.46780020263823
5.50,5.5,6Y,2020-05-08,2026-05-08,1454,12.682060264450191,0.5466847232677585,-0.1677007523854558,0.25754242382319126,1.8917127316444513,325,103,18,1.1824967551693408,0.9509560024047352,159941.SZ,159941.SZ,,159941.SZ,5.409145282796129,0.5503166436025785,47.38232863655321
5.50,5.5,3Y,2023-05-08,2026-05-08,727,5.813894073598597,0.8955493379479007,-0.16200450731287075,0.26696735896368745,2.643861920838938,161,51,8,1.1325752315095683,0.9051076054552477,159941.SZ,159941.SZ,,159941.SZ,5.409145282796129,0.5503166436025785,47.38232863655321
5.50,5.5,1Y,2025-05-08,2026-05-08,243,0.869648827907956,0.8704503242538468,-0.13905350480031542,0.23682174190451252,2.86998006625649,64,17,4,1.1216691051617873,0.8792832228581536,159941.SZ,159941.SZ,,159941.SZ,5.409145282796129,0.5503166436025785,47.38232863655321
5.75,5.75,6Y,2020-05-08,2026-05-08,1454,12.541825821473841,0.544030636193586,-0.16770075238545556,0.2570967664866803,1.8875409574568396,322,102,19,1.1768865771586352,0.9523965699749846,159941.SZ,159941.SZ,,159941.SZ,5.409145282796129,0.5470114777185919,45.94219879039311
