window,code,days,share
15Y,QQQ,1120,0.2962962962962963
15Y,GLD,721,0.19074074074074074
15Y,ASHR,676,0.17883597883597885
15Y,CASH,670,0.17724867724867724
15Y,DBC,593,0.15687830687830687
10Y,QQQ,786,0.3119047619047619
10Y,DBC,490,0.19444444444444445
10Y,GLD,459,0.18214285714285713
10Y,ASHR,406,0.16111111111111112
10Y,CASH,379,0.1503968253968254
from_2020,QQQ,518,0.3235477826358526
from_2020,DBC,320,0.19987507807620236
from_2020,GLD,303,0.18925671455340412
from_2020,CASH,246,0.15365396627108058
from_2020,ASHR,214,0.13366645846346034
5Y,QQQ,407,0.32301587301587303
5Y,GLD,278,0.22063492063492063
5Y,DBC,240,0.19047619047619047
5Y,CASH,192,0.1523809523809524
5Y,ASHR,143,0.11349206349206349
3Y,QQQ,258,0.3412698412698413
3Y,GLD,227,0.3002645502645503
3Y,CASH,95,0.12566137566137567
3Y,DBC,94,0.12433862433862433
3Y,ASHR,82,0.10846560846560846
1Y,GLD,74,0.29365079365079366
1Y,QQQ,65,0.25793650793650796
1Y,ASHR,50,0.1984126984126984
1Y,DBC,40,0.15873015873015872
1Y,CASH,23,0.09126984126984126
