,soymeal_etf,M0_main,near_major,near_major_contract,far_major,far_major_contract
2020-01-02,0.988,2771.0,2647.0,M2001,2771.0,M2005
2020-01-03,0.984,2761.0,2653.0,M2001,2761.0,M2005
2020-01-06,0.978,2739.0,2602.0,M2001,2739.0,M2005
2020-01-07,0.978,2743.0,2629.0,M2001,2743.0,M2005
2020-01-08,0.975,2727.0,2609.0,M2001,2727.0,M2005
2020-01-09,0.97,2716.0,2626.0,M2001,2716.0,M2005
2020-01-10,0.956,2666.0,2591.0,M2001,2666.0,M2005
2020-01-13,0.948,2655.0,2528.0,M2001,2655.0,M2005
2020-01-14,0.95,2659.0,2533.0,M2001,2659.0,M2005
2020-01-15,0.962,2693.0,,M2001,2693.0,M2005
2020-01-16,0.959,2689.0,,M2001,2689.0,M2005
2020-01-17,0.957,2682.0,,M2001,2682.0,M2005
2020-01-20,0.957,2681.0,,M2001,2681.0,M2005
2020-01-21,0.966,2710.0,,M2001,2710.0,M2005
2020-01-22,0.954,2678.0,,M2001,2678.0,M2005
2020-01-23,0.944,2640.0,,M2001,2640.0,M2005
2020-02-03,0.919,2580.0,2580.0,M2005,2673.0,M2009
2020-02-04,0.946,2649.0,2649.0,M2005,2742.0,M2009
2020-02-05,0.942,2635.0,2635.0,M2005,2729.0,M2009
2020-02-06,0.943,2637.0,2637.0,M2005,2727.0,M2009
2020-02-07,0.94,2634.0,2634.0,M2005,2722.0,M2009
2020-02-10,0.95,2656.0,2656.0,M2005,2738.0,M2009
2020-02-11,0.948,2657.0,2657.0,M2005,2744.0,M2009
2020-02-12,0.944,2641.0,2641.0,M2005,2725.0,M2009
2020-02-13,0.959,2684.0,2684.0,M2005,2765.0,M2009
2020-02-14,0.954,2668.0,2668.0,M2005,2747.0,M2009
2020-02-17,0.958,2681.0,2681.0,M2005,2766.0,M2009
2020-02-18,0.95,2656.0,2656.0,M2005,2744.0,M2009
2020-02-19,0.951,2660.0,2660.0,M2005,2751.0,M2009
2020-02-20,0.951,2664.0,2664.0,M2005,2752.0,M2009
2020-02-21,0.951,2661.0,2661.0,M2005,2748.0,M2009
2020-02-24,0.937,2619.0,2619.0,M2005,2710.0,M2009
2020-02-25,0.942,2636.0,2636.0,M2005,2729.0,M2009
2020-02-26,0.943,2638.0,2638.0,M2005,2722.0,M2009
2020-02-27,0.945,2646.0,2646.0,M2005,2725.0,M2009
2020-02-28,0.933,2616.0,2616.0,M2005,2687.0,M2009
2020-03-02,0.971,2719.0,2719.0,M2005,2786.0,M2009
2020-03-03,0.968,2730.0,2730.0,M2005,2790.0,M2009
2020-03-04,0.968,2718.0,2718.0,M2005,2782.0,M2009
2020-03-05,0.969,2724.0,2724.0,M2005,2788.0,M2009
2020-03-06,0.964,2717.0,2717.0,M2005,2773.0,M2009
2020-03-09,0.948,2669.0,2669.0,M2005,2728.0,M2009
2020-03-10,0.957,2693.0,2693.0,M2005,2755.0,M2009
2020-03-11,0.95,2681.0,2681.0,M2005,2733.0,M2009
2020-03-12,0.946,2721.0,2670.0,M2005,2721.0,M2009
2020-03-13,0.959,2758.0,2739.0,M2005,2758.0,M2009
2020-03-16,0.959,2749.0,2747.0,M2005,2749.0,M2009
2020-03-17,0.96,2770.0,2775.0,M2005,2770.0,M2009
2020-03-18,0.958,2753.0,2778.0,M2005,2753.0,M2009
2020-03-19,0.949,2732.0,2750.0,M2005,2732.0,M2009
2020-03-20,0.977,2817.0,2831.0,M2005,2817.0,M2009
2020-03-23,1.029,2915.0,2943.0,M2005,2915.0,M2009
2020-03-24,1.015,2920.0,2918.0,M2005,2920.0,M2009
2020-03-25,1.032,2965.0,2968.0,M2005,2965.0,M2009
2020-03-26,1.005,2892.0,2895.0,M2005,2892.0,M2009
2020-03-27,1.017,2928.0,2947.0,M2005,2928.0,M2009
2020-03-30,1.026,2950.0,2977.0,M2005,2950.0,M2009
2020-03-31,1.023,2940.0,2957.0,M2005,2940.0,M2009
2020-04-01,0.993,2862.0,2868.0,M2005,2862.0,M2009
2020-04-02,0.989,2848.0,2834.0,M2005,2848.0,M2009
2020-04-03,0.976,2805.0,2774.0,M2005,2805.0,M2009
2020-04-07,0.979,2807.0,2782.0,M2005,2807.0,M2009
2020-04-08,0.981,2821.0,2793.0,M2005,2821.0,M2009
2020-04-09,0.982,2822.0,2798.0,M2005,2822.0,M2009
2020-04-10,0.983,2826.0,2800.0,M2005,2826.0,M2009
2020-04-13,0.976,2804.0,2775.0,M2005,2804.0,M2009
2020-04-14,0.976,2808.0,2759.0,M2005,2808.0,M2009
2020-04-15,0.977,2811.0,2765.0,M2005,2811.0,M2009
2020-04-16,0.962,2760.0,2713.0,M2005,2760.0,M2009
2020-04-17,0.961,2771.0,2721.0,M2005,2771.0,M2009
