contract,delivery_month,overlap_start,overlap_end,obs,ret_corr,etf_ann_vol,futures_ann_vol
M2005,2020-05,2020-01-03,2020-05-19,88,0.8978683936556336,0.19512621222272,0.20236895900867302
M2009,2020-09,2020-01-03,2020-09-11,169,0.9378738807780715,0.16821608310262662,0.15932668819336976
M2101,2021-01,2020-01-17,2021-01-15,241,0.9292602789687394,0.18602590039161038,0.17174069637606112
M2105,2021-05,2020-05-21,2021-05-19,241,0.9493760483082403,0.2067813819126942,0.18987337149807057
M2109,2021-09,2020-09-16,2021-09-14,243,0.9453464334773727,0.21849995549205173,0.20085076060815052
M2201,2022-01,2021-01-19,2022-01-12,238,0.9450926866581146,0.20166569848752763,0.18679811370393612
M2205,2022-05,2021-05-21,2022-05-13,237,0.9637607148789799,0.2332971719933124,0.21332509304823133
M2209,2022-09,2021-09-16,2022-09-15,241,0.953151595975125,0.2524176559086462,0.22510030616322937
M2301,2023-01,2022-01-19,2023-01-16,241,0.8714961733548169,0.25283492857223516,0.23764610465603367
M2305,2023-05,2022-05-20,2023-05-17,242,0.8883928363968382,0.20087080278416103,0.19590287240884302
M2309,2023-09,2022-09-19,2023-09-14,242,0.871496235580761,0.19408832955363411,0.1737068642911422
M2401,2024-01,2023-01-18,2024-01-10,237,0.9342062143951386,0.19551792961326558,0.1734253840324738
M2405,2024-05,2023-05-19,2024-05-17,241,0.8993423896971044,0.19873756027936712,0.16548545883751947
M2409,2024-09,2023-09-18,2024-09-13,241,0.9248258442087958,0.1704421714403595,0.14465323886582382
M2501,2025-01,2024-01-17,2025-01-15,240,0.9045763058820966,0.1803487165902551,0.17221949622110835
M2505,2025-05,2024-05-21,2025-05-19,241,0.9041744488978634,0.1797371975611674,0.17761080067028065
M2509,2025-09,2024-09-19,2025-09-12,238,0.930964642512951,0.16806449567376236,0.14961750219983302
M2601,2026-01,2025-01-17,2026-01-16,240,0.7581388406770858,0.1446409850478921,0.1297866417427026
M2605,2026-05,2025-05-21,2026-05-08,234,0.6908742356958703,0.16075923119188856,0.10980653603382762
M2609,2026-09,2025-09-16,2026-05-08,151,0.47078707345260695,0.18064014224625136,0.09070290854157952
M2701,2027-01,2026-01-20,2026-05-08,69,0.3577963221652356,0.2345196805275093,0.09064507791719362
