variant,overlay,window,start,end,rows,total_return,annual_return,max_drawdown,vol,sharpe,trades,cash_days,avg_scale,avg_final_exposure
score_lt_5,before_overheat,from_2020,2020-01-02,2026-05-08,1535,12.804453617257703,0.5122868519501405,-0.18947883224276996,0.26690065318861866,1.7667796494187442,365,113,1.1861502789107357,0.9639964712632597
score_lt_5,after_overheat,from_2020,2020-01-02,2026-05-08,1535,15.174466235713052,0.5505178321823623,-0.16540663933670874,0.26295127546062924,1.888333242488188,365,113,1.1861502789107357,0.950500687514201
score_lt_5,before_overheat,6Y,2020-05-08,2026-05-08,1454,11.672332584013438,0.5270433762664588,-0.18947883224276996,0.26280046034756044,1.808502135914133,337,106,1.1973966551315018,0.9753821036223973
score_lt_5,after_overheat,6Y,2020-05-08,2026-05-08,1454,13.847977413000223,0.5679147534859432,-0.16540663933670874,0.2585613997466175,1.9401660889382233,337,106,1.1973966551315018,0.9611344914801654
score_lt_5,before_overheat,3Y,2023-05-08,2026-05-08,727,5.404741028627998,0.8568316768817039,-0.16540663933670863,0.2732834592762314,2.5102913945960657,166,53,1.155767295623363,0.9357203637151633
score_lt_5,after_overheat,3Y,2023-05-08,2026-05-08,727,6.309052579335958,0.9403854638091069,-0.16540663933670885,0.2675339040419486,2.729816661400698,166,53,1.155767295623363,0.923983612876529
score_lt_5,before_overheat,1Y,2025-05-08,2026-05-08,243,0.7970047643474869,0.7977263219783299,-0.13338572226381684,0.25558024138854735,2.5173000279705318,65,18,1.1910126065857067,0.9577081534516727
score_lt_5,after_overheat,1Y,2025-05-08,2026-05-08,243,0.8902123331081673,0.8910368126751846,-0.13338572226381606,0.24753613723283624,2.8030048962837584,65,18,1.1910126065857067,0.9405463303269372
score_no_cap,before_overheat,from_2020,2020-01-02,2026-05-08,1535,4.5034216980912385,0.3082850674854303,-0.2029033869319654,0.280100275682123,1.157358542328179,261,95,1.051633577883826,0.8977218304994731
score_no_cap,after_overheat,from_2020,2020-01-02,2026-05-08,1535,7.591233371192217,0.40339599177216545,-0.2029033869319654,0.25159646741923497,1.5489175696977748,261,95,1.051633577883826,0.84899832657662
score_no_cap,before_overheat,6Y,2020-05-08,2026-05-08,1454,4.581603865300033,0.33195096748104835,-0.2029033869319654,0.27619581613544913,1.2176009731037183,245,88,1.0565005162633014,0.9033547766378559
score_no_cap,after_overheat,6Y,2020-05-08,2026-05-08,1454,7.354951855200424,0.42459819859660275,-0.2029033869319654,0.2460081543840057,1.619077470628447,245,88,1.0565005162633014,0.8535052373562014
score_no_cap,before_overheat,3Y,2023-05-08,2026-05-08,727,2.37027626836518,0.49916136075947737,-0.2029033869319654,0.299197921279292,1.573577398282578,113,45,0.9551514780017234,0.8110595820504235
score_no_cap,after_overheat,3Y,2023-05-08,2026-05-08,727,3.286794627043146,0.6242872263149979,-0.2029033869319653,0.2612421482416688,2.08073988443003,113,45,0.9551514780017234,0.7480273114627556
score_no_cap,before_overheat,1Y,2025-05-08,2026-05-08,243,0.5070392995177364,0.5074627203888478,-0.15292208479791258,0.28194203597310524,1.6584445554466993,33,11,0.9040044038215312,0.8116236022639092
score_no_cap,after_overheat,1Y,2025-05-08,2026-05-08,243,0.5660127045842791,0.5664938798093719,-0.09027879527024707,0.2380471268987186,2.0833425652169173,33,11,0.9040044038215312,0.6939275384468456
