code,name,source,adjustment,first,last,rows
159915.SZ,CYB100_ETF,akshare.fund_etf_hist_em daily close,qfq/front-adjusted,2011-12-09,2026-07-01,3532
159941.SZ,NASDAQ_ETF,akshare.fund_etf_hist_em daily close,qfq/front-adjusted,2015-07-13,2026-07-01,2664
513030.SH,GERMANY_ETF,akshare.fund_etf_hist_em daily close,qfq/front-adjusted,2014-09-05,2026-07-01,2868
513520.SH,NIKKEI_ETF,akshare.fund_etf_hist_em daily close,qfq/front-adjusted,2019-06-25,2026-07-01,1702
159985.SZ,SOYMEAL_ETF,akshare.fund_etf_hist_em daily close,qfq/front-adjusted,2019-12-05,2026-07-01,1591
518880.SH,GOLD_ETF,akshare.fund_etf_hist_em daily close,qfq/front-adjusted,2013-07-29,2026-07-01,3141
