version,scenario,window,start,end,days,total,cagr,maxdd,sharpe,vol,cash_days,half_position_days,pending_days,staged_initials,staged_fills,overheat_days,overheat_triggers,overheat_recoveries,trades,cost_sum,turnover_sum,avg_scale,avg_final_exposure,max_final_exposure,weighting_case
diagnostic,linear_current,from_2020,2020-01-02,2026-05-08,1535,15.747316755280057,0.5883065674850185,-0.18054057908721044,1.8987898024441365,0.26176011292387075,113,345,345,187,151,18,6,6,1269,0.40891608838425264,408.91608838425265,1.1836662793009454,0.9531226868918853,1.5,linear_current
diagnostic,linear_current,5Y,2021-05-10,2026-05-08,1211,9.896363466685681,0.6438057773596817,-0.18054057908721055,2.0689719969618614,0.25603986808987683,96,245,245,138,114,18,6,6,960,0.3224209088898115,322.42090888981147,1.2261394012910594,0.9881679731089424,1.5,linear_current
diagnostic,linear_current,3Y,2023-05-08,2026-05-08,727,6.571800841574701,1.0172364199886679,-0.16550599700214552,2.7626579453777222,0.2669846459938101,53,165,165,87,71,8,4,4,611,0.1916476809452099,191.64768094520988,1.157271140181522,0.928425968735333,1.5,linear_current
diagnostic,linear_current,1Y,2025-05-08,2026-05-08,243,0.9083217351116701,0.9545469199680434,-0.12751321964343498,2.836320506321077,0.24724049356492475,18,67,67,36,25,4,2,2,214,0.07372737758619043,73.72737758619043,1.195169200640551,0.9407402119497495,1.5,linear_current
diagnostic,ema_half_life_5,from_2020,2020-01-02,2026-05-08,1535,9.769736794485613,0.4772584087725069,-0.16109772168699954,1.6364509556328575,0.259049354395665,127,365,365,190,151,18,6,4,1270,0.42018942411356963,420.1894241135696,1.2218698548447753,0.9677923467583627,1.5,ema_half_life_5
diagnostic,ema_half_life_5,5Y,2021-05-10,2026-05-08,1211,7.652696900184139,0.566802237462781,-0.16109772168699954,1.8885987206525103,0.2549738073205988,107,259,259,141,116,17,5,3,961,0.32970427691665805,329.70427691665805,1.2552928813862936,0.9973315916463279,1.5,ema_half_life_5
diagnostic,ema_half_life_5,3Y,2023-05-08,2026-05-08,727,4.789549485672901,0.8380424879706594,-0.16109772168699965,2.4325632821551193,0.26472065547576523,56,169,169,94,75,7,3,2,611,0.20742648600943459,207.42648600943454,1.2047128241553406,0.9658079989146986,1.5,ema_half_life_5
diagnostic,ema_half_life_5,1Y,2025-05-08,2026-05-08,243,0.804527023361636,0.8444136621590395,-0.12871123412161045,2.5720356399000335,0.25036269181118653,19,71,71,37,25,4,2,1,213,0.07193973631968453,71.93973631968451,1.1910163337680348,0.925315230735216,1.5,ema_half_life_5
diagnostic,ema_half_life_7,from_2020,2020-01-02,2026-05-08,1535,17.77977861634205,0.6184562940805542,-0.17627395821624015,1.983112449651214,0.25990379251337153,110,345,345,177,142,18,6,5,1262,0.3856325590145058,385.6325590145059,1.1887348505742836,0.9581462710397007,1.5,ema_half_life_7
diagnostic,ema_half_life_7,5Y,2021-05-10,2026-05-08,1211,10.828272801514403,0.6721177876672881,-0.17627395821624015,2.1395794035017097,0.25553124393560933,93,246,246,130,105,18,6,5,953,0.29963684291746173,299.63684291746176,1.2282873575634234,0.9909688943482794,1.5,ema_half_life_7
diagnostic,ema_half_life_7,3Y,2023-05-08,2026-05-08,727,6.381723016134909,0.9995372873538122,-0.17627395821624003,2.73579877695777,0.2663175517114484,52,172,172,87,66,8,4,3,608,0.18364143799363486,183.64143799363487,1.1637164836784257,0.9282815263947357,1.5,ema_half_life_7
diagnostic,ema_half_life_7,1Y,2025-05-08,2026-05-08,243,1.0163202904661017,1.069376451597424,-0.12351001453471433,3.0521015526246464,0.2486288017188023,16,67,67,31,24,4,2,2,218,0.06708142830216265,67.08142830216266,1.195919721232836,0.9515419554287731,1.5,ema_half_life_7
diagnostic,ema_half_life_10,from_2020,2020-01-02,2026-05-08,1535,11.636018312969448,0.5165288353228774,-0.18671881408508706,1.7098249633948623,0.26395123785907654,102,329,329,169,139,17,6,5,1286,0.3699316703217732,369.93167032177314,1.1667863376441012,0.9529316948919563,1.5,ema_half_life_10
diagnostic,ema_half_life_10,5Y,2021-05-10,2026-05-08,1211,7.486121676174481,0.560477162320802,-0.18671881408508695,1.8495470987429425,0.25861179422662695,86,229,229,122,103,17,6,5,976,0.2881793116047665,288.17931160476644,1.209462355933686,0.9906150643940461,1.5,ema_half_life_10
diagnostic,ema_half_life_10,3Y,2023-05-08,2026-05-08,727,4.863060536069225,0.8460988114143486,-0.17910325275097316,2.4277971194355943,0.2672212198653667,51,158,158,80,67,7,4,3,612,0.1775928428176617,177.59284281766168,1.1354477210222655,0.916059975231916,1.5,ema_half_life_10
diagnostic,ema_half_life_10,1Y,2025-05-08,2026-05-08,243,0.7390458360546761,0.7750534596953396,-0.11997148433439575,2.5668295586626733,0.234393597608742,15,62,62,33,26,4,2,1,228,0.06867027465157419,68.67027465157419,1.1135836236612455,0.8904392697181831,1.4535277252873633,ema_half_life_10
diagnostic,ema_half_life_15,from_2020,2020-01-02,2026-05-08,1535,10.980484253422341,0.5033235826676075,-0.2053376261178913,1.6839425854050587,0.2626683529064464,100,332,332,169,134,19,8,5,1318,0.35698978752636745,356.9897875263674,1.1544522360999903,0.9425298320984684,1.5,ema_half_life_15
diagnostic,ema_half_life_15,5Y,2021-05-10,2026-05-08,1211,7.305585664625307,0.5535099634391607,-0.20533762611789141,1.8448931575322143,0.25663622515273904,86,219,219,117,98,19,8,5,1005,0.26924992304872236,269.2499230487224,1.1908492752153486,0.97845920998725,1.5,ema_half_life_15
diagnostic,ema_half_life_15,3Y,2023-05-08,2026-05-08,727,4.498418060190717,0.8054630455702942,-0.2053376261178913,2.381925346581252,0.26255271349008713,50,150,150,81,65,9,6,3,628,0.16911441477184141,169.1144147718414,1.091383876073418,0.8855822395745125,1.5,ema_half_life_15
diagnostic,ema_half_life_15,1Y,2025-05-08,2026-05-08,243,0.8191446085998422,0.8599100264469206,-0.09067180879472325,2.7146961976564534,0.23927932956147763,14,58,58,33,24,4,2,1,229,0.06406255926075534,64.06255926075534,1.0862856837175567,0.8857231715385615,1.441087566451043,ema_half_life_15
diagnostic,ema_half_life_20,from_2020,2020-01-02,2026-05-08,1535,8.928905725375055,0.45767492719982394,-0.23043168943673953,1.5599851134289762,0.2639961141666926,96,330,330,165,130,21,9,6,1317,0.35484925269772727,354.84925269772725,1.1603894835409752,0.949854194048437,1.5,ema_half_life_20
diagnostic,ema_half_life_20,5Y,2021-05-10,2026-05-08,1211,5.429768940506875,0.472920757489647,-0.23043168943673953,1.6292898708791481,0.2581165819388051,84,218,218,112,94,20,8,6,1003,0.26513167841102614,265.1316784110261,1.196048957478797,0.9840438877751513,1.5,ema_half_life_20
diagnostic,ema_half_life_20,3Y,2023-05-08,2026-05-08,727,3.242177463974297,0.6502171961211671,-0.23043168943673942,2.0171275269548516,0.26584302301664403,49,145,145,76,61,10,6,4,628,0.16472298901056495,164.72298901056496,1.0984481032611275,0.8958713720687415,1.5,ema_half_life_20
diagnostic,ema_half_life_20,1Y,2025-05-08,2026-05-08,243,0.6958513105304844,0.7293528531037401,-0.13879231623821608,2.3481781330128535,0.2463691208656484,14,62,62,32,23,5,2,1,228,0.06601186575197082,66.01186575197082,1.1364080884106205,0.9171645057416284,1.4410875664510427,ema_half_life_20
