version,scenario,window,start,end,days,total,cagr,maxdd,sharpe,vol,cash_days,half_position_days,pending_days,staged_initials,staged_fills,overheat_days,overheat_triggers,overheat_recoveries,trades,cost_sum,turnover_sum,avg_scale,avg_final_exposure,max_final_exposure
1.0,v1_0_original_full_entry,full_sample,2011-12-09,2026-06-26,3530,56.827060884639664,0.33596535544052464,-0.32413597055327636,1.2528011786715956,0.25754635619300065,737,0,0,0,0,0,0,0,2760,0.7503632462612414,750.3632462612413,1.2051453716723262,0.9411887987517294,1.5
1.0,v1_0_original_full_entry,10Y,2016-02-05,2026-06-26,2520,22.99644861834901,0.37408847569248604,-0.32413597055327537,1.3431552807499245,0.2620479328667099,221,0,0,0,0,0,0,0,2265,0.6237331435725131,623.733143572513,1.1915868824399176,1.0804338701769938,1.5
1.0,v1_0_original_full_entry,5Y,2021-04-14,2026-06-26,1260,9.83204697868994,0.610430944607256,-0.21517446111088345,1.84193201522506,0.2796988714752489,91,0,0,0,0,0,0,0,1168,0.3206517530632077,320.65175306320765,1.0905780521527373,1.0108571760770768,1.5
1.0,v1_0_original_full_entry,3Y,2023-05-15,2026-06-26,756,6.5581167450543365,0.9624768029544419,-0.1877597548321419,2.4225776866234283,0.2963021387008221,54,0,0,0,0,0,0,0,701,0.1950413861162775,195.0413861162775,1.012044962163808,0.9372192631225938,1.5
1.0,v1_0_original_full_entry,1Y,2025-06-13,2026-06-26,252,1.1152734896341658,1.1152734896341658,-0.15536223708620545,2.754232646939852,0.2873091137126768,19,0,0,0,0,0,0,0,237,0.07502746541861247,75.02746541861245,1.0236938757159653,0.9603064365430397,1.370393775495933
1.0,v1_0_original_full_entry,from_2020,2020-01-02,2026-06-26,1569,19.85020721774341,0.6287887610255696,-0.215174461110884,1.879429488075443,0.280392084673657,108,0,0,0,0,0,0,0,1456,0.4146287270994709,414.6287270994709,1.0629417678922686,0.9895247984497944,1.5
1.1,v1_1_staged_50_plus_ma60_overheat,full_sample,2011-12-09,2026-06-26,3530,78.92777178491339,0.3671934776731154,-0.30593352701522547,1.4057265478879133,0.2436008926545155,737,607,607,325,272,32,13,10,2748,0.7566224766065166,756.6224766065166,1.2781815665327574,0.8894896571521146,1.5
1.1,v1_1_staged_50_plus_ma60_overheat,10Y,2016-02-05,2026-06-26,2520,30.75765450341456,0.4131388688304707,-0.305933527015226,1.5087064112119923,0.24995811629356351,221,506,506,272,224,22,9,7,2252,0.6237895360298064,623.7895360298063,1.28142495090535,1.0306073979982868,1.5
1.1,v1_1_staged_50_plus_ma60_overheat,5Y,2021-04-14,2026-06-26,1260,14.915944953828214,0.739267916074366,-0.17357010232651904,2.2564716622994037,0.260315915921659,91,263,263,152,120,20,8,6,1156,0.33346789954725414,333.4678995472542,1.2202762988379101,0.988187689120472,1.5
1.1,v1_1_staged_50_plus_ma60_overheat,3Y,2023-05-15,2026-06-26,756,8.903378052795025,1.1474733652698057,-0.16302525023327186,2.9417452291216755,0.2725631137437683,54,178,178,98,75,10,6,4,696,0.20243292296420876,202.43292296420876,1.1576043572835761,0.924661216627035,1.5
1.1,v1_1_staged_50_plus_ma60_overheat,1Y,2025-06-13,2026-06-26,252,1.3750582164310572,1.3750582164310572,-0.12861580287089558,3.2814046986089593,0.2754755434804938,19,73,73,40,27,6,4,2,234,0.07728870215222292,77.28870215222291,1.1899011999641804,0.9173686031089755,1.4815309307099056
1.1,v1_1_staged_50_plus_ma60_overheat,from_2020,2020-01-02,2026-06-26,1569,25.060395004376122,0.6881978143467895,-0.1735701023265187,2.11173177195651,0.26464889932309166,108,362,362,200,156,20,8,6,1446,0.41652075233798586,416.52075233798587,1.1790819495085505,0.9514391710232544,1.5
