variant,overlay,window,start,end,rows,total_return,annual_return,max_drawdown,vol,sharpe,trades,cash_days,avg_scale,avg_final_exposure,score_gate_days,score_gate_count_end_minus_start,staged_initials,staged_fills
baseline_score_lt_5_half,before_overheat,from_2020,2020-01-02,2026-05-08,1535,12.804453617257703,0.5122868519501405,-0.18947883224276996,0.26690065318861866,1.7667796494187442,365,113,1.1861502789107357,0.9639964712632597,0,0,192,152
baseline_score_lt_5_half,after_overheat,from_2020,2020-01-02,2026-05-08,1535,15.174466235713052,0.5505178321823623,-0.16540663933670874,0.26295127546062924,1.888333242488188,365,113,1.1861502789107357,0.950500687514201,0,0,192,152
baseline_score_lt_5_half,before_overheat,6Y,2020-05-08,2026-05-08,1454,11.672332584013438,0.5270433762664588,-0.18947883224276996,0.26280046034756044,1.808502135914133,337,106,1.1973966551315018,0.9753821036223973,0,0,176,142
baseline_score_lt_5_half,after_overheat,6Y,2020-05-08,2026-05-08,1454,13.847977413000223,0.5679147534859432,-0.16540663933670874,0.2585613997466175,1.9401660889382233,337,106,1.1973966551315018,0.9611344914801654,0,0,176,142
baseline_score_lt_5_half,before_overheat,3Y,2023-05-08,2026-05-08,727,5.404741028627998,0.8568316768817039,-0.16540663933670863,0.2732834592762314,2.5102913945960657,166,53,1.155767295623363,0.9357203637151633,0,0,88,71
baseline_score_lt_5_half,after_overheat,3Y,2023-05-08,2026-05-08,727,6.309052579335958,0.9403854638091069,-0.16540663933670885,0.2675339040419486,2.729816661400698,166,53,1.155767295623363,0.923983612876529,0,0,88,71
baseline_score_lt_5_half,before_overheat,1Y,2025-05-08,2026-05-08,243,0.7970047643474869,0.7977263219783299,-0.13338572226381684,0.25558024138854735,2.5173000279705318,65,18,1.1910126065857067,0.9577081534516727,0,0,36,26
baseline_score_lt_5_half,after_overheat,1Y,2025-05-08,2026-05-08,243,0.8902123331081673,0.8910368126751846,-0.13338572226381606,0.24753613723283624,2.8030048962837584,65,18,1.1910126065857067,0.9405463303269372,0,0,36,26
score_over5_cash_full_reentry,before_overheat,from_2020,2020-01-02,2026-05-08,1535,11.669796236630507,0.4919858839477784,-0.20639778768193406,0.27784456305846916,1.6547599245173168,194,293,1.1460993584543926,0.933021134942088,198,198,0,0
score_over5_cash_full_reentry,after_overheat,from_2020,2020-01-02,2026-05-08,1535,13.587325195981569,0.5254887927863727,-0.1880068599051279,0.274752019404094,1.7545490708029152,194,293,1.1460993584543926,0.9215628747303222,198,198,0,0
score_over5_cash_full_reentry,before_overheat,6Y,2020-05-08,2026-05-08,1454,9.780527749338853,0.4864350798871113,-0.20639778768193395,0.2750171511799919,1.6342188038952505,180,268,1.1563190508099066,0.9459927993194632,180,179,0,0
