weighting_case,window,cagr,cagr_delta_pp,maxdd,maxdd_delta_pp,sharpe,sharpe_delta,trades,trades_delta,cost_sum,cost_delta,overheat_days,overheat_days_delta
linear_current,from_2020,0.5883065674850185,0.0,-0.18054057908721044,0.0,1.8987898024441365,0.0,1269,0,0.40891608838425264,0.0,18,0
linear_current,5Y,0.6438057773596817,0.0,-0.18054057908721055,0.0,2.0689719969618614,0.0,960,0,0.3224209088898115,0.0,18,0
linear_current,3Y,1.0172364199886679,0.0,-0.16550599700214552,0.0,2.7626579453777222,0.0,611,0,0.1916476809452099,0.0,8,0
linear_current,1Y,0.9545469199680434,0.0,-0.12751321964343498,0.0,2.836320506321077,0.0,214,0,0.07372737758619043,0.0,4,0
ema_half_life_5,from_2020,0.4772584087725069,-11.104815871251162,-0.16109772168699954,1.94428574002109,1.6364509556328575,-0.26233884681127906,1270,1,0.42018942411356963,0.011273335729316991,18,0
ema_half_life_5,5Y,0.566802237462781,-7.7003539896900675,-0.16109772168699954,1.944285740021101,1.8885987206525103,-0.18037327630935107,961,1,0.32970427691665805,0.007283368026846537,17,-1
ema_half_life_5,3Y,0.8380424879706594,-17.919393201800847,-0.16109772168699965,0.4408275315145871,2.4325632821551193,-0.33009466322260295,611,0,0.20742648600943459,0.015778805064224688,7,-1
ema_half_life_5,1Y,0.8444136621590395,-11.013325780900395,-0.12871123412161045,-0.11980144781754687,2.5720356399000335,-0.2642848664210433,213,-1,0.07193973631968453,-0.0017876412665058933,4,0
ema_half_life_7,from_2020,0.6184562940805542,3.014972659553572,-0.17627395821624015,0.42666208709702946,1.983112449651214,0.0843226472070775,1262,-7,0.3856325590145058,-0.023283529369746814,18,0
ema_half_life_7,5Y,0.6721177876672881,2.831201030760644,-0.17627395821624015,0.42666208709704057,2.1395794035017097,0.07060740653984832,953,-7,0.29963684291746173,-0.022784065972349776,18,0
ema_half_life_7,3Y,0.9995372873538122,-1.7699132634855674,-0.17627395821624003,-1.0767961214094512,2.73579877695777,-0.026859168419952173,608,-3,0.18364143799363486,-0.008006242951575038,8,0
ema_half_life_7,1Y,1.069376451597424,11.48295316293806,-0.12351001453471433,0.4003205108720653,3.0521015526246464,0.21578104630356965,218,4,0.06708142830216265,-0.006645949284027772,4,0
ema_half_life_10,from_2020,0.5165288353228774,-7.177773216214112,-0.18671881408508706,-0.6178234997876619,1.7098249633948623,-0.1889648390492742,1286,17,0.3699316703217732,-0.03898441806247943,17,-1
ema_half_life_10,5Y,0.560477162320802,-8.332861503887967,-0.18671881408508695,-0.6178234997876397,1.8495470987429425,-0.21942489821891886,976,16,0.2881793116047665,-0.034241597285045,17,-1
ema_half_life_10,3Y,0.8460988114143486,-17.113760857431927,-0.17910325275097316,-1.3597255748827641,2.4277971194355943,-0.33486082594212796,612,1,0.1775928428176617,-0.014054838127548208,7,-1
ema_half_life_10,1Y,0.7750534596953396,-17.949346027270387,-0.11997148433439575,0.7541735309039233,2.5668295586626733,-0.26949094765840353,228,14,0.06867027465157419,-0.005057102934616239,4,0
ema_half_life_15,from_2020,0.5033235826676075,-8.498298481741106,-0.2053376261178913,-2.4797047030680863,1.6839425854050587,-0.21484721703907783,1318,49,0.35698978752636745,-0.05192630085788519,19,1
ema_half_life_15,5Y,0.5535099634391607,-9.0295813920521,-0.20533762611789141,-2.4797047030680863,1.8448931575322143,-0.22407883942964713,1005,45,0.26924992304872236,-0.05317098584108915,19,1
ema_half_life_15,3Y,0.8054630455702942,-21.177337441837363,-0.2053376261178913,-3.983162911574578,2.381925346581252,-0.38073259879647026,628,17,0.16911441477184141,-0.022533266173368482,9,1
ema_half_life_15,1Y,0.8599100264469206,-9.463689352112281,-0.09067180879472325,3.684141084871173,2.7146961976564534,-0.12162430866462337,229,15,0.06406255926075534,-0.009664818325435087,4,0
ema_half_life_20,from_2020,0.45767492719982394,-13.06316402851946,-0.23043168943673953,-4.989111034952909,1.5599851134289762,-0.33880468901516037,1317,48,0.35484925269772727,-0.05406683568652537,21,3
ema_half_life_20,5Y,0.472920757489647,-17.08850198700347,-0.23043168943673953,-4.989111034952898,1.6292898708791481,-0.4396821260827133,1003,43,0.26513167841102614,-0.05728923047878537,20,2
ema_half_life_20,3Y,0.6502171961211671,-36.70192238675008,-0.23043168943673942,-6.492569243459389,2.0171275269548516,-0.7455304184228706,628,17,0.16472298901056495,-0.026924691934644945,10,2
ema_half_life_20,1Y,0.7293528531037401,-22.519406686430333,-0.13879231623821608,-1.1279096594781102,2.3481781330128535,-0.4881423733082233,228,14,0.06601186575197082,-0.007715511834219604,5,1
