version,scenario,window,start,end,days,total,cagr,maxdd,sharpe,vol,cash_days,half_position_days,pending_days,staged_initials,staged_fills,overheat_days,overheat_triggers,overheat_recoveries,trades,cost_sum,turnover_sum,avg_scale,avg_final_exposure,max_final_exposure,r2_threshold_label
diagnostic,none,from_2020,2020-01-02,2026-05-08,1535,13.768431139410529,0.555854207179292,-0.20058309694647392,1.8109835101516043,0.2632744318420919,38,362,362,192,158,18,6,6,1360,0.40918802016274547,409.1880201627455,1.1492980601869436,0.9776148436037995,1.5,none
diagnostic,none,5Y,2021-05-10,2026-05-08,1211,8.017319789338261,0.5803178478521172,-0.2005830969464738,1.9001485923457704,0.25838373538294146,38,256,256,142,120,18,6,6,1038,0.3259052906525902,325.9052906525903,1.1967669789458666,1.0193894515627628,1.5,none
diagnostic,none,3Y,2023-05-08,2026-05-08,727,6.043821128563338,0.9673235281931674,-0.16528132123836003,2.6595115486580565,0.26802236102873783,27,170,170,91,76,8,4,4,631,0.19881526453373183,198.81526453373186,1.1439915160227783,0.9576172383123145,1.5,none
diagnostic,none,1Y,2025-05-08,2026-05-08,243,0.7779995984108263,0.8163033611974542,-0.1394407776012282,2.4789630866495536,0.2538964110684316,7,65,65,38,29,4,2,2,223,0.07858493052666149,78.58493052666148,1.1804443287014221,0.9826866228143474,1.5,none
diagnostic,r2_ge_0p100,from_2020,2020-01-02,2026-05-08,1535,15.693888317625039,0.5874735895315042,-0.17013997593746055,1.8955557682797142,0.26195933134852134,84,364,364,194,154,18,6,6,1293,0.41496040345650487,414.960403456505,1.1724236481782262,0.9597690162293101,1.5,r2_ge_0p100
diagnostic,r2_ge_0p100,5Y,2021-05-10,2026-05-08,1211,9.792983087003918,0.6405481519002878,-0.17013997593746066,2.061051999254959,0.2560696077771336,74,255,255,141,117,18,6,6,978,0.3261521935092788,326.15219350927885,1.2146379643003393,0.9959227094953388,1.5,r2_ge_0p100
diagnostic,r2_ge_0p100,3Y,2023-05-08,2026-05-08,727,6.392269003927807,1.0005270306606824,-0.16432315045751544,2.725650924959888,0.267612585561845,45,170,170,90,73,8,4,4,614,0.19619877876129715,196.19877876129715,1.1512331275266583,0.9314989053515299,1.5,r2_ge_0p100
diagnostic,r2_ge_0p100,1Y,2025-05-08,2026-05-08,243,0.8317277685528344,0.8732533556293298,-0.13944077760122742,2.645219939679094,0.24918080282852567,14,63,63,37,26,4,2,2,217,0.07528963073480821,75.28963073480821,1.1879069334572867,0.9617003014833844,1.5,r2_ge_0p100
diagnostic,r2_ge_0p200,from_2020,2020-01-02,2026-05-08,1535,15.747316755280057,0.5883065674850185,-0.18054057908721044,1.8987898024441365,0.26176011292387075,113,345,345,187,151,18,6,6,1269,0.40891608838425264,408.91608838425265,1.1836662793009454,0.9531226868918853,1.5,r2_ge_0p200
diagnostic,r2_ge_0p200,5Y,2021-05-10,2026-05-08,1211,9.896363466685681,0.6438057773596817,-0.18054057908721055,2.0689719969618614,0.25603986808987683,96,245,245,138,114,18,6,6,960,0.3224209088898115,322.42090888981147,1.2261394012910594,0.9881679731089424,1.5,r2_ge_0p200
diagnostic,r2_ge_0p200,3Y,2023-05-08,2026-05-08,727,6.571800841574701,1.0172364199886679,-0.16550599700214552,2.7626579453777222,0.2669846459938101,53,165,165,87,71,8,4,4,611,0.1916476809452099,191.64768094520988,1.157271140181522,0.928425968735333,1.5,r2_ge_0p200
diagnostic,r2_ge_0p200,1Y,2025-05-08,2026-05-08,243,0.9083217351116701,0.9545469199680434,-0.12751321964343498,2.836320506321077,0.24724049356492475,18,67,67,36,25,4,2,2,214,0.07372737758619043,73.72737758619043,1.195169200640551,0.9407402119497495,1.5,r2_ge_0p200
diagnostic,r2_ge_0p300,from_2020,2020-01-02,2026-05-08,1535,12.255632809045483,0.5284941811499533,-0.1721716228154121,1.7699328720082246,0.25866748260782657,154,361,361,186,146,18,6,6,1215,0.41398194346200706,413.98194346200705,1.213225391416594,0.9347899671882998,1.5,r2_ge_0p300
diagnostic,r2_ge_0p300,5Y,2021-05-10,2026-05-08,1211,8.135616359696234,0.5846097650468796,-0.1721716228154121,1.9409164722737138,0.2536888581912577,129,256,256,139,110,18,6,6,914,0.3237566180807486,323.75661808074864,1.2469015259939373,0.9611077976354577,1.5,r2_ge_0p300
diagnostic,r2_ge_0p300,3Y,2023-05-08,2026-05-08,727,5.535198862067525,0.9168721570020724,-0.17217162281541198,2.5709786570386632,0.26697758420643114,66,162,162,89,71,8,4,4,604,0.19595319547252066,195.95319547252063,1.169028312847845,0.9204075506859803,1.5,r2_ge_0p300
diagnostic,r2_ge_0p300,1Y,2025-05-08,2026-05-08,243,0.8333384345269113,0.8749615701573483,-0.09286307815250627,2.673516499275093,0.24666586854858152,21,70,70,38,25,4,2,2,216,0.07829107004916731,78.29107004916732,1.2241420136567107,0.9389967531075588,1.5,r2_ge_0p300
diagnostic,r2_ge_0p400,from_2020,2020-01-02,2026-05-08,1535,7.477241670200076,0.42033561558649635,-0.25435343431911583,1.4961364898273122,0.2565816350355994,226,363,363,188,141,18,6,6,1140,0.4331020299973033,433.10202999730325,1.2766058684734984,0.9250194160580192,1.5,r2_ge_0p400
diagnostic,r2_ge_0p400,5Y,2021-05-10,2026-05-08,1211,4.717977185030089,0.43739608273424846,-0.2543534343191157,1.5693943212913004,0.25119612643534595,186,262,262,140,107,18,6,6,858,0.3399782830292316,339.97828302923165,1.3136174235000277,0.9516547073703351,1.5,r2_ge_0p400
