selection_score_mode,version,scenario,year,return
weighted_slope,1.0,v1_0_original_full_entry,2020,0.4132100460510293
weighted_slope,1.0,v1_0_original_full_entry,2021,-0.1464455165493056
weighted_slope,1.0,v1_0_original_full_entry,2022,0.451352467872006
weighted_slope,1.0,v1_0_original_full_entry,2023,0.2513651853046748
weighted_slope,1.0,v1_0_original_full_entry,2024,0.6169621829271483
weighted_slope,1.0,v1_0_original_full_entry,2025,0.5599021917332372
weighted_slope,1.0,v1_0_original_full_entry,2026,0.12053049271809035
weighted_slope,1.1,v1_1_staged_50_plus_ma60_overheat,2020,0.43979841545488285
weighted_slope,1.1,v1_1_staged_50_plus_ma60_overheat,2021,-0.10705101532348238
weighted_slope,1.1,v1_1_staged_50_plus_ma60_overheat,2022,0.6044715509447864
weighted_slope,1.1,v1_1_staged_50_plus_ma60_overheat,2023,0.4850865062996148
weighted_slope,1.1,v1_1_staged_50_plus_ma60_overheat,2024,0.5633318961807188
weighted_slope,1.1,v1_1_staged_50_plus_ma60_overheat,2025,0.5608308853956789
weighted_slope,1.1,v1_1_staged_50_plus_ma60_overheat,2026,0.14930782946341337
weighted_slope_times_r2,1.0,v1_0_original_full_entry,2020,0.37791335532258286
weighted_slope_times_r2,1.0,v1_0_original_full_entry,2021,-0.1838700437203995
weighted_slope_times_r2,1.0,v1_0_original_full_entry,2022,0.4260399694331676
weighted_slope_times_r2,1.0,v1_0_original_full_entry,2023,0.516510030620289
weighted_slope_times_r2,1.0,v1_0_original_full_entry,2024,0.6451681871024635
weighted_slope_times_r2,1.0,v1_0_original_full_entry,2025,0.5395222188581816
weighted_slope_times_r2,1.0,v1_0_original_full_entry,2026,0.13086794988932615
weighted_slope_times_r2,1.1,v1_1_staged_50_plus_ma60_overheat,2020,0.4223308064147102
weighted_slope_times_r2,1.1,v1_1_staged_50_plus_ma60_overheat,2021,-0.16198010151435938
weighted_slope_times_r2,1.1,v1_1_staged_50_plus_ma60_overheat,2022,0.5743971208732186
weighted_slope_times_r2,1.1,v1_1_staged_50_plus_ma60_overheat,2023,0.6789101432183466
weighted_slope_times_r2,1.1,v1_1_staged_50_plus_ma60_overheat,2024,0.5407792401394127
weighted_slope_times_r2,1.1,v1_1_staged_50_plus_ma60_overheat,2025,0.5374829829858836
weighted_slope_times_r2,1.1,v1_1_staged_50_plus_ma60_overheat,2026,0.14495585377125852
