mode,window,start,end,days,total,cagr,maxdd,sharpe,vol,cash_days,trades,cost_sum
always_top1,15Y,2011-05-05,2026-05-15,3780,6.752542107327998,0.14629467669808638,-0.3379970772788693,0.8835181342683276,0.1712157205175085,0,165,0.33000000000000007
always_top1,10Y,2016-05-09,2026-05-15,2520,4.247311246592099,0.18030346623672955,-0.3379970772788692,1.0189459754616088,0.1784302038527411,0,109,0.218
always_top1,from_2020,2020-01-02,2026-05-15,1601,2.205116667336858,0.2012147111258462,-0.3379970772788693,1.005608227120531,0.20296123721574505,0,70,0.14
always_top1,5Y,2021-05-11,2026-05-15,1260,1.688110492278856,0.21867926846553765,-0.3379970772788693,1.1275751304443633,0.19185680179327785,0,51,0.10200000000000001
always_top1,3Y,2023-05-11,2026-05-15,756,1.7511048234547455,0.4012072619512286,-0.15899617843639913,1.8444343904549902,0.19320761647283388,0,28,0.056
always_top1,1Y,2025-05-15,2026-05-15,252,0.6032339282499308,0.6032339282499308,-0.1589961784363989,2.019080051262353,0.2496541060140811,0,8,0.016
positive_top1_else_cash,15Y,2011-05-05,2026-05-15,3780,2.985849233288776,0.09656586974775472,-0.3143042403512183,0.6654091283676886,0.1572006843817074,585,244,0.352
positive_top1_else_cash,10Y,2016-05-09,2026-05-15,2520,2.3359806354045287,0.12803442133081422,-0.3143042403512183,0.8100418441316946,0.16582315488329075,344,154,0.232
positive_top1_else_cash,from_2020,2020-01-02,2026-05-15,1601,1.4620948087825343,0.15237016722584107,-0.3143042403512183,0.848516372765498,0.18818193002729802,243,96,0.14800000000000002
positive_top1_else_cash,5Y,2021-05-11,2026-05-15,1260,1.262038834180227,0.17733488158682031,-0.3143042403512183,0.9986498451628223,0.1797961093824397,193,71,0.10800000000000001
positive_top1_else_cash,3Y,2023-05-11,2026-05-15,756,1.5597687562789684,0.3679395663926639,-0.1509936371346391,1.7713331494510165,0.18692323088214044,63,37,0.060000000000000005
positive_top1_else_cash,1Y,2025-05-15,2026-05-15,252,0.6138402018109399,0.6138402018109399,-0.1509936371346391,2.122380609071682,0.23943632519684938,18,9,0.016
