scenario,added_count,added_codes,added_names,pool_size,source,r2_threshold,target_vol,score_min,score_max,window,start,end,days,total,cagr,maxdd,sharpe,vol,cash_days,half_position_days,overheat_days,trades,cost_sum,turnover_sum,avg_final_exposure,max_final_exposure
base6,0,,,6,qveris_cps3,0.2,0.25,0.0,5.0,from_2020,2020-01-02,2026-05-08,1535,16.824881547014492,0.6046498183466706,-0.16540663933670907,1.9322335498650283,0.2626632369722181,107,359,17,364,0.4032382944791668,344.5,0.9531154461086166,1.5
base6,0,,,6,qveris_cps3,0.2,0.25,0.0,5.0,5Y,2021-05-10,2026-05-08,1211,10.690863663000197,0.668056866618334,-0.16540663933670907,2.119619516211932,0.25695586640155055,90,253,17,271,0.3159745770316378,255.5,0.9865985573137159,1.5
base6,0,,,6,qveris_cps3,0.2,0.25,0.0,5.0,3Y,2023-05-08,2026-05-08,727,6.3844974612900405,0.9997977591583516,-0.16540663933670918,2.726325251448377,0.26739003860749977,53,170,7,168,0.19135138830707532,162.5,0.9248756636509752,1.5
base6,0,,,6,qveris_cps3,0.2,0.25,0.0,5.0,1Y,2025-05-08,2026-05-08,243,0.8911076492243037,0.936265919002575,-0.1333857222638163,2.7940871271004735,0.2476445316438491,18,67,3,65,0.07242297766500293,62.5,0.9415409552476255,1.5
base6_plus_csi1000,1,512100.SH,CSI1000_ETF,7,qveris_cps3,0.2,0.25,0.0,5.0,from_2020,2020-01-02,2026-05-08,1535,18.154935216651936,0.6237203244627334,-0.1654701551962373,1.9823422860991802,0.2619063653980522,96,394,21,377,0.4261937655875256,359.5,0.9592393127567821,1.5
base6_plus_csi1000,1,512100.SH,CSI1000_ETF,7,qveris_cps3,0.2,0.25,0.0,5.0,5Y,2021-05-10,2026-05-08,1211,11.348819040991728,0.687170791728257,-0.16547015519623742,2.1733764105791575,0.25571739912242797,81,276,21,276,0.3297335531637593,263.5,0.9954812547800327,1.5
base6_plus_csi1000,1,512100.SH,CSI1000_ETF,7,qveris_cps3,0.2,0.25,0.0,5.0,3Y,2023-05-08,2026-05-08,727,5.889827237734153,0.9523071401931915,-0.16547015519623742,2.645187238324659,0.26639512030154006,51,184,11,175,0.20439471735874365,171.5,0.9303782047947468,1.5
base6_plus_csi1000,1,512100.SH,CSI1000_ETF,7,qveris_cps3,0.2,0.25,0.0,5.0,1Y,2025-05-08,2026-05-08,243,0.5434549789375143,0.5684664161512205,-0.13278178069088442,1.9475596102415842,0.24684244346519327,17,80,3,72,0.08322993372649348,70.5,0.9202626466101871,1.5
base6_plus_563300_SH,1,563300.SH,CSI2000_ETF_563300,7,qveris_cps3,0.2,0.25,0.0,5.0,from_2020,2020-01-02,2026-05-08,1535,13.32850469702418,0.5481490882128524,-0.16631362927788373,1.7984215672983572,0.262174572545134,105,377,19,370,0.4155028655665063,352.5,0.9457650917060214,1.5
base6_plus_563300_SH,1,563300.SH,CSI2000_ETF_563300,7,qveris_cps3,0.2,0.25,0.0,5.0,5Y,2021-05-10,2026-05-08,1211,8.397683483379137,0.5939633066449372,-0.16631362927788385,1.946528821748697,0.25634534725611996,88,271,19,277,0.32823914811897725,263.5,0.9772816341031594,1.5
base6_plus_563300_SH,1,563300.SH,CSI2000_ETF_563300,7,qveris_cps3,0.2,0.25,0.0,5.0,3Y,2023-05-08,2026-05-08,727,4.936017374375175,0.8540294052721706,-0.16631362927788385,2.4490494963485943,0.26660369792483035,51,188,9,174,0.20361595939441487,170.5,0.9093560020168844,1.5
base6_plus_563300_SH,1,563300.SH,CSI2000_ETF_563300,7,qveris_cps3,0.2,0.25,0.0,5.0,1Y,2025-05-08,2026-05-08,243,0.5383608577341767,0.563098345463537,-0.12320924889549689,1.958683448823079,0.2432004517139132,17,78,3,71,0.08462551456864961,69.5,0.9392174058461793,1.5
base6_plus_159531_SZ,1,159531.SZ,CSI2000_ETF_159531,7,qveris_cps3,0.2,0.25,0.0,5.0,from_2020,2020-01-02,2026-05-08,1535,12.89897783520861,0.5404329126871759,-0.16259023944922857,1.7794967125384489,0.26215052317760035,105,381,20,373,0.41733777852850895,355.5,0.9438241677854678,1.5
base6_plus_159531_SZ,1,159531.SZ,CSI2000_ETF_159531,7,qveris_cps3,0.2,0.25,0.0,5.0,5Y,2021-05-10,2026-05-08,1211,8.115968288367185,0.5838999732864958,-0.16259023944922857,1.9219975884716116,0.2563168031769055,88,275,20,280,0.3300740610809799,266.5,0.9748214208760335,1.5
