selection_score_mode,score_max_rule,r2_threshold,target_vol,version,scenario,window,start,end,days,total,cagr,maxdd,sharpe,vol,cash_days,half_position_days,pending_days,staged_initials,staged_fills,overheat_days,overheat_triggers,overheat_recoveries,trades,cost_sum,turnover_sum,avg_scale,avg_final_exposure,max_final_exposure
weighted_slope,no_upper_cap,0.2,0.25,1.0,v1_0_original_full_entry,from_2020,2020-01-02,2026-05-08,1535,5.1917845805488305,0.3489377734976442,-0.23227884098858598,1.1794298390690932,0.2888836095292563,95,0,0,0,0,0,0,0,147,0.2513463723422313,262.0,0.9805938652144465,0.91639584992216,1.5
weighted_slope,no_upper_cap,0.2,0.25,1.0,v1_0_original_full_entry,6Y,2020-05-08,2026-05-08,1454,4.977620921340401,0.36327669049827116,-0.23227884098858587,1.2279043980593096,0.2851566334721441,88,0,0,0,0,0,0,0,137,0.2391341826797048,246.0,0.9860063113683504,0.9215886313826439,1.5
weighted_slope,no_upper_cap,0.2,0.25,1.0,v1_0_original_full_entry,3Y,2023-05-08,2026-05-08,727,2.7444402126520964,0.5803493184291684,-0.20681897929304804,1.6196409776997835,0.3123264292705188,45,0,0,0,0,0,0,0,62,0.1021115573459995,118.0,0.8882388398553616,0.8243285006185729,1.5
weighted_slope,no_upper_cap,0.2,0.25,1.0,v1_0_original_full_entry,1Y,2025-05-08,2026-05-08,243,0.5643071049958361,0.5904467376114768,-0.13998107623192313,1.802298956699488,0.27934341559004744,11,0,0,0,0,0,0,0,18,0.026427390171568785,34.0,0.8616744422730541,0.8338683157816212,1.283706603104133
weighted_slope,no_upper_cap,0.2,0.25,1.1,v1_1_staged_50_plus_ma60_overheat,from_2020,2020-01-02,2026-05-08,1535,7.591233371192217,0.42345360301737656,-0.2029033869319654,1.5307597523574323,0.25132629040986226,95,258,258,131,114,84,20,20,261,0.29371989833244394,245.5,1.051633577883826,0.84899832657662,1.5
weighted_slope,no_upper_cap,0.2,0.25,1.1,v1_1_staged_50_plus_ma60_overheat,6Y,2020-05-08,2026-05-08,1454,7.354951855200424,0.4447300618034302,-0.2029033869319654,1.6185591085485567,0.24600877938159127,88,240,240,123,108,81,18,18,245,0.2778026168510185,231.5,1.0565005162633014,0.8535052373562014,1.5
weighted_slope,no_upper_cap,0.2,0.25,1.1,v1_1_staged_50_plus_ma60_overheat,3Y,2023-05-08,2026-05-08,727,3.286794627043146,0.6562128176387103,-0.2029033869319653,2.062790676246467,0.2611508729362267,45,122,122,59,51,53,11,11,113,0.12362684496781885,110.5,0.9551514780017234,0.7480273114627556,1.5
weighted_slope,no_upper_cap,0.2,0.25,1.1,v1_1_staged_50_plus_ma60_overheat,1Y,2025-05-08,2026-05-08,243,0.5660127045842791,0.5922451000672473,-0.09027879527024707,2.0746075566455704,0.23805552663016905,11,38,38,17,15,28,5,5,33,0.036999402851331034,32.5,0.9040044038215312,0.6939275384468456,1.3387670962624094
weighted_slope_times_r2,no_upper_cap,0.2,0.25,1.0,v1_0_original_full_entry,from_2020,2020-01-02,2026-05-08,1535,5.96572578474655,0.37527411178936054,-0.257237876989895,1.2244878236275198,0.2951624562766792,95,0,0,0,0,0,0,0,150,0.2585834753299684,268.0,0.9930380081449507,0.928291637859228,1.5
weighted_slope_times_r2,no_upper_cap,0.2,0.25,1.0,v1_0_original_full_entry,6Y,2020-05-08,2026-05-08,1454,6.040030454425123,0.40248225556984507,-0.257237876989895,1.3017841109575845,0.29187490380917197,88,0,0,0,0,0,0,0,138,0.24060395353792335,248.0,0.9988772973039683,0.9338784464623957,1.5
weighted_slope_times_r2,no_upper_cap,0.2,0.25,1.0,v1_0_original_full_entry,3Y,2023-05-08,2026-05-08,727,3.0820720188290487,0.6283567383537634,-0.1933864436681485,1.6561567755507913,0.32545405512809994,45,0,0,0,0,0,0,0,61,0.10141062229930094,116.0,0.9047441225784317,0.8397451494691701,1.5
weighted_slope_times_r2,no_upper_cap,0.2,0.25,1.0,v1_0_original_full_entry,1Y,2025-05-08,2026-05-08,243,0.5850319393695107,0.6123036361275298,-0.14532357022373887,1.8441051526754582,0.2806366544847888,11,0,0,0,0,0,0,0,20,0.030818025036863636,38.0,0.8657662061611229,0.8377846443961778,1.2787723938506654
weighted_slope_times_r2,no_upper_cap,0.2,0.25,1.1,v1_1_staged_50_plus_ma60_overheat,from_2020,2020-01-02,2026-05-08,1535,7.545474156662911,0.42220614105518917,-0.2284078701886212,1.5329998638749656,0.25015395648890804,95,280,280,134,115,84,20,20,265,0.3009515460370602,249.5,1.0656057538236023,0.8525374111487185,1.5
weighted_slope_times_r2,no_upper_cap,0.2,0.25,1.1,v1_1_staged_50_plus_ma60_overheat,6Y,2020-05-08,2026-05-08,1454,7.557824713648966,0.4507499155810304,-0.2284078701886212,1.642439171604043,0.2447336516152954,88,258,258,124,107,81,18,18,245,0.2795693676770874,231.5,1.0702970626923485,0.858238438038321,1.5
weighted_slope_times_r2,no_upper_cap,0.2,0.25,1.1,v1_1_staged_50_plus_ma60_overheat,3Y,2023-05-08,2026-05-08,727,3.372323702425918,0.6675931336207355,-0.17938223308558765,2.094833350212569,0.260249216359401,45,134,134,58,52,53,11,11,113,0.12685640299447956,110.5,0.9764389988183922,0.7557089040908336,1.5
weighted_slope_times_r2,no_upper_cap,0.2,0.25,1.1,v1_1_staged_50_plus_ma60_overheat,1Y,2025-05-08,2026-05-08,243,0.5391176607988337,0.563895805975873,-0.09223260337747863,1.9896678692876222,0.23933569360459542,11,46,46,19,16,28,5,5,36,0.040793959554747704,35.5,0.9152601970444544,0.6888447794065828,1.34234346752626
