scenario,decay_trigger,recovery_trigger,date,position_before,position,trade_target,holding_fraction,best_candidate,best_candidate_score,target_vol_scale,overheat_scale,final_exposure_after_overheat,overheat_on,score_decay_overlay_on,score_decay_active_score,score_decay_peak,score_decay_ratio,score_decay_waiting_for_new_peak,nav
none,,,2026-05-08,159941.SZ,159941.SZ,,0.5,159941.SZ,5.409145282796129,0.658071489898415,1.0,0.3290357449492075,False,False,,,,False,40.56786316487719
decay_0.30_recover_0.60,0.3,0.6,2026-05-08,159941.SZ,159941.SZ,,0.5,159941.SZ,5.409145282796129,1.0,1.0,0.5,False,False,5.409145282796129,5.409145282796129,1.0,False,14.015582490591415
decay_0.30_recover_0.70,0.3,0.7,2026-05-08,159941.SZ,159941.SZ,,0.5,159941.SZ,5.409145282796129,1.0,1.0,0.5,False,False,5.409145282796129,5.409145282796129,1.0,False,13.54039958631686
decay_0.30_recover_0.80,0.3,0.8,2026-05-08,159941.SZ,159941.SZ,,0.5,159941.SZ,5.409145282796129,1.0,1.0,0.5,False,False,5.409145282796129,5.409145282796129,1.0,False,13.412198944115636
decay_0.30_recover_0.90,0.3,0.9,2026-05-08,159941.SZ,159941.SZ,,0.5,159941.SZ,5.409145282796129,1.0,1.0,0.5,False,False,5.409145282796129,5.409145282796129,1.0,False,13.582885581546526
decay_0.30_recover_1.00,0.3,1.0,2026-05-08,159941.SZ,159941.SZ,,0.5,159941.SZ,5.409145282796129,1.0,1.0,0.5,False,False,5.409145282796129,5.409145282796129,1.0,False,14.383430442988614
decay_0.40_recover_0.60,0.4,0.6,2026-05-08,159941.SZ,159941.SZ,,0.5,159941.SZ,5.409145282796129,1.0,1.0,0.5,False,False,5.409145282796129,5.409145282796129,1.0,False,13.680121074941123
decay_0.40_recover_0.70,0.4,0.7,2026-05-08,159941.SZ,159941.SZ,,0.5,159941.SZ,5.409145282796129,1.0,1.0,0.5,False,False,5.409145282796129,5.409145282796129,1.0,False,13.095934440486596
decay_0.40_recover_0.80,0.4,0.8,2026-05-08,159941.SZ,159941.SZ,,0.5,159941.SZ,5.409145282796129,1.0,1.0,0.5,False,False,5.409145282796129,5.409145282796129,1.0,False,11.536842050194743
decay_0.40_recover_0.90,0.4,0.9,2026-05-08,159941.SZ,159941.SZ,,0.5,159941.SZ,5.409145282796129,1.0,1.0,0.5,False,False,5.409145282796129,5.409145282796129,1.0,False,10.636140489122855
decay_0.40_recover_1.00,0.4,1.0,2026-05-08,159941.SZ,159941.SZ,,0.5,159941.SZ,5.409145282796129,1.0,1.0,0.5,False,False,5.409145282796129,5.409145282796129,1.0,False,11.290572774549458
decay_0.50_recover_0.60,0.5,0.6,2026-05-08,159941.SZ,159941.SZ,,0.5,159941.SZ,5.409145282796129,1.0,1.0,0.5,False,False,5.409145282796129,5.409145282796129,1.0,False,15.434889924222597
decay_0.50_recover_0.70,0.5,0.7,2026-05-08,159941.SZ,159941.SZ,,0.5,159941.SZ,5.409145282796129,1.0,1.0,0.5,False,False,5.409145282796129,5.409145282796129,1.0,False,14.717954899459123
decay_0.50_recover_0.80,0.5,0.8,2026-05-08,159941.SZ,159941.SZ,,0.5,159941.SZ,5.409145282796129,1.0,1.0,0.5,False,False,5.409145282796129,5.409145282796129,1.0,False,12.94535462983995
decay_0.50_recover_0.90,0.5,0.9,2026-05-08,159941.SZ,159941.SZ,,0.5,159941.SZ,5.409145282796129,1.0,1.0,0.5,False,False,5.409145282796129,5.409145282796129,1.0,False,11.930935202233458
decay_0.50_recover_1.00,0.5,1.0,2026-05-08,159941.SZ,159941.SZ,,0.5,159941.SZ,5.409145282796129,1.0,1.0,0.5,False,False,5.409145282796129,5.409145282796129,1.0,False,12.695234897569035
decay_0.60_recover_0.70,0.6,0.7,2026-05-08,159941.SZ,159941.SZ,,0.5,159941.SZ,5.409145282796129,1.0,1.0,0.5,False,False,5.409145282796129,5.409145282796129,1.0,False,8.882431370958592
decay_0.60_recover_0.80,0.6,0.8,2026-05-08,159941.SZ,159941.SZ,,0.5,159941.SZ,5.409145282796129,1.0,1.0,0.5,False,False,5.409145282796129,5.409145282796129,1.0,False,7.622511635536764
decay_0.60_recover_0.90,0.6,0.9,2026-05-08,159941.SZ,159941.SZ,,0.5,159941.SZ,5.409145282796129,1.0,1.0,0.5,False,False,5.409145282796129,5.409145282796129,1.0,False,7.082221763351724
decay_0.60_recover_1.00,0.6,1.0,2026-05-08,159941.SZ,159941.SZ,,0.5,159941.SZ,5.409145282796129,1.0,1.0,0.5,False,False,5.409145282796129,5.409145282796129,1.0,False,7.126248257531391
decay_0.70_recover_0.80,0.7,0.8,2026-05-08,159941.SZ,159941.SZ,,0.5,159941.SZ,5.409145282796129,1.0,1.0,0.5,False,False,5.409145282796129,5.409145282796129,1.0,False,5.435177033980135
decay_0.70_recover_0.90,0.7,0.9,2026-05-08,159941.SZ,159941.SZ,,0.5,159941.SZ,5.409145282796129,1.0,1.0,0.5,False,False,5.409145282796129,5.409145282796129,1.0,False,4.974115026865696
decay_0.70_recover_1.00,0.7,1.0,2026-05-08,159941.SZ,159941.SZ,,0.5,159941.SZ,5.409145282796129,1.0,1.0,0.5,False,False,5.409145282796129,5.409145282796129,1.0,False,5.697538739940061
decay_0.80_recover_0.90,0.8,0.9,2026-05-08,159941.SZ,159941.SZ,,0.5,159941.SZ,5.409145282796129,1.0,1.0,0.5,False,False,5.409145282796129,5.409145282796129,1.0,False,4.4291878547460986
decay_0.80_recover_1.00,0.8,1.0,2026-05-08,159941.SZ,159941.SZ,,0.5,159941.SZ,5.409145282796129,1.0,1.0,0.5,False,False,5.409145282796129,5.409145282796129,1.0,False,4.1300242543386005
