scenario,removed_code,removed_name,pool_size,source,r2_threshold,target_vol,score_min,score_max,window,start,end,days,total,cagr,maxdd,sharpe,vol,cash_days,half_position_days,overheat_days,trades,cost_sum,turnover_sum,avg_final_exposure,max_final_exposure
base6,,,6,qveris_cps3,0.2,0.25,0.0,5.0,from_2020,2020-01-02,2026-05-08,1535,16.824881547014492,0.6046498183466706,-0.16540663933670907,1.9322335498650283,0.2626632369722181,107,359,17,364,0.4032382944791668,344.5,0.9531154461086166,1.5
base6,,,6,qveris_cps3,0.2,0.25,0.0,5.0,5Y,2021-05-10,2026-05-08,1211,10.690863663000197,0.668056866618334,-0.16540663933670907,2.119619516211932,0.25695586640155055,90,253,17,271,0.3159745770316378,255.5,0.9865985573137159,1.5
base6,,,6,qveris_cps3,0.2,0.25,0.0,5.0,3Y,2023-05-08,2026-05-08,727,6.3844974612900405,0.9997977591583516,-0.16540663933670918,2.726325251448377,0.26739003860749977,53,170,7,168,0.19135138830707532,162.5,0.9248756636509752,1.5
base6,,,6,qveris_cps3,0.2,0.25,0.0,5.0,1Y,2025-05-08,2026-05-08,243,0.8911076492243037,0.936265919002575,-0.1333857222638163,2.7940871271004735,0.2476445316438491,18,67,3,65,0.07242297766500293,62.5,0.9415409552476255,1.5
base5_no_soymeal,159985.SZ,SOYMEAL_ETF,5,qveris_cps3,0.2,0.25,0.0,5.0,from_2020,2020-01-02,2026-05-08,1535,13.319134028231135,0.547982826064134,-0.21758558696980357,1.8165380015749055,0.25906851419619326,234,326,7,338,0.3786126107064056,310.5,0.9149335784006017,1.5
base5_no_soymeal,159985.SZ,SOYMEAL_ETF,5,qveris_cps3,0.2,0.25,0.0,5.0,5Y,2021-05-10,2026-05-08,1211,7.194860210050296,0.5491773251566849,-0.21758558696980357,1.8866584567160414,0.24827903138231142,185,235,7,258,0.30306618422793596,235.5,0.9483503999172231,1.5
base5_no_soymeal,159985.SZ,SOYMEAL_ETF,5,qveris_cps3,0.2,0.25,0.0,5.0,3Y,2023-05-08,2026-05-08,727,4.787066083737161,0.8377691595518635,-0.18799079411576425,2.4684554283371467,0.26024408228921075,85,164,7,168,0.19277007905050714,158.5,0.907072186083632,1.5
base5_no_soymeal,159985.SZ,SOYMEAL_ETF,5,qveris_cps3,0.2,0.25,0.0,5.0,1Y,2025-05-08,2026-05-08,243,0.8284018009093308,0.8697261298081469,-0.11539145318392607,2.729536060964558,0.23997286350424027,33,65,3,63,0.07164923151248098,59.5,0.8955947894451604,1.5
