version,scenario,window,start,end,days,total,cagr,maxdd,sharpe,vol,cash_days,half_position_days,pending_days,staged_initials,staged_fills,overheat_days,overheat_triggers,overheat_recoveries,trades,cost_sum,turnover_sum,avg_scale,avg_final_exposure,max_final_exposure,pool_label,pool
1.1,v1_1_staged_50_plus_ma60_overheat,15Y,2011-05-05,2026-05-15,3780,8.155331773934575,0.1590751791766316,-0.36697414906207715,0.8337550831001581,0.20150221323726566,681,546,546,270,237,0,0,0,1090,0.744467934537968,744.467934537968,1.4589896175156318,1.0940800500698484,1.5,DBC_QQQ_GLD_EWJ,"DBC,QQQ,GLD,EWJ"
1.1,v1_1_staged_50_plus_ma60_overheat,10Y,2016-05-09,2026-05-15,2520,4.60088917964767,0.18802532341795564,-0.3039001535566054,0.92998019893012,0.2088315547752598,366,377,377,188,164,0,0,0,870,0.5133914125175714,513.3914125175713,1.4464015489574984,1.1325491354946382,1.5,DBC_QQQ_GLD_EWJ,"DBC,QQQ,GLD,EWJ"
1.1,v1_1_staged_50_plus_ma60_overheat,from_2020,2020-01-02,2026-05-15,1601,3.493567078992447,0.2668316914019886,-0.22369494158904224,1.1355358976626675,0.2322002572167455,239,237,237,118,102,0,0,0,674,0.316773669210741,316.773669210741,1.420645602984287,1.1106496366541632,1.5,DBC_QQQ_GLD_EWJ,"DBC,QQQ,GLD,EWJ"
1.1,v1_1_staged_50_plus_ma60_overheat,5Y,2021-05-11,2026-05-15,1260,2.198097083767033,0.2617645708767311,-0.22369494158904235,1.1447424319448936,0.2254127569013711,200,183,183,89,77,0,0,0,440,0.24291104475193803,242.911044751938,1.4435019059428387,1.1187262619273204,1.5,DBC_QQQ_GLD_EWJ,"DBC,QQQ,GLD,EWJ"
1.1,v1_1_staged_50_plus_ma60_overheat,3Y,2023-05-11,2026-05-15,756,1.2773732809396239,0.3156632393694254,-0.20498232256279258,1.342173175920877,0.22310900450333856,86,119,119,59,51,0,0,0,223,0.15946717405284627,159.46717405284627,1.46905475197214,1.1882488995367466,1.5,DBC_QQQ_GLD_EWJ,"DBC,QQQ,GLD,EWJ"
1.1,v1_1_staged_50_plus_ma60_overheat,1Y,2025-05-15,2026-05-15,252,0.5197337609561987,0.5197337609561987,-0.13008004523076366,1.835158599397185,0.24465186408076198,15,55,55,26,21,0,0,0,145,0.06491683213868242,64.91683213868242,1.4079662570539289,1.1784084060495743,1.5,DBC_QQQ_GLD_EWJ,"DBC,QQQ,GLD,EWJ"
1.1,v1_1_staged_50_plus_ma60_overheat,15Y,2011-05-05,2026-05-15,3780,8.169598845483012,0.1591955068369324,-0.362181847591582,0.8488702138416193,0.19693772685662286,751,581,581,269,241,0,0,0,1118,0.7456739767569966,745.6739767569966,1.451561302175672,1.0556856227405176,1.5,DBC_QQQ_GLD_VEA,"DBC,QQQ,GLD,VEA"
1.1,v1_1_staged_50_plus_ma60_overheat,10Y,2016-05-09,2026-05-15,2520,6.1782850942206125,0.21787319049270626,-0.3189477927485044,1.0571365655505445,0.20677870361960674,385,400,400,186,168,0,0,0,870,0.5149049001882838,514.9049001882838,1.4428120473167367,1.1131255766534693,1.5,DBC_QQQ_GLD_VEA,"DBC,QQQ,GLD,VEA"
1.1,v1_1_staged_50_plus_ma60_overheat,from_2020,2020-01-02,2026-05-15,1601,4.818488896096912,0.3194178920788544,-0.22457547429500235,1.317022703212574,0.2308573850362665,240,243,243,117,107,0,0,0,700,0.32018895657733193,320.18895657733185,1.4107928622887458,1.101117179405971,1.5,DBC_QQQ_GLD_VEA,"DBC,QQQ,GLD,VEA"
1.1,v1_1_staged_50_plus_ma60_overheat,5Y,2021-05-11,2026-05-15,1260,2.99304025095051,0.3190484186701503,-0.22457547429500246,1.3477886917507762,0.22420378420735215,187,184,184,87,81,0,0,0,492,0.2432114679512588,243.21146795125884,1.4268825088542865,1.117794794251646,1.5,DBC_QQQ_GLD_VEA,"DBC,QQQ,GLD,VEA"
1.1,v1_1_staged_50_plus_ma60_overheat,3Y,2023-05-11,2026-05-15,756,1.5774862420330584,0.37108838547744716,-0.17412032035097647,1.5339473556723613,0.2219409305367326,79,121,121,58,55,0,0,0,258,0.16152144612936978,161.52144612936976,1.449027340573757,1.1821002480240972,1.5,DBC_QQQ_GLD_VEA,"DBC,QQQ,GLD,VEA"
1.1,v1_1_staged_50_plus_ma60_overheat,1Y,2025-05-15,2026-05-15,252,0.5787262657063665,0.5787262657063665,-0.13615298259493236,2.040437402125712,0.23789969483133402,13,51,51,27,24,0,0,0,173,0.06936609697846041,69.3660969784604,1.3533010611809062,1.1528681639386897,1.5,DBC_QQQ_GLD_VEA,"DBC,QQQ,GLD,VEA"
1.1,v1_1_staged_50_plus_ma60_overheat,15Y,2011-05-05,2026-05-15,3780,6.876044160851429,0.14750312300107216,-0.3210794790958902,0.8001031915921233,0.1960601766979811,853,481,481,228,209,0,0,0,958,0.6432953362065975,643.2953362065975,1.4613057825471756,1.0436214476753773,1.5,DBC_QQQ_GLD,"DBC,QQQ,GLD"
1.1,v1_1_staged_50_plus_ma60_overheat,10Y,2016-05-09,2026-05-15,2520,5.58670229619594,0.2074434598383208,-0.2804991078903607,1.016315962568547,0.20658284992417383,462,345,345,158,144,0,0,0,752,0.4420962772881218,442.09627728812177,1.4497178936398758,1.0920848663528555,1.5,DBC_QQQ_GLD,"DBC,QQQ,GLD"
1.1,v1_1_staged_50_plus_ma60_overheat,from_2020,2020-01-02,2026-05-15,1601,3.9372235587295847,0.28574640226405634,-0.27832699439226816,1.2116710875674537,0.22928404835462793,302,216,216,101,91,0,0,0,601,0.27737630766583987,277.3763076658399,1.421636062758734,1.0689124476968863,1.5,DBC_QQQ_GLD,"DBC,QQQ,GLD"
1.1,v1_1_staged_50_plus_ma60_overheat,5Y,2021-05-11,2026-05-15,1260,2.3576311701535615,0.27410904141023185,-0.27832699439226827,1.1973878474652597,0.2232122958936275,239,166,166,75,69,0,0,0,414,0.2093748099919983,209.37480999199832,1.4362088704127105,1.0796185873139836,1.5,DBC_QQQ_GLD,"DBC,QQQ,GLD"
1.1,v1_1_staged_50_plus_ma60_overheat,3Y,2023-05-11,2026-05-15,756,1.6376833367864774,0.381680256902049,-0.2118272984274414,1.5749934737630058,0.22090674909331298,117,104,104,46,44,0,0,0,224,0.12966726434312448,129.6672643431245,1.4544346443803393,1.1342451326919043,1.5,DBC_QQQ_GLD,"DBC,QQQ,GLD"
1.1,v1_1_staged_50_plus_ma60_overheat,1Y,2025-05-15,2026-05-15,252,0.7029543119330435,0.7029543119330435,-0.1300800452307641,2.3716577866873227,0.23654303919099326,38,45,45,20,18,0,0,0,156,0.052310808729491884,52.31080872949189,1.3645537489063544,1.0497956772927348,1.5,DBC_QQQ_GLD,"DBC,QQQ,GLD"
