window,start,end,rows,total_return,annual_return,max_drawdown,vol,sharpe,trades,cash_days,overheat_days,avg_scale,avg_final_exposure,final_nav_norm,variant
6Y,2020-05-08,2026-05-08,1454,13.847977413000223,0.5679147534859432,-0.16540663933670874,0.2585613997466175,1.9401660889382233,337,106,17,1.1973966551315018,0.9611344914801654,14.847977413000223,baseline_score_lt_5
6Y,2020-05-08,2026-05-08,1454,7.354951855200424,0.42459819859660275,-0.2029033869319654,0.2460081543840057,1.619077470628447,245,88,81,1.0565005162633014,0.8535052373562014,8.354951855200424,no_score_upper_cap
6Y,2020-05-08,2026-05-08,1454,-6.493025557799799,-0.14331655488934048,-0.037496747595256674,-0.01255324536261182,-0.3210886183097763,-92,-18,64,-0.1408961388682004,-0.10762925412396396,-6.493025557799799,delta_no_cap_minus_baseline
3Y,2023-05-08,2026-05-08,727,6.309052579335958,0.9403854638091069,-0.16540663933670885,0.2675339040419486,2.729816661400698,166,53,7,1.155767295623363,0.923983612876529,7.309052579335958,baseline_score_lt_5
3Y,2023-05-08,2026-05-08,727,3.286794627043146,0.6242872263149979,-0.2029033869319653,0.2612421482416688,2.08073988443003,113,45,53,0.9551514780017234,0.7480273114627556,4.286794627043146,no_score_upper_cap
3Y,2023-05-08,2026-05-08,727,-3.0222579522928124,-0.31609823749410904,-0.03749674759525645,-0.006291755800279797,-0.6490767769706678,-53,-8,46,-0.2006158176216395,-0.17595630141377339,-3.0222579522928124,delta_no_cap_minus_baseline
1Y,2025-05-08,2026-05-08,243,0.8902123331081673,0.8910368126751846,-0.13338572226381606,0.24753613723283624,2.8030048962837584,65,18,3,1.1910126065857067,0.9405463303269372,1.8902123331081673,baseline_score_lt_5
1Y,2025-05-08,2026-05-08,243,0.5660127045842791,0.5664938798093719,-0.09027879527024707,0.2380471268987186,2.0833425652169173,33,11,28,0.9040044038215312,0.6939275384468456,1.566012704584279,no_score_upper_cap
1Y,2025-05-08,2026-05-08,243,-0.3241996285238882,-0.3245429328658127,0.043106926993568995,-0.009489010334117642,-0.7196623310668411,-32,-7,25,-0.2870082027641755,-0.24661879188009161,-0.3241996285238882,delta_no_cap_minus_baseline
