version,scenario,window,start,end,days,total,cagr,maxdd,sharpe,vol,cash_days,half_position_days,pending_days,staged_initials,staged_fills,overheat_days,overheat_triggers,overheat_recoveries,trades,cost_sum,turnover_sum,avg_scale,avg_final_exposure,max_final_exposure,diagnostic_label,lookback
diagnostic,lookback_10,from_2020,2020-01-02,2026-05-08,1535,-0.005873332783399077,-0.0009665966852073771,-0.5417035782601765,0.10290927117336537,0.2141549413108692,237,802,802,526,223,5,3,0,945,1.0891403977029168,1089.1403977029167,1.4569204668620566,0.8476955770512815,1.5,lookback_10,10
diagnostic,lookback_10,5Y,2021-05-10,2026-05-08,1211,0.44083666108931596,0.07896296422007443,-0.28336100495051464,0.4711351095173349,0.20616516273386126,182,635,635,410,171,5,3,0,708,0.8564990301351674,856.4990301351672,1.4781877296411692,0.8651916386794929,1.5,lookback_10,10
diagnostic,lookback_10,3Y,2023-05-08,2026-05-08,727,0.5342719894797865,0.15995016560917286,-0.28336100495051464,0.8333608261880747,0.20273640551521724,112,394,394,254,98,4,2,0,421,0.5238215060733887,523.8215060733887,1.493575840324766,0.8512420813461216,1.5,lookback_10,10
diagnostic,lookback_10,1Y,2025-05-08,2026-05-08,243,0.3275495488287532,0.34155404863807814,-0.12164609165511009,1.5035293305387207,0.21011468139010994,42,109,109,79,37,4,2,0,153,0.17037186157401973,170.3718615740197,1.484543816750491,0.8728235330377637,1.5,lookback_10,10
diagnostic,lookback_15,from_2020,2020-01-02,2026-05-08,1535,0.7924740677891948,0.10054854171487237,-0.36121721571828724,0.5140219923937485,0.24498407499744598,196,589,589,348,201,13,6,1,1031,0.7408905453834235,740.8905453834234,1.360935540261607,0.919686840872156,1.5,lookback_15,15
diagnostic,lookback_15,5Y,2021-05-10,2026-05-08,1211,1.1744670301774125,0.1754403321581517,-0.2542633244657131,0.8011821259377767,0.23663173144747668,158,434,434,254,156,13,6,1,756,0.5703067091627905,570.3067091627904,1.3987696027126153,0.9533834454678553,1.5,lookback_15,15
diagnostic,lookback_15,3Y,2023-05-08,2026-05-08,727,1.2699690072892609,0.32863957006066813,-0.22751740439982193,1.3056699258933262,0.23963558814462022,94,268,268,148,90,7,4,1,421,0.33385418059254207,333.85418059254204,1.4227098802676161,0.9655744101271818,1.5,lookback_15,15
diagnostic,lookback_15,1Y,2025-05-08,2026-05-08,243,0.5278115329196122,0.5519837992190897,-0.15035855740067183,1.9602985930577632,0.23882013257464602,35,93,93,52,32,6,3,1,186,0.11299375568419764,112.99375568419762,1.3630897850851453,0.8791756735023448,1.5,lookback_15,15
diagnostic,lookback_20,from_2020,2020-01-02,2026-05-08,1535,2.7584855220734337,0.2427950331171813,-0.2500939822146798,0.9819670069803619,0.2543296712496094,146,521,521,276,172,23,8,2,1162,0.5831849924993002,583.1849924993003,1.2864175739992054,0.9289586488950039,1.5,lookback_20,20
diagnostic,lookback_20,5Y,2021-05-10,2026-05-08,1211,2.3567326880859762,0.2865874931113779,-0.24484332004956777,1.1394832990943247,0.24794296860755097,123,393,393,203,133,21,7,2,870,0.450607358639406,450.607358639406,1.3194475642894414,0.9499367216083335,1.5,lookback_20,20
