scenario,window,code,days,share
base6,from_2020,159941.SZ,331,0.21563517915309446
base6,from_2020,159985.SZ,292,0.19022801302931597
base6,from_2020,159915.SZ,275,0.1791530944625407
base6,from_2020,518880.SH,193,0.1257328990228013
base6,from_2020,513520.SH,175,0.11400651465798045
base6,from_2020,513030.SH,162,0.10553745928338762
base6,from_2020,CASH,107,0.06970684039087947
base6_plus_csi1000,from_2020,159941.SZ,301,0.19609120521172638
base6_plus_csi1000,from_2020,159985.SZ,280,0.18241042345276873
base6_plus_csi1000,from_2020,159915.SZ,206,0.13420195439739413
base6_plus_csi1000,from_2020,512100.SH,173,0.11270358306188925
base6_plus_csi1000,from_2020,518880.SH,173,0.11270358306188925
base6_plus_csi1000,from_2020,513520.SH,164,0.10684039087947883
base6_plus_csi1000,from_2020,513030.SH,142,0.09250814332247558
base6_plus_csi1000,from_2020,CASH,96,0.06254071661237785
base6_plus_563300_SH,from_2020,159941.SZ,321,0.20912052117263843
base6_plus_563300_SH,from_2020,159985.SZ,281,0.18306188925081432
base6_plus_563300_SH,from_2020,159915.SZ,246,0.16026058631921825
base6_plus_563300_SH,from_2020,518880.SH,180,0.11726384364820847
base6_plus_563300_SH,from_2020,513520.SH,162,0.10553745928338762
base6_plus_563300_SH,from_2020,513030.SH,150,0.09771986970684039
base6_plus_563300_SH,from_2020,CASH,105,0.06840390879478828
base6_plus_563300_SH,from_2020,563300.SH,90,0.05863192182410423
base6_plus_159531_SZ,from_2020,159941.SZ,320,0.20846905537459284
base6_plus_159531_SZ,from_2020,159985.SZ,280,0.18241042345276873
base6_plus_159531_SZ,from_2020,159915.SZ,243,0.15830618892508144
base6_plus_159531_SZ,from_2020,518880.SH,179,0.11661237785016286
base6_plus_159531_SZ,from_2020,513520.SH,161,0.10488599348534201
base6_plus_159531_SZ,from_2020,513030.SH,149,0.09706840390879479
base6_plus_159531_SZ,from_2020,CASH,105,0.06840390879478828
base6_plus_159531_SZ,from_2020,159531.SZ,98,0.06384364820846905
base6_plus_562660_SH,from_2020,159941.SZ,310,0.20195439739413681
base6_plus_562660_SH,from_2020,159985.SZ,271,0.17654723127035832
base6_plus_562660_SH,from_2020,159915.SZ,230,0.1498371335504886
base6_plus_562660_SH,from_2020,518880.SH,178,0.11596091205211727
base6_plus_562660_SH,from_2020,513520.SH,160,0.10423452768729642
base6_plus_562660_SH,from_2020,513030.SH,146,0.09511400651465798
base6_plus_562660_SH,from_2020,562660.SH,135,0.08794788273615635
base6_plus_562660_SH,from_2020,CASH,105,0.06840390879478828
base6_plus_159532_SZ,from_2020,159941.SZ,320,0.20846905537459284
base6_plus_159532_SZ,from_2020,159985.SZ,279,0.18175895765472314
base6_plus_159532_SZ,from_2020,159915.SZ,232,0.1511400651465798
base6_plus_159532_SZ,from_2020,518880.SH,178,0.11596091205211727
base6_plus_159532_SZ,from_2020,513520.SH,162,0.10553745928338762
base6_plus_159532_SZ,from_2020,513030.SH,149,0.09706840390879479
base6_plus_159532_SZ,from_2020,159532.SZ,110,0.07166123778501629
base6_plus_159532_SZ,from_2020,CASH,105,0.06840390879478828
base6_plus_159533_SZ,from_2020,159941.SZ,322,0.20977198697068403
base6_plus_159533_SZ,from_2020,159985.SZ,282,0.18371335504885994
base6_plus_159533_SZ,from_2020,159915.SZ,238,0.15504885993485343
base6_plus_159533_SZ,from_2020,518880.SH,179,0.11661237785016286
base6_plus_159533_SZ,from_2020,513520.SH,161,0.10488599348534201
base6_plus_159533_SZ,from_2020,513030.SH,149,0.09706840390879479
base6_plus_159533_SZ,from_2020,CASH,105,0.06840390879478828
base6_plus_159533_SZ,from_2020,159533.SZ,99,0.06449511400651466
base6_plus_159535_SZ,from_2020,159941.SZ,322,0.20977198697068403
base6_plus_159535_SZ,from_2020,159985.SZ,279,0.18175895765472314
base6_plus_159535_SZ,from_2020,159915.SZ,244,0.15895765472312703
base6_plus_159535_SZ,from_2020,518880.SH,178,0.11596091205211727
base6_plus_159535_SZ,from_2020,513520.SH,162,0.10553745928338762
base6_plus_159535_SZ,from_2020,513030.SH,149,0.09706840390879479
base6_plus_159535_SZ,from_2020,CASH,105,0.06840390879478828
base6_plus_159535_SZ,from_2020,159535.SZ,96,0.06254071661237785
base6_plus_159536_SZ,from_2020,159941.SZ,313,0.20390879478827362
base6_plus_159536_SZ,from_2020,159985.SZ,280,0.18241042345276873
base6_plus_159536_SZ,from_2020,159915.SZ,245,0.15960912052117263
base6_plus_159536_SZ,from_2020,518880.SH,180,0.11726384364820847
base6_plus_159536_SZ,from_2020,513520.SH,160,0.10423452768729642
base6_plus_159536_SZ,from_2020,513030.SH,148,0.09641693811074918
base6_plus_159536_SZ,from_2020,CASH,105,0.06840390879478828
base6_plus_159536_SZ,from_2020,159536.SZ,104,0.06775244299674267
base6_plus_csi1000_563300_SH,from_2020,159941.SZ,291,0.18957654723127035
base6_plus_csi1000_563300_SH,from_2020,159985.SZ,271,0.17654723127035832
base6_plus_csi1000_563300_SH,from_2020,159915.SZ,203,0.13224755700325733
base6_plus_csi1000_563300_SH,from_2020,518880.SH,173,0.11270358306188925
base6_plus_csi1000_563300_SH,from_2020,513520.SH,162,0.10553745928338762
base6_plus_csi1000_563300_SH,from_2020,513030.SH,137,0.08925081433224756
base6_plus_csi1000_563300_SH,from_2020,512100.SH,136,0.08859934853420195
base6_plus_csi1000_563300_SH,from_2020,CASH,96,0.06254071661237785
base6_plus_csi1000_563300_SH,from_2020,563300.SH,66,0.04299674267100977
base6_plus_csi1000_159531_SZ,from_2020,159941.SZ,290,0.18892508143322476
base6_plus_csi1000_159531_SZ,from_2020,159985.SZ,270,0.1758957654723127
base6_plus_csi1000_159531_SZ,from_2020,159915.SZ,201,0.13094462540716612
base6_plus_csi1000_159531_SZ,from_2020,518880.SH,173,0.11270358306188925
base6_plus_csi1000_159531_SZ,from_2020,513520.SH,161,0.10488599348534201
base6_plus_csi1000_159531_SZ,from_2020,513030.SH,136,0.08859934853420195
base6_plus_csi1000_159531_SZ,from_2020,512100.SH,132,0.08599348534201955
base6_plus_csi1000_159531_SZ,from_2020,CASH,96,0.06254071661237785
base6_plus_csi1000_159531_SZ,from_2020,159531.SZ,76,0.049511400651465795
base6_plus_csi1000_562660_SH,from_2020,159941.SZ,280,0.18241042345276873
base6_plus_csi1000_562660_SH,from_2020,159985.SZ,261,0.1700325732899023
base6_plus_csi1000_562660_SH,from_2020,159915.SZ,192,0.1250814332247557
base6_plus_csi1000_562660_SH,from_2020,518880.SH,172,0.11205211726384365
base6_plus_csi1000_562660_SH,from_2020,513520.SH,160,0.10423452768729642
base6_plus_csi1000_562660_SH,from_2020,513030.SH,133,0.08664495114006515
base6_plus_csi1000_562660_SH,from_2020,512100.SH,126,0.08208469055374593
base6_plus_csi1000_562660_SH,from_2020,562660.SH,115,0.0749185667752443
base6_plus_csi1000_562660_SH,from_2020,CASH,96,0.06254071661237785
base6_plus_csi1000_159532_SZ,from_2020,159941.SZ,290,0.18892508143322476
base6_plus_csi1000_159532_SZ,from_2020,159985.SZ,269,0.1752442996742671
base6_plus_csi1000_159532_SZ,from_2020,159915.SZ,190,0.1237785016286645
base6_plus_csi1000_159532_SZ,from_2020,518880.SH,173,0.11270358306188925
base6_plus_csi1000_159532_SZ,from_2020,513520.SH,162,0.10553745928338762
base6_plus_csi1000_159532_SZ,from_2020,513030.SH,136,0.08859934853420195
base6_plus_csi1000_159532_SZ,from_2020,512100.SH,125,0.08143322475570032
base6_plus_csi1000_159532_SZ,from_2020,CASH,96,0.06254071661237785
base6_plus_csi1000_159532_SZ,from_2020,159532.SZ,94,0.06123778501628664
base6_plus_csi1000_159533_SZ,from_2020,159941.SZ,292,0.19022801302931597
base6_plus_csi1000_159533_SZ,from_2020,159985.SZ,272,0.1771986970684039
base6_plus_csi1000_159533_SZ,from_2020,159915.SZ,195,0.1270358306188925
base6_plus_csi1000_159533_SZ,from_2020,518880.SH,170,0.11074918566775244
base6_plus_csi1000_159533_SZ,from_2020,513520.SH,161,0.10488599348534201
base6_plus_csi1000_159533_SZ,from_2020,513030.SH,136,0.08859934853420195
base6_plus_csi1000_159533_SZ,from_2020,512100.SH,123,0.08013029315960912
base6_plus_csi1000_159533_SZ,from_2020,CASH,96,0.06254071661237785
base6_plus_csi1000_159533_SZ,from_2020,159533.SZ,90,0.05863192182410423
base6_plus_csi1000_159535_SZ,from_2020,159941.SZ,292,0.19022801302931597
base6_plus_csi1000_159535_SZ,from_2020,159985.SZ,269,0.1752442996742671
base6_plus_csi1000_159535_SZ,from_2020,159915.SZ,201,0.13094462540716612
base6_plus_csi1000_159535_SZ,from_2020,518880.SH,173,0.11270358306188925
base6_plus_csi1000_159535_SZ,from_2020,513520.SH,162,0.10553745928338762
base6_plus_csi1000_159535_SZ,from_2020,512100.SH,146,0.09511400651465798
base6_plus_csi1000_159535_SZ,from_2020,513030.SH,136,0.08859934853420195
base6_plus_csi1000_159535_SZ,from_2020,CASH,96,0.06254071661237785
base6_plus_csi1000_159535_SZ,from_2020,159535.SZ,60,0.03908794788273615
base6_plus_csi1000_159536_SZ,from_2020,159941.SZ,283,0.18436482084690553
base6_plus_csi1000_159536_SZ,from_2020,159985.SZ,270,0.1758957654723127
base6_plus_csi1000_159536_SZ,from_2020,159915.SZ,201,0.13094462540716612
base6_plus_csi1000_159536_SZ,from_2020,518880.SH,173,0.11270358306188925
base6_plus_csi1000_159536_SZ,from_2020,513520.SH,160,0.10423452768729642
base6_plus_csi1000_159536_SZ,from_2020,513030.SH,135,0.08794788273615635
base6_plus_csi1000_159536_SZ,from_2020,512100.SH,133,0.08664495114006515
base6_plus_csi1000_159536_SZ,from_2020,CASH,96,0.06254071661237785
base6_plus_csi1000_159536_SZ,from_2020,159536.SZ,84,0.05472312703583062
