version,scenario,window,start,end,days,total,cagr,maxdd,sharpe,vol,cash_days,half_position_days,pending_days,staged_initials,staged_fills,overheat_days,overheat_triggers,overheat_recoveries,trades,cost_sum,turnover_sum,avg_scale,avg_final_exposure,max_final_exposure
1.0,v1_0_original_full_entry,full_sample,2011-12-09,2026-07-01,3533,56.09207663599938,0.3344187469583735,-0.32413597055327636,1.2485319814243907,0.2574858443816792,737,0,0,0,0,0,0,0,2763,0.7503710516413786,750.3710516413787,1.20475592879415,0.9410234910897326,1.5
1.0,v1_0_original_full_entry,10Y,2016-02-17,2026-07-01,2520,21.90084081271262,0.367682036410373,-0.3241359705532749,1.3261823338163705,0.26183133424391847,221,0,0,0,0,0,0,0,2265,0.6237361400082001,623.7361400082001,1.1913825730891752,1.0802295608262515,1.5
1.0,v1_0_original_full_entry,5Y,2021-04-19,2026-07-01,1260,9.56124587302865,0.6022970410548476,-0.215174461110883,1.82398753505827,0.2796635930091909,91,0,0,0,0,0,0,0,1168,0.3206556944853325,320.65569448533256,1.0897288313771116,1.010007955301451,1.5
1.0,v1_0_original_full_entry,3Y,2023-05-18,2026-07-01,756,6.066517381088217,0.9189712896670588,-0.18775975483214158,2.3557492004284626,0.2950094304442252,54,0,0,0,0,0,0,0,701,0.1949922352185564,194.9922352185564,1.0092084019337728,0.9342763462720525,1.5
1.0,v1_0_original_full_entry,1Y,2025-06-18,2026-07-01,252,1.0677365867507582,1.0677365867507582,-0.15536223708620522,2.670403687865609,0.2878489477971958,19,0,0,0,0,0,0,0,237,0.0750337423977337,75.0337423977337,1.019497254312582,0.9561098151396562,1.370393775495933
1.0,v1_0_original_full_entry,from_2020,2026-01-05,2026-07-01,117,0.5402956813475677,1.5355394053100864,-0.09731096997005706,3.409690220263308,0.28523887366844825,18,0,0,0,0,0,0,0,102,0.04112347848921727,41.12347848921727,0.853424019478624,0.7263807628652198,0.9155985535943413
1.1,v1_1_staged_50_plus_ma60_overheat,full_sample,2011-12-09,2026-07-01,3533,78.1665450825906,0.36589778782343396,-0.30593352701522547,1.4020600400240988,0.243552502283462,737,607,607,325,273,32,13,10,2751,0.7570768864558952,757.0768864558952,1.2778577833840548,0.8893689986158104,1.5
1.1,v1_1_staged_50_plus_ma60_overheat,10Y,2016-02-17,2026-07-01,2520,29.19466863700354,0.40602494824503843,-0.3059335270152267,1.49030463036986,0.24959365178330323,221,506,506,272,225,22,9,7,2252,0.6242360383956946,624.2360383956947,1.2811692656619276,1.0301737617736983,1.5
1.1,v1_1_staged_50_plus_ma60_overheat,5Y,2021-04-19,2026-07-01,1260,14.542116275974799,0.7310197810089996,-0.1735701023265186,2.238792689055365,0.2602339812878862,91,263,263,152,121,20,8,6,1156,0.3339114781317129,333.9114781317129,1.219424740898765,0.9869802292189942,1.5
1.1,v1_1_staged_50_plus_ma60_overheat,3Y,2023-05-18,2026-07-01,756,8.284913508646078,1.1018059678896268,-0.16302525023327163,2.8760896592286795,0.27116134966243544,54,178,178,98,76,10,6,4,696,0.20285928552203636,202.85928552203637,1.1552109959545185,0.9216746853607568,1.5
1.1,v1_1_staged_50_plus_ma60_overheat,1Y,2025-06-18,2026-07-01,252,1.3238139391020254,1.3238139391020254,-0.1286158028708957,3.1958687024872883,0.2760492133030488,19,73,73,40,27,6,4,2,234,0.0771141310851368,77.11413108513679,1.1857020016247442,0.9138692711594453,1.4815309307099056
1.1,v1_1_staged_50_plus_ma60_overheat,from_2020,2026-01-05,2026-07-01,117,0.582766013691429,1.6885178683120037,-0.07670609129311345,3.6728757275362787,0.2803810412942134,18,45,45,24,15,2,2,0,101,0.042272951673580084,42.272951673580096,1.060824464703203,0.6812366728574161,1.117102225801884
